date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA MERCHANTS BANK CO LTD,HANG SENG BANK LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,10.917884262223113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.844751368197749,0.0
2024-03-05,10.917855516418491,3.2860191637591725,66.9234674368228,1.9443949704393566,0.0,0.0,0.0,3.8445501475653954,1.5427729611625354
2024-03-06,10.91884724667795,3.287025266920944,66.89061098213982,1.9447111742901992,0.0,0.0,0.0,3.8449525888301035,0.0
2024-03-07,10.918229211878577,3.2871402501394322,66.88227469879942,1.9458035148658366,0.0,0.0,0.0,3.844909470123171,0.0
2024-03-08,10.93288715758823,3.2879451326688494,66.86576023404407,1.9463353122513443,0.0,0.0,0.0,3.8451969281693907,1.5390360065616704
2024-03-11,10.93077434094851,3.2888649984167544,66.82114674527065,1.9479019586032456,2.768494070246289,0.0,0.0,3.8458149629687646,0.0
2024-03-12,10.931219900920151,3.2938380226163675,66.81618809397337,1.9494254862482137,2.7690689863387297,0.0,0.0,3.845958691991875,0.0
2024-03-13,10.93104742609242,0.0,0.0,1.9498854191221664,2.76921271536184,0.0,0.0,0.0,1.5280982279029842
2024-03-14,10.94178591008766,3.3104818434925276,66.81235052905632,1.9493105030297255,0.0,0.0,0.0,0.0,1.516829872491145
2024-03-15,10.941714045576106,0.0,66.80713316551741,1.9488505701557728,0.0,0.0,0.0,3.8458149629687646,1.5163699396171924
2024-03-18,10.941397841725262,3.3145350019442352,66.77135901166528,1.9499429107314104,0.0,0.0,0.0,3.8456712339456542,1.5166573976634128
2024-03-19,10.952453564420313,0.0,66.7596450962818,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-20,10.951749292207072,3.3216639614905015,66.7396955078741,1.9510783700139807,0.0,0.0,0.0,3.8458149629687646,1.5169448557096332
2024-03-21,10.953716367617359,3.3226700646522724,66.73968113497179,1.9519263712503312,0.0,0.0,0.0,3.845800590066454,0.0
2024-03-22,10.95289711218563,3.3279449198004163,66.73088491875745,1.9530187118259685,0.0,0.0,0.0,3.845829335871076,1.5171748221466095
2024-03-25,10.946506919818152,3.3280599030189046,66.71405425015125,1.9535361363091652,0.0,0.0,0.0,0.0,1.5218028966907577
2024-03-26,10.945141494098605,3.3285485816974796,66.70124799419213,1.953291796969878,0.0,0.0,0.0,3.8526708373711216,1.5227515082432852
2024-03-27,10.946291326283486,3.3293534642268967,66.63253114824315,1.9552177658795546,0.0,0.0,0.0,3.887165802917568,0.0
2024-03-28,10.94255437168262,3.331020720894975,66.56990841287403,0.0,0.0,0.0,0.0,3.8935329986413496,0.0
2024-04-02,10.958110278837056,0.0,66.51677179303019,0.0,0.0,5.297808673134901,0.0,3.8943953727800107,1.5228089998525292
2024-04-03,10.956874209238308,3.334930150323572,66.45436465119575,1.9569425141568768,0.0,0.0,0.0,3.8991671763472695,1.5229527288756393
2024-04-05,10.956098072513514,3.3400469035462956,0.0,1.9567987851337665,0.0,5.2978374189395225,0.0,3.8975142925815027,1.522550287610931
2024-04-08,10.96040180814411,3.3409955150988226,0.0,1.956453835478302,0.0,0.0,0.0,3.891765131657095,1.52183164249538
2024-04-09,10.959769400442426,3.3389114442637244,0.0,1.9537804756484527,0.0,0.0,0.0,3.890701536886079,1.5175197718020739
2024-04-10,10.95220925382683,3.3390408003845238,66.42304609706004,1.9552752574887988,0.0,5.2978661647441445,0.0,3.9034934199428863,0.0
2024-04-11,10.97222050198544,3.3391414107007007,66.35626959292304,1.956223869041326,0.0,0.0,0.0,3.915322318544856,1.51760600921594
2024-04-12,10.984675656686903,3.339155783603012,66.31897191142593,0.0,0.0,0.0,0.0,3.921071479469264,0.0
2024-04-15,10.984258842519884,3.3387102236313706,66.27540764452124,1.9583654314856678,0.0,5.297779927330279,0.0,3.9268206403936716,0.0
2024-04-16,10.981700465908522,0.0,66.26175338732577,1.9588828559688645,0.0,0.0,0.0,3.927280573267624,1.5173616698766526
2024-04-17,11.000915800228757,3.3391126648960787,66.17862052035883,1.9583654314856678,0.0,0.0,0.0,3.941337271727801,0.0
2024-04-18,11.000930173131069,3.3394001229422994,66.15043525892693,1.9606650958554308,0.0,0.0,0.0,3.9420559168433527,0.0
2024-04-19,11.001045156349557,3.339759445500075,66.11239018650966,0.0,0.0,0.0,0.0,3.9492854867057954,1.5173185511697198
2024-04-22,11.002568683994525,3.3403631073971374,66.08315570320904,0.0,0.0,0.0,0.0,3.9521600671679993,0.0
2024-04-23,11.002583056896837,3.340219378374028,66.07987868148213,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-24,11.040588345120508,3.3399031745231853,65.93925420527111,1.9644882878701622,0.0,0.0,0.0,0.0,1.5237576114050566
2024-04-25,11.065122889365417,3.3408517860757123,65.91188819927095,1.960708214562364,0.0,5.298153622790365,0.0,3.9564719378613047,1.5268046666949926
2024-04-26,11.080070420310832,3.3399031745231853,65.9008785561007,1.9628928957136391,0.0,5.298167995692675,0.0,3.957923600994718,0.0
2024-04-29,11.07048081988892,0.0,0.0,1.9640427278985204,0.0,0.0,0.0,3.9587572293287567,0.0
2024-04-30,11.11163771189394,3.339917547425496,65.80549997636477,1.966543612900638,0.0,5.300252066527773,0.0,0.0,0.0
2024-05-02,11.103315801455858,3.340866158978023,0.0,1.9701512113807038,0.0,5.300223320723151,0.0,0.0,1.5259422925563313
2024-05-03,11.103430784674346,3.3405643280294917,0.0,1.9693463288512867,0.0,0.0,0.0,0.0,0.0
2024-05-06,11.125185897070352,3.34067931124798,0.0,1.9690876166096887,0.0,0.0,0.0,0.0,0.0
2024-05-07,11.068782316531218,0.0,0.0,1.9694038204605309,0.0,5.300367049746262,0.0,3.9591884163980877,0.0
2024-05-08,11.069000784646345,3.3458248102753254,0.0,1.9704674152315464,0.0,0.0,0.0,0.0,0.0
2024-05-09,11.063610946279713,3.3455660980337267,65.77994495605579,1.9733994873029945,0.0,0.0,0.0,3.9606257066291892,0.0
2024-05-10,11.054938337025245,3.3469315237532737,65.75456241057451,1.9755410497473362,0.0,5.301804339977364,0.0,3.9614880807678508,0.0
2024-05-13,11.056763695618743,0.0,65.7245374176468,1.9787893256696265,0.0,5.303385359231576,0.0,3.9627816419758424,1.5262297506025517
2024-05-14,11.058330341970644,3.3506397325495167,65.66552228075776,1.9822675680288935,0.0,5.304089631444816,0.0,3.96217798007878,0.0
2024-05-16,11.109681847347455,3.351372750567379,65.60728328059349,1.9883904244133876,0.0,5.3043770894910365,0.0,0.0,1.5259422925563313
2024-05-17,11.125270783431402,3.3517177002228435,65.55074028290194,0.0,0.0,0.0,0.0,3.9623217091018894,0.0
2024-05-20,11.141107163401532,3.3521201414875517,65.41554876376449,1.9886778824596083,0.0,0.0,0.0,0.0,1.5262297506025517
2024-05-21,11.079302246173919,3.352996888528524,65.23087134197021,1.9898277146444896,0.0,0.0,0.0,3.9620342510556696,0.0
2024-05-22,10.90561420175761,3.353054380137768,65.1578282524256,1.9939958563146856,0.0,5.304966378485788,0.0,0.0,1.5399414994072647
2024-05-23,10.9067784068448,3.355928960599972,65.08735791239467,1.9945851453094372,0.0,5.30499512429041,0.0,3.9620629968602916,1.5402289574534849
2024-05-24,11.122352710566805,3.356503876692413,65.04521656281877,1.9930041260552251,0.0,5.307869704752614,0.0,3.9621348613718466,0.0
2024-05-27,11.120255704119627,3.3570787927848533,64.97980548440131,1.9935790421476658,0.0,5.308300891821944,0.0,3.96217798007878,1.5413787896383666
2024-05-28,11.176994202028412,0.0,0.0,1.9861913703598018,0.0,5.307424144780972,0.0,3.9619336407394923,0.0
2024-05-29,11.1758429325533,3.364811414228182,0.0,0.0,0.0,5.308214654408078,0.0,3.9618905220325593,0.0
2024-05-30,11.158389486089959,3.378235704986674,0.0,1.9815920416202752,0.0,5.309522588518381,0.0,3.9618617762279373,0.0
2024-05-31,11.158087655141427,0.0,64.93181436358482,1.9872837109354395,0.0,5.309810046564602,0.0,0.0,1.5407751277413035
2024-06-03,11.157412128732808,3.3746999710181633,64.84566318713256,1.9895115107936474,0.0,5.309953775587712,0.0,3.962149234274158,0.0
