date,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,FOSUN INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CHINA SECURITIES DEPOSITORY AND CLEARING,ABCI SECURITIES CO LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-03-01,49.3712276778202,35.665871895284674,0.0,0.02246489603419595,3.1173870006180806,0.0,7.064339196919998,4.7587093333228525,0.0,0.0
2024-03-04,49.44550143392175,35.692439590988435,0.0,0.028104433048147942,3.0015242501312414,0.0,7.084781266424121,4.747649025486303,0.0,0.0
2024-03-05,49.312388366053305,35.64468807164127,0.0,0.022187551874890146,3.0735813149502653,0.0,7.085090402180873,4.862064293299398,0.0,0.0
2024-03-06,49.21090732981217,35.6282076934552,0.0,0.01838961448840521,3.1154136113632265,0.0,7.086240046938347,4.940841703942653,0.0,0.0
2024-03-07,49.09134297199674,35.622823630169556,0.0,0.018387016115159565,3.1439610362301704,0.0,7.0767233140449886,5.046762031443384,0.0,0.0
2024-03-08,49.001313765288025,35.55707267038743,0.0,0.019224924788703305,3.132920521660665,0.0,7.069777334592567,5.059022221838791,0.0,0.1606685614438187
2024-03-11,48.94288443659309,35.54066506267724,0.0,0.016588622456162733,3.128547317350347,0.0,7.048358550283268,5.162449093973785,0.0,0.16050691666611444
2024-03-12,48.98640380493468,35.46413020381212,0.0,0.018944320441487618,3.158490011016943,0.0,7.026510583312118,5.191063168821794,0.0,0.15445790766086456
2024-03-13,48.845985772597544,35.37782052807547,0.0,0.016713024993512793,3.157703570413531,0.0,7.02296066393447,5.424586963896167,0.0,0.15422947608931148
2024-03-14,33.07250386492761,23.956554394695644,22.47351297323223,0.011205165187939709,2.3493332669416658,9.206650814110933,4.748640784983317,4.07710885195951,0.0,0.10448988396115556
2024-03-15,33.04330797341517,23.927242427560707,22.455994181828412,0.011196430418622307,2.326227690656095,9.199473947933745,4.742191483821926,4.191370479900949,0.0,0.10299538446438188
