date,HANG SENG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,SINOPAC SECURITIES (ASIA) LTD,REALINK FINANCIAL TRADE LTD,KGI ASIA LTD,CITIBANK N.A.
2024-04-05,0.0,100.0,0.0,0.0,0.0,0.0
2024-04-17,0.0,67.97646759442351,0.0,0.0,0.0,32.02353240557649
2024-04-24,0.0,46.65867020896635,0.0,31.360554821189297,0.0,21.980774969844354
2024-05-06,0.0,46.630241298221534,0.0,31.3414469809974,0.0,22.028311720781062
2024-05-17,0.0,46.62077269156696,0.0,31.335082874246368,0.0,22.04414443418667
2024-05-21,0.0,46.592389929583064,0.0,31.376886128180363,0.0,22.030723942236577
2024-06-04,28.056595573631,33.52015151895076,0.0,22.573600083598073,0.0,15.849652823820165
2024-06-05,28.784405646106997,33.181047412035966,0.0,22.34523594592785,0.0,15.689310995929187
2024-06-06,30.27038571100694,32.466531132108955,0.0,21.803891460664264,0.0,15.459191696219843
2024-06-07,32.579333880335156,31.238642586256777,0.0,21.14259032621348,0.0,15.03943320719459
2024-06-13,33.336618940706245,30.858334195005572,0.0,20.922307918006457,0.0,14.882738946281723
2024-06-19,33.38228229212507,30.837196728886163,0.0,20.907976471209555,0.0,14.872544507779208
2024-07-02,33.49700686592346,30.599505577078595,0.0,20.979830716184658,0.0,14.923656840813285
2024-08-20,33.41432588357512,30.770807481076034,0.0,20.928045999417,0.0,14.886820635931846
2024-10-09,33.401171202209376,30.044392693047133,0.0,21.544115072364406,0.0,15.010321032379078
2024-10-18,33.470304161862934,29.975259733393578,0.0,21.544115072364406,0.0,15.010321032379078
2024-11-18,33.391816009518806,30.139468354125686,0.0,21.493593936442196,0.0,14.975121699913313
2024-11-22,33.39066451839098,30.1418774409017,0.0,21.492852746363887,0.0,14.974605294343437
2024-11-25,33.38260630362361,30.131155669385816,0.0,21.515246574637363,0.0,14.970991452353207
2024-11-28,33.658413582046684,30.131155669385816,0.0,21.239439296214293,0.0,14.970991452353207
2024-12-09,33.4982365563606,30.13499971605466,0.0,21.393862318957265,0.0,14.972901408627475
2024-12-27,33.589830280984536,30.093494397660002,0.0,21.364396280277766,0.0,14.952279041077698
2025-01-21,27.42562555635677,24.570916319865148,18.3514018173452,17.443730073034043,0.0,12.20832623339884
2025-01-22,23.941982029049562,21.441090507716737,16.01381333064323,15.221760166336193,12.728115629090228,10.653238337164046
2025-02-03,23.943939871512782,21.442843841145976,16.006945406242252,15.223004917434176,12.729156463772384,10.654109499892426
2025-02-04,23.971029121874935,21.440739665041242,16.00537465227496,15.201885185952142,12.727907357680724,10.653064017176003
2025-02-10,24.04180545115254,21.208787334208758,16.05263176672096,15.246769935208878,12.765487494836373,10.684518017872495
2025-02-12,24.03943950727703,21.206700186444323,16.051052034038594,15.255110464625805,12.76423124862734,10.68346655898691
2025-02-14,24.078803337590283,21.206700186444323,16.051052034038594,15.215746634312548,12.76423124862734,10.68346655898691
2025-02-17,24.09848525274691,21.206700186444323,16.051052034038594,15.196064719155924,12.76423124862734,10.68346655898691
2025-02-18,24.23742691293236,21.21266708913472,16.130421430547763,14.855842358084766,12.827347942097564,10.736294267202826
2025-02-19,24.202155627505352,20.967182490519924,16.093814240706926,15.226681946974244,12.798236913393657,10.71192878089989
2025-02-21,24.214722050810238,20.960977721308204,16.08905163594851,15.232040205915343,12.794449561115856,10.708758824901848
2025-03-07,24.23863165581642,20.882934628399966,16.104937957861786,15.247080315151267,12.807082794511471,10.719332648259087
2025-03-10,24.23863165581642,20.873060633168464,16.104937957861786,15.247080315151267,12.807082794511471,10.72920664349059
2025-03-21,24.24102521349007,20.875121841703685,16.106528315699638,15.248585959801812,12.80834749013188,10.720391179172918
2025-03-24,24.26077515406126,20.875121841703685,16.106528315699638,15.228836019230615,12.80834749013188,10.720391179172918
2025-04-07,24.3616784291614,20.747116115462923,16.11448481863723,15.236358948824632,12.814674716734247,10.725686971179568
2025-04-08,24.31759904768915,20.632471006282547,16.163991131262073,15.273257315320125,12.854043477191215,10.758638022254893
2025-04-10,24.347588271773972,20.62429536982486,16.157586134247694,15.267205272436032,12.848950050114603,10.754374901602839
2025-04-14,24.609213121281094,19.88429008706397,16.298050201832602,15.399928919112101,12.960650880500946,10.847866790209283
2025-04-16,24.636292428152725,19.906170217506926,16.31598413172502,15.30683730846731,12.974912427211907,10.859803486936112
2025-04-23,24.673968205777612,19.89621873732314,16.307827455127175,15.29918512391914,12.968426017094092,10.85437446075884
2025-04-24,24.672858106194145,19.899822664079966,16.307093754235847,15.298496802572052,12.96784255827629,10.853886114641702
2025-05-02,24.674708327664284,19.893815939312567,16.308316625734957,15.299644039228749,12.968815018808405,10.854700049251035
