date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,DBS BANK LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,SDICS INTERNATIONAL SECURITIES (HONG,BANK OF CHINA (HONG KONG) LTD,MERRILL LYNCH FAR EAST LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,22.297718481844395,11.628354100752421,8.841017133137571,11.989587122336422,0.0,4.375861790346577,2.1306583262764147,1.4316471769426797,2.753787007823489,0.0,65.44863113945996
2024-03-04,22.89389801984492,11.553980327749635,8.843721327796624,11.762742311659453,6.505023221961268,4.375922511808467,2.130197384004985,1.427652343923624,2.736798642385622,1.4375111616018672,73.66744725273647
2024-03-05,22.8350822162233,11.456721508478006,8.913538717175816,11.822970258023826,6.503609665662216,4.375922450349497,2.139846442220243,1.4309403987931546,2.757031979955383,1.438555964083774,73.67421960096522
2024-03-06,22.8885531791013,11.491998956984744,8.886097287283379,11.85144880802698,6.503609665662216,4.345285154041815,2.141014162641198,1.4269455657740986,2.705670657665261,1.438555964083774,73.67917940126476
2024-03-07,22.900181093217288,11.465448682150404,8.843475491918529,11.89275476685432,6.503609665662216,4.30453859475508,2.141014162641198,1.4308174808541068,2.6817698175481275,1.438555964083774,73.60216571968505
2024-03-08,22.80520492153275,11.445013574783696,8.858071997180463,11.946070238539425,6.503640395146978,4.3037795764814595,2.140061548613577,1.4348123138731623,2.7045903933579383,1.438555964083774,73.57980092359323
2024-03-11,22.971536923521604,11.38619734094929,8.861237134110947,11.84671720488127,6.5005674466707815,4.303678169181745,2.1384943448907165,1.4339518882998274,2.7036091394505193,1.438555964083774,73.58454555604047
2024-03-12,22.993105211368395,11.379867067088325,8.84098640365281,11.791351523431814,6.5005674466707815,4.356041211216138,2.138248509012621,1.4307252923998208,2.6866363231319417,1.438555964083774,73.55608495205642
2024-03-13,22.984074553304488,11.343019280451278,8.863480386498571,11.723004171144668,6.5005674466707815,4.356041211216138,2.138279238497383,1.4306638334302968,2.7195535013730834,1.438555964083774,73.49723958667046
2024-03-14,23.096659518724238,11.334230647809356,8.87863002248622,11.71594321159503,6.5005674466707815,4.303678169181745,2.1413521869735797,1.4299292758265467,2.726058564543375,1.438555964083774,73.56560500789465
