date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-04,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,24.326763953663306,37.565819166541296,0.0,0.0,18.925831202046037,19.18158567774936
2024-03-07,24.383644016837042,37.537582681900176,0.0,0.0,18.911605532170775,19.167167769092003
2024-03-11,24.360902255639097,37.54887218045113,0.0,0.0,18.917293233082706,19.172932330827066
2024-03-12,24.326763953663306,37.565819166541296,0.0,0.0,18.925831202046037,19.18158567774936
2024-03-13,25.359845674432407,37.052975218875204,0.0,0.0,18.667458079833803,18.919721026858586
2024-03-14,25.370919881305635,37.047477744807125,0.0,0.0,18.6646884272997,18.916913946587538
2024-03-15,25.800265525888772,36.834341348281455,0.0,0.0,18.55730933766042,18.80808378816935
2024-03-20,25.909559581676238,36.78008543231698,0.0,0.0,18.5299749594933,18.780380026513477
2024-03-21,25.920471281296027,36.77466863033874,0.0,0.0,18.527245949926364,18.77761413843888
2024-04-03,19.340659340659343,27.439560439560438,25.384615384615383,0.0,13.824175824175825,14.010989010989011
2024-05-09,19.349522030546094,27.436545434567627,25.38182617294803,0.0,13.822656850895507,14.009449511042742
2024-05-24,19.331794702714582,27.442576107264532,25.387405209363667,0.0,13.825695131333113,14.012528849324102
2024-06-07,19.322928116069466,27.44559243789844,25.390195647395032,0.0,13.827214772477467,14.014069026159595
2024-07-09,19.349522030546094,27.436545434567627,25.38182617294803,0.0,13.822656850895507,14.009449511042742
2024-07-18,19.143385150559844,27.14425481030547,25.11142515490814,0.0,13.675399499945645,14.9255353842809
2024-07-23,19.13459447706023,27.147205914329202,25.11415525114155,0.0,13.676886279626006,14.927158077843009
2024-07-24,19.493451672258903,27.02673449507522,25.002705920554174,0.0,13.61619222859617,14.860915683515532
2024-08-15,19.519584505518285,27.017961480199094,24.99458991560268,0.0,13.611772343648562,14.856091755031379
2024-08-16,19.510875446380265,27.020885185585975,24.997294665079536,0.0,13.613245319770586,14.857699383183636
2024-08-20,19.519584505518285,27.017961480199094,24.99458991560268,0.0,13.611772343648562,14.856091755031379
2024-08-23,19.528291680190417,27.01503840744347,24.99188575137942,0.0,13.610299686249054,14.854484474737639
2024-09-09,19.519584505518285,27.017961480199094,24.99458991560268,0.0,13.611772343648562,14.856091755031379
2024-09-26,19.5021645021645,27.023809523809522,25.0,0.0,13.614718614718615,14.859307359307358
2024-09-27,19.493451672258903,27.02673449507522,25.002705920554174,0.0,13.61619222859617,14.860915683515532
2024-10-03,19.484736956051094,27.029660099588654,25.00541242693224,0.0,13.61766616150682,14.862524355921195
2024-10-07,19.493451672258903,27.02673449507522,25.002705920554174,0.0,13.61619222859617,14.860915683515532
2024-10-31,19.484736956051094,27.029660099588654,25.00541242693224,0.0,13.61766616150682,14.862524355921195
2024-11-04,19.40073291657685,27.3442552274197,24.89760724294029,0.0,13.558956671696487,14.798447941366675
2024-11-15,19.58275083342295,27.28250349499946,24.841380793633725,0.0,13.528336380255942,14.765028497687924
2024-11-18,19.538626609442062,27.221030042918454,25.010729613733908,0.0,13.49785407725322,14.73175965665236
2024-11-25,19.88247863247863,27.10470085470085,24.903846153846153,0.0,13.44017094017094,14.668803418803419
2024-11-29,19.89103728234163,27.10180536267493,24.90118577075099,0.0,13.438735177865613,14.66723640636684
2024-12-18,19.78821264306343,27.13659214889293,24.93314793025992,0.0,13.455984597283132,14.686062680500589
2024-12-19,19.854592109483587,27.124986635304182,24.89040949427991,0.0,13.450229872768096,14.679781888164225
2024-12-20,19.897413977345586,27.110493695234023,24.877110493695234,0.0,13.443043385338749,14.671938448386406
2024-12-23,19.876041889292583,27.110493695234023,24.898482581748237,0.0,13.443043385338749,14.671938448386406
2025-02-04,20.02986348122867,27.058447098976107,24.850682593856654,0.0,13.417235494880547,14.64377133105802
2025-02-21,19.7481243301179,20.944980350125046,20.81100392997499,14.478385137549123,11.754197927831369,12.26330832440157
2025-02-24,19.673601147776186,21.027618364418938,20.946915351506455,14.535509325681492,12.464131994261118,11.35222381635581
2025-02-25,21.205877082960043,21.008779788568358,20.95502598100699,14.522487009496507,12.667980648629278,9.639849489338829
2025-02-26,21.078519048470756,21.15006260060812,21.006975496333393,14.496512251833305,12.64532284027902,9.622607762475408
2025-02-28,21.163499462172823,21.19935460738616,21.10075295804948,14.530297597705271,12.674793832915023,9.331301541771245
2025-03-03,21.377459749552774,21.153846153846153,21.100178890876563,14.499105545617175,12.647584973166367,9.221824686940966
2025-03-05,21.386404293381037,21.153846153846153,21.100178890876563,14.499105545617175,12.647584973166367,9.212880143112702
2025-03-06,21.958217519949788,21.205056935353717,21.169192145611046,13.763113063749662,12.678203174033891,9.226217161301891
2025-03-07,22.098953207479646,21.1595240225463,21.168470967164712,13.733559989263666,12.650979690435715,9.188512123109959
2025-03-14,22.567084078711986,21.153846153846153,21.16279069767442,13.282647584973168,12.647584973166367,9.186046511627907
2025-03-18,22.97357416140226,21.05169499065753,21.042797401904085,13.212919298870007,12.58119049737521,9.137823649790906
2025-03-21,22.980427046263348,21.04982206405694,21.040925266903916,13.211743772241993,12.580071174377224,9.137010676156583
2025-03-24,23.25354609929078,20.97517730496454,20.96631205673759,13.164893617021276,12.535460992907801,9.104609929078014
