date,ACER KING SECURITIES INTERNATIONAL LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,ABCI SECURITIES CO LTD,BRIGHT SMART SECURITIES INTERNATIONAL,FIRST SHANGHAI SECURITIES LTD,CMB WING LUNG BANK LTD,CCB INTERNATIONAL SECURITIES LTD
2024-03-01,0.0,34.68400885642914,39.42016208523279,0.0,0.0,25.895829058338073,0.0,0.0,0.0,0.0
2024-03-04,0.0,24.191380171174952,27.47380164877928,30.282941103313966,0.0,18.051877076731802,0.0,0.0,0.0,0.0
2024-03-05,0.0,22.234204412884832,25.22619474980552,27.86684387058478,0.0,16.600908616909475,0.0,0.0,0.0,8.071848349815397
2024-03-06,0.0,22.24395041156419,25.266429973401184,27.837282068045443,0.0,16.58744226002907,0.0,0.0,0.0,8.06489528696011
2024-03-07,0.0,22.243734350325088,25.288729833259826,27.815129767815733,0.0,16.587488351662422,0.0,0.0,0.0,8.064917696936933
2024-03-08,0.0,22.236295038709695,25.289940592928,27.812431810478955,0.0,16.595585604242387,0.0,0.0,0.0,8.065746953640964
2024-03-11,0.0,19.82187196351271,22.543951837533722,24.77942084309287,0.0,14.793880046873504,10.870909393944137,0.0,0.0,7.189965915043062
2024-03-12,0.0,19.822070584164457,22.543895990702215,24.779359458462938,0.0,14.793843398847805,10.870882464067352,0.0,0.0,7.189948103755232
2024-03-13,0.0,19.823347372274323,22.54039329448569,24.77946911655948,0.0,14.794796306530719,10.871582684229265,0.0,0.0,7.190411225920521
2024-03-14,0.0,17.982981704812225,20.410540259265726,22.455991174635294,0.0,13.401315226284568,9.844321399337883,9.393864562524755,0.0,6.510985673139547
2024-03-15,0.0,18.039889813057002,20.503658657422434,22.46631421588197,0.0,13.417724904575493,9.84648609487594,9.213508922083628,0.0,6.512417392103533
2024-03-20,0.0,18.050217607477116,20.465331473441903,22.50162701585401,0.0,13.425406520474267,9.852123184969184,9.189148462064779,0.0,6.516145735718744
2024-03-21,0.0,18.049506825649395,20.464780130457697,22.50102081437594,0.0,13.427963372273199,9.85185776542274,9.188900903282654,0.0,6.515970188538376
2024-03-22,0.0,18.034972762577436,20.46229945460506,22.49649750692889,0.0,13.452823800018443,9.850439078798754,9.187787053808691,0.0,6.5151803432627275
2024-03-25,0.0,16.623602062532452,18.860972394899054,20.73597932634158,0.0,12.400040322373737,9.079568987592262,8.468774410057685,7.825743452042115,6.00531904416111
2024-03-26,0.0,16.62160343662372,18.86034801558749,20.735292876235764,0.0,12.404388571004835,9.079268414805501,8.468494057198605,7.825484386273566,6.005120242270518
2024-03-27,0.0,16.637982041369256,18.856330540241224,20.736108040796363,0.0,12.389978702338174,9.079625347205353,8.468826978285291,7.825792028783335,6.005356320980999
2024-03-28,0.0,16.637259134100997,18.85551124747084,20.73582777624763,0.0,12.393164585959598,9.079230844606405,8.46845901439634,7.825452004258519,6.005095392959671
2024-04-02,0.0,16.63946585326855,18.86228818539015,20.721930001989577,0.0,12.397819013401671,9.079305985315534,8.468529100290889,7.825516768556611,6.00514509178702
2024-04-03,0.0,16.609827958050964,18.92058032307691,20.64997085859943,0.0,12.413052100317987,9.087428509136549,8.476105211224624,7.832517628145126,6.010517411448412
2024-04-05,0.0,16.610138238617534,18.919869513970937,20.650099150131084,0.0,12.413129218560785,9.087484966364999,8.476157870500876,7.8325662890217,6.010554752832089
2024-04-08,0.0,16.61819174404711,18.915364772688502,20.64849508553726,0.0,12.418662337270844,9.085321274450989,8.474139732994827,7.830701387961811,6.009123665048664
2024-04-09,0.0,16.61767627452518,18.911643967946,20.647390331014947,0.0,12.42309115724181,9.087203615718673,8.473771307301057,7.83036093669685,6.008862409555483
2024-04-10,0.0,15.320266500577157,17.461492479987573,19.061011213870543,7.700777730387462,11.468792049721047,8.3890161054278,7.822714993168837,7.22873909148865,5.547189835370935
2024-04-11,0.0,15.31663654880229,17.457355190625332,19.056494937898194,7.721882598493365,11.466838974022204,8.387028429567192,7.820861495504639,7.227026329227352,5.545875495859433
2024-04-12,0.0,15.33086247341037,17.480764022699997,19.065570096631,7.740647029853968,11.451631222477234,8.375905238176221,7.798657992704664,7.21744157609069,5.538520347955862
2024-04-15,0.0,14.85071396535799,17.599861495717494,19.18248291765188,7.814241170965112,11.513091842931606,8.412226819616105,7.819605989344551,7.246758346814356,5.561017451600908
2024-04-16,0.0,14.842567921051659,17.606713263817237,19.182850462325916,7.814390895207608,11.513312438753678,8.41238800152241,7.819755816379288,7.246897197840359,5.5611240031018445
