date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,HANG SENG BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,THE BANK OF EAST ASIA LTD,TOTAL_CCASS_PCT
2024-03-01,7.053292038510197,1.216706391920578,0.0,0.43829199991423123,0.2982364731865257,0.08185775242832945,0.21731442416965072,0.17473113622231276,0.14618576666595193,0.09828522417822758,9.724901207196003
2024-03-04,7.047665810408045,1.2135678023886614,0.0,0.4445531230568004,0.29885174432317685,0.0821665201449493,0.21666484550893067,0.1760955807620559,0.14615145914188304,0.09825091665415871,9.72396780238866
2024-03-05,7.0378828826897095,1.2085447691746898,0.0,0.4408479104573622,0.3009929112078393,0.08238951905139695,0.21656192293672405,0.17611101914788688,0.14604853656967645,0.09825091665415871,9.707630387889445
2024-03-06,7.022972215193944,1.2080252503377147,0.0,0.4409165255054999,0.30156241610738255,0.08233805776529365,0.21781414756523793,0.18119220361515534,0.1448477732272659,0.09828522417822758,9.697953813495722
2024-03-07,7.033277680811373,1.2008790273816925,0.0,0.43889807663443187,0.29225303514377,0.08204644381070823,0.2271818513197676,0.20129641271951454,0.1448477732272659,0.09828522417822758,9.718965525226752
2024-03-08,7.0206387889443995,1.2095818856272917,0.0,0.43752574136415295,0.3046401440916011,0.08082852670626327,0.2286742286167635,0.1843571070180329,0.1449506957994725,0.09828522417822758,9.709482342346206
2024-03-11,7.034171185968223,1.1660728434504792,0.0,0.4364745931342067,0.2943818856272916,0.08081137294422883,0.2284215193944722,0.18563430752406887,0.1449850033235414,0.09828522417822758,9.66923793554474
2024-03-12,7.0116332354139415,1.213206475545168,0.5030464566760298,0.4346163604005403,0.28875545167999656,0.07770654201599589,0.22883320968329868,0.1789294165576688,0.1454138473744023,0.09828522417822758,10.18042621952527
2024-03-13,7.023039046250831,1.2127398246027832,0.5030464566760298,0.431533246135043,0.2899081844887107,0.07782661835023694,0.22866270128867636,0.17762573064305168,0.14553392370864335,0.09828522417822758,10.188200956322234
2024-03-14,7.029920552351138,1.2162701031369942,0.5033552243926497,0.4256730407187426,0.2899219418058623,0.07729485172716942,0.22881516392563844,0.17760034307524067,0.14556823123271223,0.09862829941891631,10.193047751785063
2024-03-15,6.915243055942706,1.2173387825117394,0.5033552243926497,0.4209113965306517,0.2883613611510174,0.07834123121127003,0.22563063661899352,0.1775974612432189,0.14724929991208696,0.09859399189484742,10.072622441409182
2024-03-18,6.956755674678903,1.2107421317837768,0.5033552243926497,0.417664738297918,0.2864362973604649,0.07854707635568325,0.22553972168021097,0.17764302163518236,0.14723214615005253,0.09859399189484742,10.102510024229689
2024-03-19,6.9791908850896744,1.2162320090283372,0.504043032325776,0.4182079712522352,0.2891981510460057,0.07561404201887088,0.22550436558581988,0.1775804537186065,0.14401506784135823,0.09872871529990536,10.128314693206589
2024-03-20,6.977724948339565,1.2132062105890578,0.5041629979026636,0.413192228346849,0.28289755345115747,0.0752533207825246,0.22581355521697383,0.17771866148373233,0.1460763320490512,0.09946733497432868,10.115513143135905
2024-03-21,6.990738636851625,1.2139441775298152,0.5041629979026636,0.4210948404839161,0.28168041129091825,0.0753220295894477,0.22349463298331923,0.18002040651565618,0.14544077558501256,0.09946733497432868,10.135366243706704
