date,THE HONGKONG AND SHANGHAI BANKING,CMB INTERNATIONAL SECURITIES LTD,CMB WING LUNG BANK LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,HANG SENG SECURITIES LTD,BANK OF COMMUNICATIONS TRUSTEE LTD
2024-03-01,99.90371622345226,0.0,0.0,0.0,0.0601170825189498,0.0,0.010448156052758655,0.02571853797602131,0.0,0.0
2024-03-04,99.90355563761541,0.0,0.0,0.0,0.06011698588638827,0.0,0.010608879862303812,0.025718496635888027,0.0,0.0
2024-03-07,99.9037163782194,0.0,0.0,0.0,0.05995624528241397,0.0,0.010608879862303812,0.025718496635888027,0.0,0.0
2024-03-08,99.8001400158386,0.0,0.0,0.0,0.05893206349456137,0.10463733115793195,0.010598136759239919,0.02569245274967253,0.0,0.0
2024-03-14,99.80062078885122,0.0,0.0,0.0,0.05861119018492192,0.1046378352334265,0.010437609211013492,0.02569257651941783,0.0,0.0
2024-03-15,83.00587860372619,16.16050912395105,0.0,0.0,0.0487482403471222,0.08702963248601435,0.008681193486473816,0.6891532060031521,0.0,0.0
2024-03-18,83.00562893516353,16.16074654552707,0.0,0.0,0.048748956530254954,0.08703091107893161,0.008681321025935815,0.6891633306742891,0.0,0.0
2024-03-19,83.00544735341924,16.160919220145928,0.0,0.0,0.04874947740393273,0.0870318409882868,0.008681413784261993,0.6891706942583367,0.0,0.0
2024-03-20,83.00555821581884,16.16094080473274,0.0,0.0,0.04861598212347598,0.08703195722835344,0.008681425379192139,0.6891716147174067,0.0,0.0
2024-03-22,83.09025094156786,16.080401876487656,0.0,0.0,0.04837370173008079,0.08659822873179271,0.008638161023228712,0.685737090459387,0.0,0.0
2024-03-25,83.10708829058674,16.064390323754203,0.0,0.0,0.04832553514306931,0.08651200127823697,0.008629559846976663,0.6850542893907627,0.0,0.0
2024-03-27,83.0481009554799,16.052988220819234,0.07097750182344187,0.0,0.048423903113189316,0.0864505972209522,0.008623434800978918,0.6844353867423114,0.0,0.0
2024-03-28,83.0537215373046,16.04766568240692,0.07095396848032415,0.0,0.04840784765480059,0.08642193360903482,0.008620575609759009,0.6842084549345651,0.0,0.0
2024-04-02,83.05350123915473,16.04762311633048,0.07095378027650025,0.0,0.04840771925406092,0.0864217043767773,0.008620552743873862,0.6844718878635847,0.0,0.0
2024-04-03,83.71685353575492,16.04765504086664,0.07095392142927456,0.0,0.048142567250143306,0.08642187630085643,0.00862056989327635,0.021352488504884498,0.0,0.0
2024-04-05,83.7222398019993,16.042346672312817,0.07093045073749274,0.0,0.0481266422760932,0.08639328899826615,0.008617718313900985,0.02134542536212398,0.0,0.0
2024-04-09,83.72201780422512,16.042304134448777,0.07093026265840857,0.0,0.048126514663555726,0.08692337963875217,0.008617695463171135,0.021080208902218622,0.0,0.0
2024-04-10,83.72234151784893,16.041985107658892,0.07092885209706952,0.0,0.04812555759109576,0.0869216510287882,0.008617524086559848,0.02107978968866178,0.0,0.0
2024-04-26,83.7218975329452,16.04190003599123,0.07092847595685414,0.0,0.0486556087404962,0.08692119007774259,0.008617478387281344,0.021079677901195904,0.0,0.0
2024-05-03,83.7218975329452,16.04190003599123,0.07092847595685414,0.0,0.04905333851221689,0.08692119007774259,0.008617478387281344,0.020681948129475228,0.0,0.0
2024-05-10,83.72200852872966,16.041921303823557,0.07092856999153398,0.0,0.04971628737724344,0.08612584471700975,0.008617489812055531,0.020681975548933272,0.0,0.0
2024-05-13,83.7218975329452,16.04190003599123,0.07092847595685414,0.0,0.049848798055658235,0.08612573053430123,0.008617478387281344,0.020681948129475228,0.0,0.0
2024-05-20,83.72200852872966,16.041921303823557,0.07092856999153398,0.0,0.049848864143582756,0.08612584471700975,0.008617489812055531,0.02054939878259396,0.0,0.0
2024-05-21,83.72178653745505,16.041878768215295,0.07092838192242364,0.0,0.05011388479752548,0.08612561635189546,0.008617466962537451,0.020549344295281616,0.0,0.0
2024-05-22,83.72009693354991,16.042367941329434,0.07093054477740884,0.0,0.051308637063284535,0.08612824262382825,0.008617729739311355,0.020549970916819385,0.0,0.0
2024-05-23,83.72076291777304,16.04249555661348,0.07093110902214207,0.0,0.051176463705695036,0.0854660202036326,0.008617798292409785,0.02055013438959256,0.0,0.0
2024-05-27,83.71987494116343,16.042723143670532,0.07093035669782596,0.0,0.051175920907216496,0.08546511371611132,0.009280607418407137,0.02054991642647295,0.0,0.0
2024-05-29,83.72199313114564,16.042595527929617,0.07092979246506186,0.0,0.049319407097201895,0.0854644338630894,0.009280533593559495,0.02041717390583089,0.0,0.0
2024-05-30,83.7250328678318,16.04129821646877,0.07092405660813521,0.0,0.04918285047031432,0.08413183933686139,0.009279783107606476,0.02015038617651692,0.0,0.0
2024-05-31,83.72505444325535,16.04127695081579,0.07092396258542237,0.0,0.049182785269517186,0.08413172780483476,0.009279770805569281,0.020150359463521866,0.0,0.0
2024-06-05,83.72461047457193,16.04119188876769,0.07092358649706385,0.0,0.0495802268222465,0.08293817461711786,0.010605396111710482,0.020150252612249914,0.0,0.0
2024-06-06,83.72472146630136,16.04121315419514,0.07092368051877955,0.0,0.04958029254957673,0.08293828456628793,0.010605410171032455,0.020017711697823758,0.0,0.0
2024-06-14,83.72461047457193,16.04119188876769,0.07092358649706385,0.0,0.0495802268222465,0.08267303971432509,0.010605396111710482,0.02041538751504268,0.0,0.0
2024-06-17,83.72461047457193,16.04119188876769,0.07092358649706385,0.0,0.04984536172503927,0.08267303971432509,0.010605396111710482,0.020150252612249914,0.0,0.0
2024-06-18,83.72449948313675,16.04117062339662,0.07092349247559743,0.0,0.05103840112729908,0.0812146900847201,0.010605382052425784,0.020547927726574957,0.0,0.0
2024-06-19,83.72472146630136,16.04121315419514,0.07092368051877955,0.0,0.05064083356667998,0.08121490541349517,0.010605410171032455,0.02068054983351329,0.0,0.0
2024-06-20,83.72472146630136,16.04121315419514,0.07092368051877955,0.0,0.04958029254957673,0.07617733558225476,0.010605410171032455,0.026778660681856952,0.0,0.0
2024-06-25,83.72461047457193,16.04119188876769,0.07092358649706385,0.0,0.04997792917643565,0.07591209969310966,0.010605396111710482,0.026778625182068968,0.0,0.0
2024-06-26,83.72449948313675,16.04117062339662,0.07092349247559743,0.0,0.05011043019771183,0.0759119990585072,0.010605382052425784,0.026778589682375103,0.0,0.0
2024-06-28,83.72483245832507,16.041234419678972,0.07092377454074453,0.0,0.05024319729148071,0.07538202975159544,0.010605424230391706,0.026778696181739055,0.0,0.0
2024-07-04,83.72454574670721,16.04125568521919,0.0709238685629588,0.0,0.05050839985511645,0.07538212968402853,0.010605438289788232,0.02677873168171529,0.0,0.0
2024-07-05,83.72443475491643,16.041234419678972,0.07092377454074453,0.0,0.050640900700120395,0.07538202975159544,0.010605424230391706,0.026778696181739055,0.0,0.0
2024-07-09,83.72403705150779,16.041234419678972,0.07092377454074453,0.0,0.05103860410876008,0.07538202975159544,0.010605424230391706,0.026778696181739055,0.0,0.0
2024-07-11,83.72381506986353,16.04119188876769,0.07092358649706385,0.0,0.051833873495984985,0.07485156008193862,0.010605396111710482,0.026778625182068968,0.0,0.0
2024-07-16,83.72218419521374,16.041362013766015,0.07092433867776948,0.0,0.05236469864994196,0.07511749163548509,0.010605508587330018,0.02744175346971642,0.0,0.0
2024-07-17,83.72140727562292,16.04121315419514,0.07092368051877955,0.0,0.052364212719472746,0.07604476795511685,0.010605410171032455,0.02744149881754648,0.0,0.0
2024-07-18,83.76843354486364,16.05022349495845,0.07096351831181424,0.0,0.052393625669470326,0.019917536279816874,0.010611367224196522,0.0274569126926085,0.0,0.0
2024-07-19,83.78489916446851,16.053378345341315,0.07097746698255929,0.0,0.05240392422076808,0.00026533632516844596,0.010613453006737838,0.027462309654934153,0.0,0.0
2024-07-22,83.8944410848558,15.925623741477235,0.07041262025792801,0.0,0.051986887853984226,0.01976291412697284,0.01052898994511073,0.027243761482974013,0.0,0.0
