date,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,EVERBRIGHT SECURITIES INVESTMENT,ICBC (ASIA) SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,2.581555159834946,0.0,0.0,0.0,0.0,0.0,2.581555159834946
2024-03-04,0.0,0.0,0.0,2.581555159834946,0.0,0.0,0.0,2.0489630381845334,0.0,4.630518198019479
2024-03-05,25.409967819469887,0.0,0.0,2.5988386945307242,0.0,0.0,0.0,2.0489630381845334,0.0,30.057769552185142
2024-03-06,25.409967819469887,0.0,0.0,2.611801345552558,0.0,0.0,0.0,2.0489630381845334,0.0,30.07073220320698
2024-03-11,25.409967819469887,0.0,1.5059719898254942,2.647232591678904,0.0,1.9686522136314828,0.0,2.062789865941156,0.0,33.59461448054692
2024-03-13,25.409967819469887,17.25077678038116,1.5016511061515496,2.647232591678904,0.0,1.9686522136314828,0.0,2.062789865941156,0.0,50.84107037725414
2024-03-14,25.409967819469887,17.24991260364637,1.4999227526819718,2.6731578937225717,0.0,1.9686522136314828,1.6908960170673293,2.062789865941156,0.0,52.555299166160765
2024-03-15,25.409967819469887,17.2239873016027,1.4999227526819718,2.696490665561872,0.0,1.9686522136314828,1.6908960170673293,2.062789865941156,0.0,52.552706635956405
2024-03-18,25.43848565171792,17.191148585680722,1.5344898220735286,2.9159915561982586,0.0,1.9997625760838842,1.713364612171841,2.0247660896104436,5.501349093666275,58.31935798720287
2024-03-19,25.43848565171792,17.2084321203765,1.5180704641125393,2.9324109141592483,0.0,1.9911208087359948,1.6960810774760626,2.046370507980167,5.5022132704010644,58.333184814959495
2024-03-20,25.43848565171792,17.2084321203765,1.5180704641125393,2.921176616606992,0.0,1.9902566320012058,1.6960810774760626,2.046370507980167,5.5022132704010644,58.32108634067246
2024-03-21,25.43589312151355,17.2084321203765,1.5206629943169059,2.936731797833193,0.0,1.9902566320012058,1.6960810774760626,2.046370507980167,5.5022132704010644,58.33664152189865
2024-03-22,25.43589312151355,17.206703766906923,1.5206629943169059,2.936731797833193,0.0,1.9902566320012058,1.6960810774760626,2.046370507980167,2.7774640256115943,55.6101639236396
2024-03-25,25.440214005187496,17.180778464863256,1.5249838779908507,2.935867621098404,0.0,1.987664101796839,1.7963255787115777,2.0247660896104436,2.792155030103006,55.68275476936188
2024-03-26,25.440214005187496,17.180778464863256,1.5249838779908507,2.935867621098404,0.0,1.987664101796839,1.827435941163979,2.0247660896104436,2.792155030103006,55.71386513181428
2024-03-28,25.458361716618068,17.180778464863256,1.5258480547256394,2.9388922396701647,0.0,1.9721089205706386,1.8965700799470926,2.0247660896104436,2.791290853368217,55.78861641937352
2024-04-02,25.458361716618068,17.180778464863256,1.5232555245212727,2.9129669376264973,0.0,2.009268520166562,2.1385395656879904,2.0074825549146653,2.7705506117332828,56.00120389613159
2024-04-03,25.458361716618068,17.24040665956369,1.5128854037038055,2.8714864543566287,0.0,2.009268520166562,2.1376753889532014,1.998840787566776,2.7705506117332828,55.99947554266201
2024-04-05,25.443670712126654,17.24040665956369,1.4930093388036605,2.785068780877737,0.0,2.009268520166562,2.135082858748835,1.998840787566776,2.7705506117332828,55.875898269587196
2024-04-09,25.443670712126654,17.24040665956369,1.5025152828863386,2.785068780877737,0.0,2.009268520166562,2.135082858748835,1.998840787566776,2.7705506117332828,55.88540421366987
2024-04-12,25.443670712126654,17.236949952624535,1.5249838779908507,2.785068780877737,0.0,2.009268520166562,2.264709368967173,1.998840787566776,2.758452137446238,56.021944137766525
2024-04-16,25.443670712126654,17.236949952624535,1.5249838779908507,2.785068780877737,0.0,2.0058118132274068,2.264709368967173,1.998840787566776,2.758452137446238,56.01848743082737
2024-04-18,25.443670712126654,17.236949952624535,1.5249838779908507,2.7651927159775918,0.0,2.0058118132274068,2.264709368967173,1.998840787566776,2.758452137446238,55.99861136592722
2024-04-19,25.443670712126654,17.236949952624535,1.5249838779908507,2.6787750424986996,0.0,1.9919849854707838,2.365818046937477,1.998840787566776,2.7472178398939824,55.98824124510976
