date,CGS INTERNATIONAL SECURITIES HK LTD,PHILLIP SECURITIES (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FORTUNE (HK) SECURITIES LTD,CMB WING LUNG BANK LTD,MIB SECURITIES (HONG KONG) LTD,DEUTSCHE BANK AG,BLACKWELL GLOBAL SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,19.940107788241416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.940107788241416
2024-03-04,0.0,19.932223456529588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.932223456529588
2024-03-05,0.0,19.9382224045712,0.3998727366022601,0.0,0.0,0.0,0.0,0.0,0.0,20.338095141173458
2024-03-06,0.0,19.932223456529588,0.39970133808678554,0.0,0.0,0.0,0.0,0.0,0.0,20.331924794616373
2024-03-11,0.0,19.940107788241416,0.3995299395713109,0.0,0.0,0.0,0.0,0.0,0.0,20.33963772781273
2024-03-12,0.0,19.932223456529588,0.39935854105583624,0.0,0.0,0.0,0.0,0.0,0.0,20.331581997585424
2024-03-13,0.0,19.932223456529588,0.4079284668295667,0.0,0.0,0.0,0.0,0.0,0.0,20.340151923359155
2024-03-14,0.0,19.940279186756893,0.4079284668295667,0.0,0.0,0.0,0.0,0.0,0.0,20.34820765358646
2024-03-15,0.0,19.932223456529588,0.4164983926032971,0.0,0.0,0.0,0.0,0.0,0.0,20.348721849132883
2024-03-18,0.0,19.932223456529588,0.4163269940878225,0.0,0.0,0.0,0.0,0.0,0.0,20.34855045061741
2024-03-19,0.0,19.9382224045712,0.42489691986155287,0.0,0.0,0.0,0.0,0.0,0.0,20.363119324432752
2024-03-20,0.0,19.932223456529588,0.42489691986155287,0.0,0.0,0.0,0.0,0.0,0.0,20.35712037639114
2024-03-22,0.0,19.9382224045712,0.42489691986155287,0.0,0.0,0.0,0.0,0.0,0.0,20.363119324432752
