date,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,FIRST SHANGHAI SECURITIES LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-03-01,0.0,0.0,0.0,62.02906004886203,0.0,0.0,0.0,11.952924615769847,26.018015335368123
2024-03-04,0.0,0.0,0.0,61.863543444674576,0.0,0.0,0.0,11.983295439978951,26.153161115346474
2024-03-05,0.0,0.0,0.0,61.76116045874216,0.0,0.0,0.0,11.961506603004855,26.277332938252982
2024-03-06,0.0,49.19809646056369,0.0,31.311789927900374,0.0,0.0,0.0,6.099451059646056,13.390662551889884
2024-03-07,0.0,49.211536360159535,0.0,31.293025733486314,0.0,0.0,0.0,6.101117303174343,13.394320603179807
2024-03-08,92.78618086775296,3.5505768186930498,0.0,2.256660543905968,0.0,0.0,0.0,0.4401912085458746,0.9663905611021398
2024-03-11,92.78298060171451,3.550454356594669,0.0,2.2596622422455654,0.0,0.0,0.0,0.44017602601586897,0.9667267734293782
2024-03-12,92.76321242406433,3.548958972794103,0.0,2.2589344925142796,0.0,0.0,0.0,0.45880180994715447,0.9700923006801245
2024-03-13,92.76915341855023,3.552019012376361,0.0,2.2419595175481755,0.0,0.0,0.0,0.4593238455185993,0.977544206006629
2024-03-14,92.77920914299717,3.552404033939052,0.0,2.238260893949837,0.0,0.0,0.0,0.4593736339865569,0.9707522951273811
2024-03-15,92.77578081021629,3.552272767211161,0.0,2.2418733387851524,0.0,0.0,0.0,0.45935665943263887,0.9707164243547559
2024-03-18,91.46899174815188,3.500658711470445,0.0,2.198759037070322,0.0,0.0,1.3875369076650814,0.45288641199423724,0.9911671836480304
2024-03-19,91.46710347781011,3.5005864444661277,0.0,2.198349343374586,0.0,0.0,1.3875082635886486,0.4553057485996218,0.9911467221609093
