date,CITIBANK N.A.,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,YUANTA SECURITIES (HONG KONG) CO LTD,THE HONGKONG AND SHANGHAI BANKING,IFAST SECURITIES (HK) LTD,ICBC (ASIA) SECURITIES LTD
2024-03-26,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-05-03,0.0,0.0,50.898203592814376,34.13173652694611,0.0,14.97005988023952,0.0
2024-05-17,0.0,0.0,48.98911353032659,35.45878693623639,0.0,15.552099533437014,0.0
2024-05-20,0.0,0.0,51.2630014858841,33.87815750371471,0.0,14.85884101040119,0.0
2024-05-22,0.0,0.0,50.52790346907994,34.38914027149321,0.0,15.082956259426847,0.0
2024-05-27,0.0,0.0,49.382716049382715,35.18518518518518,0.0,15.432098765432098,0.0
2024-06-13,0.0,0.0,48.632218844984806,34.650455927051674,0.0,16.717325227963524,0.0
2024-08-21,0.0,0.0,54.50874831763123,30.686406460296094,0.0,14.804845222072679,0.0
2024-09-30,63.64229765013055,0.0,6.364229765013055,3.720626631853786,0.0,1.7950391644908616,24.47780678851175
2024-10-03,63.59041252241969,0.0,6.440567422142508,3.7175933474645357,0.0,1.7935757378118378,24.45785097016142
2024-10-04,63.43526350032531,0.0,6.58750813272609,3.708523096942095,0.0,1.7891997397527653,24.479505530253743
2024-10-07,63.17835736270857,0.0,6.641827312489876,3.6935039688968088,0.0,2.105945245423619,24.380366110481127
2024-10-09,63.22957198443579,0.0,6.56614785992218,3.6964980544747084,0.0,2.1076523994811933,24.400129701686122
2024-10-14,64.21867281409519,0.0,5.104561172402438,3.7543224106701794,0.0,2.1406224271365057,24.781821175695704
2024-10-15,63.90299852531541,0.0,5.571030640668524,3.735867606095363,0.0,2.130099950843847,24.660003277076846
2024-10-25,83.81689232753062,0.0,7.307113690092414,4.9000644745325594,0.0,2.7938964109176876,1.1820330969267139
2024-11-27,83.90705679862306,0.0,7.314974182444062,4.905335628227195,0.0,2.7969018932874357,1.0757314974182444
2025-02-13,83.0140485312899,0.0,8.301404853128991,4.853128991060025,0.0,2.7671349510429972,1.064282673478076
2025-02-17,82.92579204762917,0.0,8.398894322772698,4.847969381246013,0.0,2.764193068254306,1.06315118009781
2025-02-18,82.0534399326741,0.0,9.257311171891438,4.9021670523879655,0.0,2.73511466442247,1.0519671786240268
2025-02-25,82.22643896268184,0.0,9.065991988193128,4.912502635462787,0.0,2.7408812987560616,1.0541851149061774
2025-02-27,85.06113769271664,0.0,7.620060251639199,4.129009392167287,0.0,2.3037391458444088,0.886053517632465
2025-02-28,86.04997517789178,0.0,7.115671024325667,3.8557008108555357,0.0,2.1512493794472944,0.8274036074797286
2025-03-12,87.30995032364895,0.0,6.4729790757188015,3.5074514526569325,0.0,1.9569471624266144,0.7526719855486979
2025-03-21,87.49814622571556,0.0,6.376983538484354,3.455435266201987,0.0,1.927925255820851,0.7415097137772505
2025-03-25,86.25128733264675,0.0,5.535530381050464,2.999485066941298,2.896498455200824,1.6735324407826984,0.6436663233779609
2025-03-28,72.29175658178679,16.184721622788086,4.639620198532586,2.5140267587397496,2.427708243418213,1.4026758739749676,0.539490720759603
2025-04-14,75.67721159310476,14.207236218980867,4.072741049441182,2.2068573593483616,2.1310854328471303,1.2312938056450085,0.4735745406326956
2025-04-22,72.29175658178679,16.184721622788086,4.639620198532586,2.5140267587397496,2.427708243418213,1.4026758739749676,0.539490720759603
