date,SDICS INTERNATIONAL SECURITIES (HONG,BOCI SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA),THE HONGKONG AND SHANGHAI BANKING,BOCOM INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CHINA GALAXY INTERNATIONAL SECURITIES,GUOSEN SECURITIES (HK) BROKERAGE CO LTD
2024-03-01,0.0,0.0,63.61323232109562,0.0,0.0,24.92921185674958,11.4575558221548,0.0,0.0
2024-03-04,0.0,0.0,40.921470324658785,35.6665895567215,0.0,16.0366006566657,7.3753394619540185,0.0,0.0
2024-03-05,0.0,0.0,40.893647028655685,35.740441792111774,0.0,16.00335685853988,7.362554320692663,0.0,0.0
2024-03-06,0.0,0.0,40.90159268031562,35.77264522497071,0.0,16.006466317055494,7.319295777658175,0.0,0.0
2024-03-07,0.0,0.0,40.894441454900075,35.84118331562271,0.0,16.00366775002574,7.26070747945147,0.0,0.0
2024-03-08,0.0,0.0,40.885307416212186,35.902127130626646,0.0,16.000093227054492,7.212472226106683,0.0,0.0
2024-03-11,0.0,30.86801088337438,28.270317019910774,24.87033689576725,0.0,11.016327747501418,4.975007453446178,0.0,0.0
2024-03-13,0.0,30.888129470782932,28.288742529937366,24.883186832532182,0.0,11.02350776805884,4.916433398688682,0.0,0.0
2024-03-14,0.0,30.899756270358413,28.299390877547705,24.897258478444108,0.0,11.027657197552756,4.875937176097018,0.0,0.0
2024-03-15,0.0,30.908066487641477,28.30700174946245,24.90395437681619,0.0,11.003728869626723,4.877248516453149,0.0,0.0
2024-03-18,0.0,30.909729067517283,28.3085244151223,24.92681044139658,0.0,10.977425206793281,4.877510869170554,0.0,0.0
2024-03-19,0.0,30.908274300344786,28.307192073711896,24.925637260439025,0.0,10.976908554001065,4.88198781150323,0.0,0.0
2024-03-20,0.0,30.903703066303468,28.303005531339327,24.94884116155437,0.0,10.975285104643689,4.869165136159148,0.0,0.0
2024-03-21,0.0,30.904741864395614,28.303956909498922,24.949679792722428,0.0,10.975654028238477,4.86596740514456,0.0,0.0
2024-03-25,0.0,30.89705641182812,28.296918225297812,24.958261753248323,0.0,10.983006282916758,4.8647573267089825,0.0,0.0
2024-03-26,0.0,30.896641090852388,28.29653785561046,24.959270470957023,0.0,10.982858648371089,4.8646919342090404,0.0,0.0
2024-03-27,0.0,30.909313405780047,28.30814373335019,24.972869462781745,0.0,10.940296680997328,4.869376717090692,0.0,0.0
2024-03-28,0.0,29.73152643736436,27.227213115602193,24.060834003719673,0.0,10.524634434663845,4.685806520035283,3.7699854886146413,0.0
2024-04-02,0.0,29.81609619861559,27.18168683285968,24.05481864629345,0.0,10.510264293120168,4.673452286111603,3.7636817429995055,0.0
2024-04-03,0.0,29.865995180573684,27.156615875210914,24.044241714353532,0.0,10.500570178380693,4.672366730478485,3.7602103210026883,0.0
2024-04-05,45.00498416835287,16.41443324404842,14.925350912393492,13.243495412154566,0.0,5.778586651503829,2.5665276582349383,2.066621953311884,0.0
2024-04-08,45.69178028750753,16.27395808218658,14.797619357237702,12.934746011115946,0.0,5.7083972695852285,2.544563245400632,2.0489357469663814,0.0
2024-04-09,45.739524724942235,16.29096313142259,14.813081744720494,12.843417612141103,0.0,5.714713937104723,2.5472221205835246,2.0510767290853362,0.0
2024-04-10,45.71057679866335,16.316164764256822,14.831835033219507,12.834937583330053,0.0,5.711097171981976,2.5456100181708736,2.0497786303774252,0.0
2024-04-11,45.61162720039631,16.497315002515542,14.799728588258986,12.807153818464279,0.0,5.69873437084471,2.54009954102787,2.0453414784923036,0.0
2024-04-12,45.60986699373279,16.50053746993396,14.79915744922102,12.806659575244387,0.0,5.698514449942324,2.540001515581015,2.0452625463445027,0.0
2024-04-15,46.12707246086607,16.562652527418432,14.664672598809956,12.690281213628078,0.0,5.6467301597896356,2.2819144720100453,2.0266765674777822,0.0
2024-04-16,46.69213102000816,16.42801280456544,14.494957755654914,12.543416081027775,0.0,5.5827547958705415,2.255505784458314,2.003221758414851,0.0
