date,EVERBRIGHT SECURITIES INVESTMENT,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-11,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-12,0.0,70.19774011299435,29.80225988700565,0.0,0.0,0.0
2024-03-18,0.0,70.20940668107029,29.790593318929698,0.0,0.0,0.0
2024-03-20,0.0,70.2152414194299,29.7847585805701,0.0,0.0,0.0
2024-03-26,0.0,70.2327514546966,29.76724854530341,0.0,0.0,0.0
2024-04-05,0.0,70.23859007398787,29.76140992601214,0.0,0.0,0.0
2024-04-23,0.0,67.99452760341221,28.762272654112348,0.0,3.2431997424754546,0.0
2024-04-25,0.0,68.01094743620703,28.74506962891411,0.0,3.243982934878854,0.0
2024-04-26,0.0,68.02189839787457,28.733596328798004,0.0,3.244505273327429,0.0
2024-05-06,0.0,67.99452760341221,28.762272654112348,0.0,3.2431997424754546,0.0
2024-05-07,0.0,66.33951005025126,28.10144472361809,0.0,3.164258793969849,2.3947864321608043
2024-05-08,0.0,66.3134761792638,28.12966015226434,0.0,3.1630170316301705,2.393846636841692
2024-05-09,0.0,66.26146968865187,28.18602462551957,0.0,3.1605364285154107,2.391969257313152
2024-05-20,0.0,61.23428072981027,26.05219161154321,7.5670567710983505,2.929417750963146,2.2170531365850112
2024-05-21,0.0,61.23146263448677,26.054085489968017,7.567606862460018,2.929630706600756,2.217214306484443
2024-05-22,0.0,61.228644129407485,26.0559796437659,7.568157033805889,2.929843693202472,2.2173754998182478
2024-06-11,0.0,61.21529292048263,26.072103503416194,7.566506759703445,2.92920482628289,2.216891990114842
2024-07-05,0.0,61.19750036331929,26.10085743351257,7.564307513442814,2.9210870513006832,2.2162476384246474
2024-08-29,0.0,61.11312676873957,26.202742906900806,7.55387852840868,2.917059719904216,2.213192076046731
2024-08-30,81.15545586344612,11.518997729572995,4.93475941680116,1.4238039226413546,0.5498262986568919,0.41715676888147274
2024-10-03,81.15212604455873,11.518525103601078,4.938659955960993,1.4237455037816102,0.549803739212495,0.4171396528851019
2024-10-04,81.14657695358441,11.517737479828233,4.945160143322119,1.4236481496676787,0.5497661442520719,0.41711112934547745
2024-10-07,80.75012588288129,11.461466229365415,5.409561655393912,1.4166927505069338,0.5470801976021012,0.41507328425035045
2024-10-09,80.74353286975928,11.460530433954306,5.417284689809082,1.416577081660702,0.547035530093758,0.4150393947228761
2024-10-15,80.72595676366952,11.458035726432934,5.437873284083643,1.4162687237255622,0.5469164523896983,0.41494904969865176
2024-10-16,80.71717157976357,11.45678877991049,5.448164220320768,1.4161145950946117,0.5468569329760172,0.4149038919345404
2024-10-22,80.71607356622049,11.456632930677985,5.449450429861791,1.4160953313744695,0.5468494939601698,0.41489824790510393
2024-10-24,80.71936769647255,11.457100491096329,5.445591696254881,1.416153124107252,0.5468718116149043,0.41491518045409403
2024-10-25,80.70948611224462,11.455697924317853,5.457166952310999,1.4159797600587611,0.5468048641149107,0.4148643869528551
2024-11-06,80.71168181076229,11.45600957614669,5.457315414331574,1.4160182817345883,0.5468197399205615,0.4121551771043039
2024-11-07,80.72046579964085,11.457256353050008,5.447026174021875,1.4161723893997933,0.5468792512379606,0.41220003264950755
2024-11-18,80.71387762875098,11.464482955627501,5.446581603504094,1.4160568055064342,0.5468346165356259,0.41216639007535977
2024-12-06,80.70948611224462,11.463859190946435,5.451726107891945,1.4159797600587611,0.5468048641149107,0.41214396474332815
2025-01-02,80.70838830778439,11.46370326038167,5.453012146519947,1.415960500006801,0.5467974265155946,0.41213835879160493
2025-01-23,80.71717157976357,11.454068098651902,5.453605582837943,1.4161145950946117,0.5468569329760172,0.41218321067595326
2025-02-04,80.71826962318052,11.447422119439532,5.460481567133723,1.4161338593388655,0.5455040130594476,0.41218881784791184
2025-02-05,81.16410133716138,11.185102480261584,5.335353696467022,1.37969535050642,0.5330036951378366,0.4027434404657469
2025-02-07,81.16518017359404,11.174617521566335,5.34472904177688,1.3797136894713755,0.5330107798439515,0.4027487937474246
2025-02-10,81.20511729347307,11.130911218681845,5.347358902069259,1.380392574073089,0.5332730464386404,0.40294696526410984
2025-04-16,81.20403739510886,11.13076319534024,5.348617631022514,1.3803742170565314,0.5332659547588335,0.4029416067130338
