date,INTERACTIVE BROKERS HONG KONG LTD,BOCI SECURITIES LTD,REALINK FINANCIAL TRADE LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,VALUABLE CAPITAL LTD
2024-03-01,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,48.50319501381376,0.0,0.0,25.613814898784206,12.98234453773994,12.900645549662096,0.0,0.0,0.0
2024-03-05,36.56131978322322,0.0,24.9630371565046,19.229751155321047,9.56064179116284,9.685250113788294,0.0,0.0,0.0
2024-03-06,36.61237878724858,0.0,24.85048723364213,19.25660609238207,9.581752024211063,9.69877586251615,0.0,0.0,0.0
2024-03-07,37.000303970415025,0.0,24.509113072455666,19.23333058139208,9.558476513221075,9.69877586251615,0.0,0.0,0.0
2024-03-08,36.76232740300171,0.0,24.157881676137812,18.971877226131728,9.397715164582031,9.590144314612857,0.0,1.1200542155338584,0.0
2024-03-11,36.966116403962864,0.0,23.905726117346088,18.94676337354265,9.481046235061594,9.58132381970766,0.0,1.119024050379137,0.0
2024-03-12,36.96528128674857,0.0,24.053486309930296,18.942407823557726,9.494192270788034,9.43352829019873,0.0,1.1111040187766466,0.0
2024-03-13,36.91436524589646,0.0,24.127486239699742,18.916316519041473,9.442853796317628,9.489404616819362,0.0,1.109573582225329,0.0
2024-03-14,37.09518019523221,0.0,23.949652230007594,18.914869109450088,9.442131262565294,9.488678521162996,0.0,1.1094886815818215,0.0
2024-03-18,37.33819424309136,0.0,23.72451424458611,18.90618930129493,9.437798380986223,9.484324279601339,0.0,1.1089795504400342,0.0
2024-03-19,37.50644926337815,0.0,23.488346970931538,18.894628607921497,9.447314303960749,9.55495941847286,0.0,1.1083014353352012,0.0
2024-03-20,37.72133693556184,0.0,23.242517107145858,18.88741035136902,9.489548404692687,9.55130916686632,0.0,1.1078780343642831,0.0
