date,CHINA MERCHANTS SECURITIES (HK) CO LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CMB INTERNATIONAL SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA)
2024-03-01,0.0,58.03848426650908,0.0,0.0,41.96151573349092,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,51.49340542311789,0.0,0.0,37.229458507413774,0.0,0.0,11.277136069468337,0.0,0.0
2024-03-07,0.0,32.76584653878232,36.367806505421186,0.0,23.690575479566306,0.0,0.0,7.175771476230191,0.0,0.0
2024-03-12,0.0,21.923130580357142,24.333147321428573,27.147042410714285,15.855189732142858,0.0,0.0,4.8011997767857135,5.940290178571429,0.0
2024-03-13,0.0,21.922671819088606,24.33263812838738,27.146474334381953,15.85695053814443,0.0,0.0,4.801099307352665,5.940165872644964,0.0
2024-03-15,0.0,21.916251176737212,24.32481433701754,27.138523761375126,15.852306404937067,0.0,0.0,4.829678184163732,5.938426135769324,0.0
2024-03-18,0.0,20.89360740307398,23.17648779450088,25.872201244482262,15.114609370845077,0.0,0.0,4.625591660905175,5.661330638727863,4.656171887464766
2024-03-20,0.0,18.77150229357798,20.82317947247706,23.245173929663608,13.579892966360857,10.12160741590214,0.0,4.155915519877676,5.086487003058104,4.216241399082569
2024-03-21,26.194809296580313,13.820820006914145,15.314345354894568,17.09559396844181,9.98729185637733,7.531760475433045,0.0,3.0564556974258212,3.867352106946957,3.131571236986013
2024-03-25,26.112340834524133,13.816927251378551,15.313534078664325,17.095669064956777,9.987335727962828,7.619648378661295,0.0,3.056469123643796,3.8664905470412037,3.1315849931670914
2024-03-27,26.101303828450146,13.818991161803105,15.315821545482864,17.09822273908098,9.988827591236578,7.620786567452045,0.0,3.0569256852491256,3.8670681060021272,3.132052775243032
2024-03-28,26.077481935954204,13.821966705820262,15.326589774451552,17.101904376458098,9.990978413668516,7.622427496635032,0.0,3.0580233453870167,3.867900773975646,3.1327271776496683
2024-04-03,26.080730202267116,13.821359347872988,15.28988427127197,17.101152893130315,10.02657142493056,7.622092555738694,0.0,3.057888971254789,3.8677308126145498,3.1325895209190104
2024-04-05,26.07901127596387,13.820448411026304,15.294149179468544,17.100025791960377,10.02722875271925,7.621590199582319,0.0,3.057687432197242,3.8674758985774003,3.1323830585046903
2024-04-08,26.07179425907729,13.816623787135965,15.289916728639557,17.09529358897938,10.025771644865241,7.619481026631285,0.0,3.0831971247506624,3.8664056264503963,3.13151621347022
2024-04-09,26.067443068751416,13.82749362843464,15.27418922022932,17.09244051046307,10.025415990861312,7.618209391399672,0.0,3.0980542515238834,3.8657603518448007,3.1309935864918863
2024-04-10,26.065954837040845,13.831095855458154,15.273317192516785,17.091464675897644,10.02616112212198,7.617774455730523,0.0,3.097877378688062,3.865539649448869,3.130814833097135
2024-04-12,25.005466350243278,13.26838031305019,14.651925145337508,16.396101639146735,9.611929156100848,7.3078467298586585,4.0748007362615555,2.971840818195721,3.7082708933596162,3.003438218445888
2024-04-15,25.00367556764877,13.267430089439515,14.649190764277947,16.39492742175675,9.61124079159721,7.307323373703493,4.083355555246626,2.971627987899484,3.7080053231487464,3.00322312528146
2024-04-16,25.00156909295475,13.266312353542547,14.647956619739904,16.39354620483803,9.610431077223383,7.306707756542485,4.083011546417982,2.9798022985000316,3.7076929363015663,3.002970113939316
2024-04-18,24.99798890041498,13.264412634675232,14.645859051190593,16.39119867010512,9.609054875853031,7.305661445388854,4.082426864415667,2.996643674849631,3.7042137906257913,3.002540092481099
2024-04-19,24.997357208167344,13.264077446646139,14.653069871204435,16.390784469059962,9.6033369511153,7.305476833349969,4.082323702620849,2.9969891125399735,3.7041201861704702,3.002464219125558
2024-04-22,24.99167341425385,13.282114830670299,14.649738117825295,16.387057601446447,9.602416583611342,7.303815744763094,4.0813954810324375,2.996728736047442,3.703277958906457,3.001781531443335
2024-04-23,24.98914811320318,13.280772730124207,14.64825782483139,16.385401759795013,9.601446300738097,7.303077725612937,4.080983073582739,3.0065304991699517,3.7029037586051987,3.00147821433729
2024-04-24,25.073494839625155,13.325599776611172,14.360167169868868,16.44070796684484,9.633854390870459,7.32772805367415,4.0947577553478345,3.0166785444071897,3.715402296325617,3.01160920642471
2024-04-25,25.07360076175574,13.325656070156555,14.35980538729272,16.440777420059373,9.63389508876237,7.327759009413377,4.094775053513425,3.0166912882636305,3.7154179919169064,3.011621928865904
2024-04-26,25.068835151690756,13.327769360955527,14.351585330879665,16.437652606232522,9.632064023976891,7.3263662600264485,4.093996780723877,3.0359691385374212,3.714711821568812,3.01104952540808
2024-04-29,25.055606845984762,13.37603736476107,14.34401229619442,16.428978797000923,9.6269813830517,7.320389570861632,4.091836463315945,3.0305678293763716,3.71275164498749,3.0128378044656867
2024-05-06,25.056664596669233,13.376179887983728,14.344617844841379,16.42967236485879,9.62232186166366,7.320698609358556,4.092009204804365,3.0319622520277463,3.712908382983017,3.012964994809527
2024-05-07,25.054126145049203,13.404373063267544,14.343164613974741,16.428007900369902,9.595597810555748,7.3262887383426705,4.091594649732398,3.03165508865966,3.7125322340241866,3.0126597560239476
2024-05-08,25.051905421758196,13.781369594038189,14.337672467608442,15.985477033934897,9.594747285279965,7.410055575416815,4.091231982941171,3.0229447500077034,3.712203166199071,3.012392722815551
2024-05-09,25.01948544924868,13.680914123652194,14.319117912997733,15.946664036289093,9.582330607267345,7.377703250413209,4.338858390841228,3.0190327208010173,3.7073991593751674,3.008494349114334
2024-05-13,25.01568925455705,13.694011277718563,14.31694528001052,15.944244456498513,9.580876684777271,7.376583834989082,4.338200057910103,3.018574644394458,3.7068366374545176,3.008037871689926
2024-05-14,25.028875433131496,13.697012684105925,14.317323193582842,15.880961105982855,9.585926921433941,7.3804721528654245,4.340486794048899,3.018057319052557,3.70879057161761,3.0420938241784468
2024-05-16,25.030247593792843,13.700293894013443,14.309673789874847,15.88183174957818,9.586452451710334,7.380876773263869,4.3407247530113695,3.0186444945162134,3.7089938990318663,3.042260601207036
2024-05-17,25.029192072238626,13.713210503832606,14.309070353210368,15.881162015262953,9.572553843506878,7.380565522865963,4.340541705339924,3.022734182830718,3.708837491349912,3.0421323095620534
2024-05-20,25.029297620388025,13.713268332466738,14.309130694586592,15.881228986152632,9.572594210984194,7.380174946538959,4.340560009412348,3.0227469297063747,3.708853131524493,3.0421451382396465
