date,GF SECURITIES (HONG KONG) BROKERAGE LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,ORIENT SECURITIES (HONG KONG) LTD,ZINVEST GLOBAL LTD,TOTAL_CCASS_PCT
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,1.5400879891200177,0.0,0.0,1.5400879891200177
2024-03-05,0.0,0.0,0.0,6.66032936591243,0.0,0.0,1.5306866619812156,0.0,0.0,8.191016027893646
2024-03-07,0.0,0.0,0.0,6.66032936591243,0.0,0.0,1.5359806131855895,0.0,0.0,8.19630997909802
2024-03-11,0.0,0.0,0.0,6.65941661570478,0.0,0.0,1.5359806131855895,0.0,0.0,8.19539722889037
2024-03-12,0.0,0.0,0.0,6.658960240600955,0.0,0.0,1.536619538330945,0.0,0.0,8.195579778931899
2024-03-22,0.0,0.0,0.0,6.658960240600955,0.0,0.0,1.5364369882894147,0.0,0.0,8.19539722889037
2024-04-02,0.0,0.0,0.0,6.658960240600955,0.0,0.0,1.544743015179036,0.0,0.0,8.203703255779992
2024-04-03,0.0,0.0,0.0,6.658868965580189,0.0,0.0,1.544743015179036,0.0,0.0,8.203611980759225
2024-04-17,0.0,0.0,0.0,6.658868965580189,0.0,0.0,1.544651740158271,0.0,0.0,8.20352070573846
2024-04-24,0.09045354557818162,0.0,0.0,6.6580474903933045,0.0,0.0,1.5557872926916092,0.0,0.0,8.304288328663095
2024-04-25,0.09045354557818162,44.96782555518031,0.0,6.648919988316797,0.0,0.0,1.5692047207440738,0.0,0.0,53.276403809819364
2024-05-03,0.09045354557818162,44.96782555518031,0.0,6.648919988316797,0.0,0.0,1.5695698208271343,0.0,0.0,53.27676890990243
2024-05-07,0.09045354557818162,44.96782555518031,0.0,6.648919988316797,0.0,0.0,1.5732208216577368,0.0,0.0,53.28041991073304
2024-05-08,0.09045354557818162,44.96782555518031,0.0,6.648919988316797,0.0,0.0,1.573494646720032,0.0,0.0,53.280693735795325
2024-05-10,0.09045354557818162,44.96782555518031,0.0,6.648919988316797,0.0,0.0,1.5741335718653875,0.0,0.0,53.281332660940684
2024-05-20,0.09045354557818162,44.96782555518031,0.0,6.648646163254503,0.0,0.0,1.574407396927683,0.0,0.0,53.281332660940684
2024-05-22,0.09045354557818162,44.96782555518031,0.0,6.650471663669803,0.0,0.0,1.5725818965123812,0.0,0.0,53.281332660940684
2024-05-23,0.09045354557818162,44.96782555518031,0.0,6.654579039604232,0.0,0.0,1.5710302211593752,0.0,0.0,53.2838883615221
2024-05-24,0.09045354557818162,44.96782555518031,0.0,6.654579039604232,0.0,0.0,1.570482571034785,0.0,0.0,53.28334071139751
2024-05-27,0.09045354557818162,44.96782555518031,0.0,6.647277037943026,0.0,0.0,1.5685657955987184,0.0,0.0,53.27412193430025
2024-05-28,0.09045354557818162,44.96782555518031,0.0,6.621446207066511,0.0,0.0,1.562541644228224,0.0,0.0,53.24226695205323
2024-05-29,0.09045354557818162,44.96782555518031,0.0,6.631030084246844,0.0,0.0,1.562541644228224,0.0,0.0,53.25185082923356
2024-06-12,27.47295977509835,17.585319325660144,0.0,6.631030084246844,0.0,0.0,1.562541644228224,0.0,0.0,53.25185082923356
2024-06-25,27.47295977509835,17.580755574621893,0.0,6.631030084246844,2.6524521034328536,0.0,1.6166677315419091,0.0,0.0,55.95386526894185
2024-06-26,27.47295977509835,17.580755574621893,0.0,6.539755063481777,2.651995728329028,0.0,1.6166677315419091,0.0,0.0,55.86213387307296
2024-06-27,27.47295977509835,17.580755574621893,0.0,6.539755063481777,2.651995728329028,0.0,1.616759006562674,0.0,0.0,55.86222514809373
2024-06-28,27.47295977509835,17.580755574621893,0.0,6.530627561405271,2.651995728329028,0.0,1.616759006562674,0.0,0.0,55.85309764601721
2024-07-02,27.47295977509835,17.580755574621893,0.0,6.512646382314552,2.651995728329028,0.0,1.6341012605080367,0.0,0.0,55.85245872087186
