date,CHINA MERCHANTS SECURITIES (HK) CO LTD,FUTU SECURITIES INTERNATIONAL,VALUABLE CAPITAL LTD,ZIRCON SECURITIES (HK) LTD
2024-03-01,96.6832504145937,0.0,3.316749585406302,0.0
2024-03-04,96.78972712680579,0.0,3.210272873194221,0.0
2024-03-07,95.1145038167939,1.8320610687022902,3.0534351145038165,0.0
2024-03-26,96.96682464454976,1.1374407582938388,1.8957345971563981,0.0
2024-03-27,95.1145038167939,1.8320610687022902,3.0534351145038165,0.0
2024-07-29,87.45098039215686,4.705882352941177,7.8431372549019605,0.0
2024-08-05,95.76158940397352,1.5894039735099337,2.6490066225165565,0.0
2024-08-06,87.45098039215686,4.705882352941177,7.8431372549019605,0.0
2024-09-20,96.64921465968587,1.256544502617801,2.094240837696335,0.0
2024-09-23,92.96703296703296,2.6373626373626373,4.395604395604396,0.0
2024-09-26,87.45098039215686,4.705882352941177,7.8431372549019605,0.0
2024-10-17,95.76158940397352,1.5894039735099337,2.6490066225165565,0.0
2024-12-04,90.98591549295774,3.3802816901408446,5.633802816901409,0.0
2024-12-05,96.25730994152046,1.4035087719298245,2.3391812865497075,0.0
2025-02-17,92.96703296703296,2.6373626373626373,4.395604395604396,0.0
2025-02-20,96.64921465968587,1.256544502617801,2.094240837696335,0.0
2025-03-13,92.96703296703296,2.6373626373626373,4.395604395604396,0.0
2025-03-14,95.76158940397352,1.5894039735099337,2.6490066225165565,0.0
2025-03-18,95.22388059701493,1.791044776119403,2.9850746268656714,0.0
2025-04-11,94.92537313432837,1.791044776119403,2.9850746268656714,0.2985074626865672
2025-04-28,87.16417910447761,9.55223880597015,2.9850746268656714,0.2985074626865672
