date,ASTRUM CAPITAL MANAGEMENT LTD,GRANSING SECURITIES CO LTD,CIS SECURITIES ASSET MANAGEMENT LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,EMPEROR SECURITIES LTD,BLACK MARBLE SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,SORRENTO SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-08,0.0,0.0,0.0,0.0,0.0,0.0,38.73917691345078,0.0,61.26082308654923,0.0
2024-03-11,0.0,56.91737466942484,0.0,6.09187849901791,0.0,0.0,14.32991085668365,0.0,22.660835974873603,0.0
2024-03-12,0.0,56.37229083081379,0.0,6.1689532940453224,0.0,0.0,14.511213708048468,0.0,22.94754216709243,0.0
2024-03-13,0.0,56.34555756023665,0.0,6.181835380456,0.0,0.0,14.5359472396376,0.0,22.936659819669753,0.0
2024-03-14,0.0,56.180555054903316,0.0,6.182812733000917,0.0,0.0,14.69634609028967,0.0,22.940286121806096,0.0
2024-03-15,0.0,56.49693684702618,0.0,6.138172063196044,0.0,0.0,14.59023666057121,0.0,22.774654429206567,0.0
2024-03-18,0.0,56.66697477193227,0.0,6.11418014251974,0.0,0.0,14.533208640338968,0.0,22.685636445209024,0.0
2024-03-19,0.0,56.43461680370974,0.0,6.1536259545588265,0.0,0.0,14.579763749404728,0.0,22.831993492326706,0.0
2024-03-20,0.0,53.561378533732906,0.0,6.559471887603821,0.0,0.0,15.541333052795538,0.0,24.337816525867737,0.0
2024-03-27,0.0,48.95150425096006,0.0,6.025576153908227,0.0,0.0,14.280076495942314,0.0,22.24313043725667,8.499712661932723
2024-04-08,0.0,48.95900947244836,0.0,6.026499992395352,0.0,0.0,14.28226591051929,0.0,22.24654074349913,8.485683881137872
2024-04-10,0.0,49.01161053113164,0.0,6.032974802306144,0.0,0.0,14.297610630835011,0.0,22.270442199181304,8.387361836545901
2024-04-11,0.0,46.840238910214936,0.0,6.213210877010709,0.0,0.0,15.372839441227693,0.0,22.93577517593781,8.637935595608852
2024-04-12,0.0,46.76631557364217,0.0,6.203405178117087,0.0,0.0,15.506398155246547,0.0,22.899577900532396,8.624303192461802
2024-04-16,0.0,47.536339110112685,0.0,6.113673121339741,0.0,0.0,15.282098603673319,0.0,22.568336241258493,8.499552923615763
2024-04-19,0.0,47.536339110112685,0.0,6.123627507852144,0.0,0.0,15.282098603673319,0.0,22.55838185474609,8.499552923615763
2024-04-24,39.469315073060486,32.493815656026975,0.0,4.196482672439515,0.0,0.0,10.446191359303665,0.0,7.584263068775076,5.8099321703942834
2024-04-25,39.695745770912666,32.38364012603767,0.0,4.161062185749253,0.0,0.0,10.41077186035764,0.0,7.558547399922083,5.790232657020686
2024-04-26,39.980986469103264,32.23771504141426,0.0,4.128810342982765,0.0,0.0,10.363859507119862,0.0,7.5244875578329635,5.764141081546884
2024-04-29,36.8840998736679,29.740614384421388,0.0,3.799265860096775,0.0,7.755629438711183,9.561085478285483,0.0,6.941648395688205,5.317656569129069
2024-04-30,36.75890419758841,29.639665836466307,0.0,3.7863700144725163,0.0,8.068734445380796,9.52863229209936,0.0,6.918086363078464,5.299606850914149
2024-05-02,36.74465021562311,29.62817247801308,0.0,3.7849017756585916,0.0,8.065605636245218,9.563714329277419,0.0,6.915403740176441,5.297551825006138
2024-05-06,36.745077674236946,29.628517149073048,0.0,3.784945806255074,0.0,8.065699465213104,9.562662264035636,0.0,6.915484188592185,5.297613452594006
2024-05-07,36.45107426403904,29.391454510148705,0.0,3.754661832322058,0.0,8.87629184185883,9.478456403039582,0.0,6.792834772568439,5.255226376023341
2024-05-08,36.22117565177398,29.206081246376314,0.0,3.730981006387471,0.0,9.451013286232566,9.418675339861878,0.0,6.749992049299237,5.222081420068547
2024-05-09,36.190050335101404,29.180984089500512,0.0,3.7277749269813345,0.0,9.528823181552992,9.410581752414362,0.0,6.744191695326974,5.217594019122419
2024-05-10,36.11419095355124,29.119816686151868,0.0,3.7199609919936627,0.0,10.099579567841658,9.200297758472633,0.0,6.53949682598798,5.206657216000965
2024-05-13,36.05236032834931,29.069961035950932,0.0,3.71359209633828,0.0,10.253496879969331,9.184546051250896,0.0,6.528300640594352,5.197742967546903
2024-05-14,35.997577241754165,29.02578800044796,0.0,3.7079491360566266,0.0,10.389870487890084,9.170589745004087,0.0,6.518380611612737,5.189844777234339
2024-05-16,35.96683485780273,29.00099961224033,0.0,3.7047825008342756,0.0,10.760558556112954,8.868598055978891,0.0,6.512813832544302,5.1854125844865155
2024-05-20,35.76726962857209,28.84008494853928,0.0,3.6842261807702017,0.0,11.370835462180205,8.704266027952212,0.0,6.476676897210214,5.156640854775803
2024-05-21,35.659590468839,29.440042183829014,0.0,3.673134633007913,0.0,11.336602991523495,8.386414350449716,0.0,6.363098843587468,5.141116528763399
2024-05-22,35.648858201219994,29.459397192363205,0.0,3.6720291502089295,0.0,11.333191077488705,8.383890338199727,0.0,6.363064804860695,5.139569235658745
2024-05-23,35.638802565719985,29.479294900889535,0.0,3.6709933642527157,0.0,11.329994272758412,8.381525456137107,0.0,6.361269946243361,5.138119493998882
2024-05-24,35.51198699608967,29.63672982565439,0.0,3.657743280102517,0.0,11.28967811244527,8.445391274197481,0.0,6.338634279112923,5.119836232397752
2024-05-27,35.376096750837725,29.90598206551845,0.0,3.643746551858149,0.0,11.246477006078436,8.413074121918008,0.0,6.314378847648447,5.100244656140786
2024-05-29,35.34970275122522,29.95827900192814,0.0,3.641027963491683,0.0,11.23808604333794,8.40679715256557,0.0,6.309667708541386,5.096439378910062
2024-05-30,35.34640627027096,29.964810632502193,0.0,3.64068842515327,0.0,11.23703805329217,8.406013189914036,0.0,6.309079310399107,5.09596411846826
