date,GET NICE SECURITIES LTD,PLANETREE SECURITIES LTD,OSHIDORI SECURITIES LTD,HANG SENG BANK LTD,HANG SENG SECURITIES LTD,HOPE SECURITIES LTD,CITIBANK N.A.,SUCCESS SECURITIES LTD
2024-03-07,70.27673926537081,0.0,0.0,0.0,29.723260734629182,0.0,0.0,0.0
2024-03-08,70.2769586317732,0.0,0.0,0.0,29.7230413682268,0.0,0.0,0.0
2024-03-12,70.27805541521727,0.0,0.0,0.0,29.721944584782733,0.0,0.0,0.0
2024-03-14,70.27828362352933,0.0,0.0,0.0,29.721716376470663,0.0,0.0,0.0
2024-03-15,70.27872231229948,0.0,0.0,0.0,29.721277687700525,0.0,0.0,0.0
2024-03-18,70.28263159294002,0.0,0.0,0.0,29.717368407059986,0.0,0.0,0.0
2024-03-22,66.0887466503279,0.0,0.0,0.0,27.944082161629403,0.0,5.967171188042688,0.0
2024-03-25,66.08945261828114,0.0,0.0,0.0,27.94350041885849,0.0,5.967046962860363,0.0
2024-03-27,66.0896879344003,0.0,0.0,0.0,27.94330650998405,0.0,5.967005555615638,0.0
2024-04-02,66.0920409159817,0.0,0.0,0.0,27.941367569244907,0.0,5.966591514773395,0.0
2024-04-08,66.10020792075237,0.0,0.0,0.0,27.934279553989445,0.0,5.9655125252581795,0.0
2024-04-09,66.10044310174467,0.0,0.0,0.0,27.934085758948772,0.0,5.9654711393065485,0.0
2024-04-10,66.10078581491983,0.0,0.0,0.0,27.933937410662153,0.0,5.965276774418025,0.0
2024-04-12,66.10478333094429,0.0,0.0,0.0,27.930643341312468,0.0,5.964573327743248,0.0
2024-04-17,58.82031532030124,0.0,0.0,0.0,24.852804375894834,11.0195777727224,5.3073025310815245,0.0
2024-04-18,58.82358300190569,0.0,0.0,0.0,24.849486307038028,11.019611780826565,5.3073189102297125,0.0
2024-04-19,58.823732062367085,0.0,0.0,0.0,24.849396350792087,11.019571889341679,5.307299697499145,0.0
2024-04-22,58.8247486437258,0.0,0.0,0.0,24.848782855825917,11.019299832355342,5.307168668092941,0.0
2024-04-23,58.827289877529545,0.0,0.0,0.0,24.84724925093232,11.018619748656878,5.30684112288126,0.0
2024-04-24,58.827652947129216,0.0,0.0,0.0,24.847402602903106,11.018687753249125,5.306256696718556,0.0
2024-04-25,59.012795846502584,0.0,0.0,0.0,24.735298567217352,10.968974735561067,5.282930850719001,0.0
2024-05-03,59.01225199459979,0.0,0.0,0.0,24.73507061090721,10.968873647353059,5.283803747139948,0.0
2024-05-07,59.01261456142118,0.0,0.0,0.0,24.73522258131379,10.968941039284704,5.28322181798032,0.0
2024-05-10,59.0136218302748,0.0,0.0,0.0,24.73461471089154,10.968671476526609,5.283091982307051,0.0
2024-05-13,59.0143877637925,0.0,0.0,0.0,24.734163234471836,10.968471267362851,5.28297773437281,0.0
2024-05-17,59.01465370598936,0.0,0.0,0.0,24.733824056811333,10.968520695637133,5.283001541562173,0.0
2024-05-27,59.015157302249335,0.0,0.0,0.0,24.733520146696712,10.968385922931784,5.282936628122167,0.0
2024-05-28,59.01566088613386,0.0,0.0,0.0,24.73321624405043,10.968251153538358,5.282871716277355,0.0
2024-05-29,59.015912673435466,0.0,0.0,0.0,24.733064295527825,10.968183770083579,5.282839260953127,0.0
2024-05-31,59.0191856268512,0.0,0.0,0.0,24.73108913461665,10.967307860508024,5.282417378024122,0.0
2024-06-05,59.0204443158984,0.0,0.0,0.0,24.730329541341227,10.966971009459737,5.28225513330063,0.0
2024-06-07,59.02079574621856,0.0,0.0,0.0,24.730219404189675,10.966922167775433,5.282062681816328,0.0
2024-06-11,59.02356455390277,0.0,0.0,0.0,24.728548478100077,10.966181174900552,5.281705793096592,0.0
2024-06-12,59.0238162451392,0.0,0.0,0.0,24.728396586924728,10.966113816877126,5.2816733510589415,0.0
2024-06-17,59.02406793328371,0.0,0.0,0.0,24.728244697615303,10.966046459681163,5.2816409094198296,0.0
2024-06-18,59.02608132713713,0.0,0.0,0.0,24.72702965030902,10.965507631900447,5.281381390653406,0.0
2024-06-21,59.02633298745684,0.0,0.0,0.0,24.72687777779136,10.965440282151,5.281348952600802,0.0
2024-06-24,59.027087949868054,0.0,0.0,0.0,24.72642217143171,10.965238237866487,5.281251640833746,0.0
2024-06-26,59.02784288445858,0.0,0.0,0.0,24.725966581861353,10.965036201027392,5.281154332652671,0.0
2024-06-28,59.028094523139984,0.0,0.0,0.0,24.725814722402024,10.964968857068826,5.281121897389163,0.0
2024-07-03,59.02859779122996,0.0,0.0,0.0,24.725511009079355,10.964834171633301,5.281057028057377,0.0
2024-07-04,59.02935267018374,0.0,0.0,0.0,24.725055453084785,10.964632149683805,5.280959727047667,0.0
2024-07-08,59.03262349090633,0.0,0.0,0.0,24.723081571073788,10.963756807252379,5.280538130767496,0.0
2024-07-09,59.03337822152549,0.0,0.0,0.0,24.722626104596518,10.963554825000438,5.280440848877552,0.0
2024-07-10,35.628966831981366,22.653836431776412,16.992228378741437,0.0,14.921077736306179,6.616936773544108,3.186953847650499,0.0
2024-07-16,35.63267311136393,22.653836431776412,16.992228378741437,0.0,14.91737145692362,6.616936773544108,3.186953847650499,0.0
2024-07-17,35.63434301111602,22.65324871689574,16.99178754455849,0.0,14.916984451340165,6.616765108483403,3.1868711676061747,0.0
2024-07-18,30.47084713854914,19.370742393896215,14.529639587277732,14.490223296543311,12.755480095230329,5.657981069256391,2.725086419246883,0.0
2024-07-22,30.47305055117495,19.370128525661013,14.529179135941888,14.489764094328866,12.755075867870532,5.657801765088117,2.725000059934631,0.0
2024-07-23,30.473270884756566,19.370067140977405,14.529133092413412,14.489718175708175,12.755035446543667,5.657783835296334,2.7249914243044495,0.0
2024-07-24,30.475474143768093,19.369453315538966,14.528672673178637,14.489259005507716,12.754631247365197,5.6576045436285245,2.7249050710128686,0.0
2024-07-29,30.475694461989082,19.369391935134807,14.528626632860098,14.489213090088255,12.754590828856315,5.657586615086721,2.7248964359847228,0.0
2024-07-31,30.477236650439192,19.368962283198023,14.528304358800462,14.488891690299996,12.754307906466659,5.657461118475633,2.7248359923200387,0.0
2024-08-07,30.47845570199101,19.368622656831192,14.52804961127432,14.488637633857929,12.754084265200161,5.657361917344614,2.7247882135007737,0.0
2024-08-08,30.478676001315748,19.368561281691505,14.528003574904567,14.488591722376542,12.754043850157895,5.657343990340507,2.7247795792132368,0.0
2024-08-12,30.480878917776426,19.367947551687344,14.527543227253298,14.488132623565392,12.75363971382214,5.657164726548001,2.724693239347401,0.0
2024-08-20,30.481539765491473,19.367763440270437,14.527405128646793,14.487994899595492,12.753518477915641,5.657110949625553,2.724667338454619,0.0
2024-08-21,30.4833019646424,19.36727249360426,14.52703687853169,14.487627648476511,12.753195193433257,5.6569675494973195,2.7245982718145614,0.0
2024-08-22,30.48352223325466,19.367211127021037,14.526990848579983,14.487581743395758,12.75315478402535,5.6569496249924605,2.724589638730752,0.0
2024-08-26,30.48396276629158,19.36708839502125,14.526898789551659,14.487489934106968,12.753073965977777,5.6569137763235116,2.7245723727272595,0.0
2024-08-27,30.484183030716267,19.367027029604678,14.526852760475034,14.487444029898924,12.753033557338103,5.656895852159419,2.7245637398075755,0.0
2024-08-28,30.484623555378164,19.366904299938163,14.526760703196853,14.487352222355529,12.75295274082697,5.656860004171992,2.7245464741323286,0.0
2024-08-29,30.486873735662712,19.36692476500199,14.526776053666934,14.487367531182555,12.75064257952501,5.656865981792332,2.7245493531684737,0.0
2024-09-04,30.48968670604255,19.366296412150806,14.526304737685559,14.486339851591417,12.750228889550142,5.6566824468268395,2.724460956152684,0.0
2024-09-05,30.489906943324147,19.366235051752987,14.526258712373409,14.486293952904475,12.750188491577278,5.656664524128669,2.72445232393904,0.0
2024-09-09,30.490567646795384,19.36605097289248,14.526120638186866,14.48615625858874,12.750067299194631,5.656610756715587,2.7244264276263106,0.0
2024-09-13,30.490787878494665,19.36598961404995,14.52607461404131,14.486110361065183,12.750026902245729,5.6565928344717,2.7244177956314664,0.0
2024-09-19,30.492329461315,19.36556011303884,14.52575245318826,14.485789086543654,12.749744130770818,5.656467381944343,2.7243573731990867,0.0
2024-09-23,30.49387097575807,19.365130631078344,14.52543030662473,14.485467826272332,12.749461371838306,5.656341934981461,2.7242969534467583,0.0
2024-09-24,30.494193209155355,19.365134066858438,14.525432883740539,14.485470396297961,12.749129068618478,5.656342938535086,2.724297436794143,0.0
2024-09-25,30.49428426607091,19.365108697332367,14.52541385452303,14.48545141943379,12.749112366469081,5.6563355283752,2.724293867795622,0.0
2024-09-26,30.495165094533526,19.364863288177997,14.525229777604762,14.485267848949416,12.74895080017303,5.656263847056982,2.7242593435042894,0.0
2024-09-27,30.495825701229823,19.364679235394064,14.525091722977782,14.485130174139432,12.748829628138298,5.656210087260581,2.724233450860026,0.0
2024-09-30,30.497367068021124,19.36424979250378,14.5247696057201,14.484808943093332,12.748546902347865,5.656084651709679,2.7241730366041157,0.0
2024-10-02,30.49854288333299,19.363990602262472,14.52457519186057,14.484615064106771,12.748376263207007,5.65600894508735,2.7238910501428433,0.0
2024-10-03,30.113347769320136,19.115453096579497,14.338151754489758,14.298704516391957,12.584750402037908,5.583413869815605,2.5328734294404742,1.4333051619246577
2024-10-04,30.116124965827932,19.114436867965868,14.337389499993053,14.297944359015935,12.584081363046822,5.583117040600646,2.532738775114433,1.4341671284353132
2024-10-08,30.114072655185108,19.111149809661967,14.334923937678152,14.29548557997585,12.589734008358388,5.582156926977801,2.532303226838548,1.4401738553241799
2024-10-09,30.111718913674927,19.109656065951864,14.33380350784112,14.29436823267437,12.59656606903104,5.581720620848575,2.532105299866344,1.440061290111763
2024-10-10,30.11548507672493,19.112046167984236,14.335596279661686,14.296156072206726,12.598141559351674,5.582418743397406,2.532421997875063,1.4277341027982782
2024-10-16,30.114072655185108,19.111149809661967,14.334923937678152,14.29548557997585,12.597550704299703,5.582156926977801,2.532303226838548,1.4323571593828663
2024-10-17,30.1138843423231,19.111030301571574,14.334834296845298,14.295396185763574,12.597471927813553,5.582122019977371,2.5322873915420874,1.4329735341634446
2024-10-18,30.129176698160293,19.10684845982752,14.331697573837134,14.292268092532906,12.594715371356575,5.580900549940686,2.531733280907821,1.4326599734370618
2024-10-21,30.129365065423393,19.106967915622377,14.331787175444063,14.292357447627174,12.594794113370927,5.580935441666164,2.531749109274915,1.4320437315709846
2024-10-23,30.129270881497426,19.10690818753824,14.331742374500553,14.292312769940379,12.595067340683302,5.580917995748889,2.5317411950666284,1.432039255024582
2024-10-24,30.13350974119456,19.109596321060337,14.333758694290694,14.294323542415343,12.58902326869831,5.581703170022047,2.532097383431011,1.425987878887697
2024-10-29,30.127293155064077,19.105653984025295,14.330801619384326,14.291374603037173,12.586426135204052,5.58055165667995,2.5522051510550554,1.4256936955500688
2024-10-30,30.12653980376439,19.10517623552044,14.330443268968644,14.291017238518029,12.58579883385188,5.580412111589659,2.5521413316120767,1.428471176174885
2024-11-01,30.127412188016205,19.105729470474884,14.33085824038955,14.291431068266233,12.586080764124757,5.580573705442672,2.5522152348190366,1.4256993284666581
2024-11-06,30.127193780186694,19.105789191189913,14.330903035805626,14.2914757404408,12.58612010571304,5.5805911492075095,2.5522232125368705,1.425703784919548
2024-11-07,30.127412188016205,19.105729470474884,14.33085824038955,14.291431068266233,12.586080764124757,5.580573705442672,2.5522152348190366,1.4256993284666581
2024-11-08,30.12763059448033,19.10566975013321,14.330813445253515,14.291386396370937,12.586041422782424,5.580556261786883,2.5522072571510757,1.4256948720416283
2024-11-12,30.12753449580433,19.10569602703755,14.330833155078867,14.29140605197046,12.586058732942751,5.580563936981995,2.552210767318834,1.425696832865209
2024-11-19,30.12868437173326,19.105632335529364,14.33078538124347,14.29135840957082,12.585099829257942,5.580545333392093,2.5522022591675086,1.4256920801055415
2024-11-27,30.130213152701874,19.105214305228298,14.330471824360231,14.291045715347794,12.584824467889202,5.580423231333138,2.5521464171069033,1.425660886032558
2024-11-28,30.130431544521958,19.10515458810716,14.330427031639864,14.291001045861517,12.584785131534462,5.580405788618034,2.5521384398691547,1.4256564298478496
2024-11-29,30.131523483143873,19.104856008101105,14.33020307223822,14.290777702618776,12.584588453449319,5.580318576678112,2.552098554428432,1.4256341493421623
2024-12-02,30.131960249036254,19.104736578711787,14.3301134904376,14.290688367276328,12.58450978393654,5.5802836926654,2.5520826006012105,1.4256252373348812
2024-12-06,30.133535978756456,19.104348443508474,14.32982235732042,14.290398035126914,12.584254114812635,5.580170322636107,2.551874473758281,1.4255962740807133
2024-12-09,30.133911309968,19.10438824156944,14.32985220911806,14.289906928197146,12.584280330253266,5.58018194721254,2.5518797898074608,1.4255992438740877
2024-12-10,30.13478478505189,19.104149395980187,14.329673055409941,14.289728273890212,12.584122999915712,5.580112183039594,2.551847885868722,1.4255814208437378
2024-12-11,30.134867670074417,19.104201941497408,14.329712468841377,14.289767577454459,12.583882564585391,5.580127531007972,2.551854904666799,1.4255853418721776
2024-12-12,30.135086035774357,19.104142230704777,14.329667680867908,14.289722914330023,12.583843233258985,5.580110090141356,2.5518469287628847,1.4255808861597128
2024-12-13,30.137487968385578,19.10348543661988,14.329175031637304,14.289231638387268,12.583410604894882,5.579918247803919,2.551759197110339,1.4255318751608275
2024-12-16,30.137316676111837,19.10139593767545,14.327607736695104,14.287668712369172,12.582034257983551,5.579307928115006,2.5592927975588604,1.4253759534910209
2024-12-18,30.13753500208524,19.10133624442201,14.327562961877463,14.287624062363891,12.581994938210162,5.579290492371396,2.559284799582478,1.4253714990873576
2024-12-23,30.140377502289738,19.101157166900222,14.327428639103621,14.287490114022447,12.5818769803645,5.579238185794416,2.557073275481642,1.4253581360434107
2024-12-30,30.142560577681245,19.100560266077267,14.326980914713374,14.287043637689495,12.58148380351881,5.5790638376208745,2.5569933683258004,1.425313594373135
2025-01-02,30.142778877716225,19.100500578046777,14.326936143813374,14.286998991590929,12.581444487185758,5.57904640340283,2.5569853778848914,1.4253091403592162
2025-01-03,30.143215473693175,19.100381203104913,14.326846602852797,14.286909700230893,12.581365855256818,5.579011535293624,2.55696939715289,1.4253002324148893
2025-01-09,30.145398371720916,19.09978435077711,14.32639891483788,14.28646326017187,12.580972710354747,5.578837201284985,2.5568894964890982,1.4252556943633978
2025-01-13,30.146708045055636,19.099426257284627,14.32613031545854,14.286195409528629,12.580736835206944,5.57873260610942,2.5568415584876587,1.4252289728685417
2025-01-16,30.147362863307304,19.09924721557364,14.325996019545725,14.286061487973337,12.580618900949753,5.578680309992381,2.5568175901610095,1.4252156124968525
2025-01-17,30.148523190652305,19.09978435077711,14.32639891483788,14.28646326017187,12.580972710354747,5.578837201284985,2.5537646775577074,1.4252556943633978
2025-01-22,30.150705854619204,19.099187535749255,14.325951254800968,14.286016848012862,12.580579590022037,5.578662878171249,2.553684879529144,1.425211159095286
2025-01-23,30.151578882013226,19.09894882018131,14.325772198619457,14.285838290960676,12.580422348767861,5.5785931519761,2.553652961714042,1.4251933457673294
2025-02-03,30.152670135566982,19.09865043411274,14.325548384686776,14.285615100922106,12.580225802727504,5.5785059966831865,2.5536130655671436,1.4251710797335597
2025-02-04,30.153543113859975,19.098411731970703,14.325369338575788,14.285436553912373,12.58006857031693,5.5784362744095946,2.553581149547172,1.4251532674074647
2025-02-05,30.155725464125826,19.097815002719447,14.324921742878335,14.284990205913475,12.579675506485021,5.578261976350262,2.553501362987494,1.4251087385401369
2025-02-07,30.15616191781411,19.097695661343913,14.324832227095252,14.284900939660744,12.579596896666127,5.578227118045413,2.553485406273858,1.425099833100582
2025-02-10,30.156816588118957,19.097516652077186,14.324697955518282,14.284767042373458,12.579478983779874,5.5781748314049855,2.553461471577323,1.425086475149934
2025-02-11,30.160962548395897,19.096383004646473,14.323847627314418,14.283919084507996,12.578732253496064,5.57784370544338,2.55330989558504,1.4250018806107312
2025-02-12,30.16139893663424,19.096263681167198,14.323758124954985,14.283829831641501,12.578653655465377,5.57780885236583,2.5532939412642484,1.4249929765066225
2025-02-21,30.162660951771752,19.095875890157817,14.32346725001138,14.283539767528397,12.578398218649092,5.577695582871802,2.553398300073019,1.4249640389367426
2025-02-25,30.163097317809477,19.095756573015834,14.323377752405433,14.283450519402138,12.57831962479276,5.577660731645304,2.553382345623521,1.4249551353055327
2025-02-27,30.16375185664158,19.095577600098572,14.323243508093533,14.28331664930392,12.578201735849797,5.5776084556221575,2.553358414323102,1.4249417800673385
2025-03-03,30.165839325060382,19.094921394769887,14.322751300478192,14.2828258137454,12.577769495297709,5.577416785253941,2.5535830723921253,1.4248928130023601
2025-03-07,30.166057487925862,19.094861741976363,14.322706556008796,14.282781194003766,12.577730202175147,5.577399361328228,2.5535750949639597,1.424888361617879
2025-03-10,30.166493809567584,19.09474243750745,14.322617067908688,14.282691955356844,12.577651616666529,5.577364513803395,2.5535591402571565,1.424879458932353
2025-03-11,30.167148281807272,19.094563483599345,14.322482837855208,14.2825580994773,12.577533740244846,5.577312243332614,2.553535208570766,1.4248661051126519
2025-03-12,30.16781570009744,19.094392734872528,14.322354762358142,14.282430380997994,12.577421268552339,5.577262369505153,2.5534694200400327,1.424853363576374
2025-03-14,30.168128093781082,19.094392734872528,14.322354762358142,14.282430380997994,12.577421268552339,5.577262369505153,2.5531570263563896,1.424853363576374
2025-03-17,30.169218828529175,19.094094491146834,14.322131055194243,14.282207297430583,12.57722481627282,5.577175255789029,2.553117147472866,1.4248311081644518
2025-03-18,30.18897347134924,19.098686866552015,14.32557571199314,14.285642352052044,12.580249800669879,5.578516638198494,2.517181360806196,1.4251737983789945
2025-03-19,30.189627868062413,19.098507838703078,14.325441426477994,14.285508440865435,12.580131875543579,5.578464346130407,2.5171577651753783,1.425160439041713
2025-03-20,30.19202721771796,19.097851431971456,14.324949067793996,14.285017454659373,12.57969950232796,5.578272616934607,2.5170712516469096,1.4251114569477337
2025-03-21,30.19420830156178,19.097254737732253,14.324501498358444,14.284571132849166,12.579306461558387,5.57809832910191,2.5169926081450016,1.4250669306930595
2025-03-24,30.196171160495012,19.096717744795846,14.324098709778212,14.284169467065091,12.5789527458643,5.577941479363954,2.516921833194878,1.4250268594427045
2025-03-25,30.198628752762442,19.096296137005922,14.32378246948601,14.282937610088842,12.578675034032475,5.577818332359799,2.51686626585259,1.424995398411923
2025-03-26,30.195002359315854,19.093015314431305,14.321321584477598,14.28048374239603,12.59213252310984,5.57686004012498,2.5164338578294294,1.4247505783149634
2025-03-31,30.197182797932708,19.092418922348923,14.32087424168435,14.280037675219297,12.59173919350666,5.576685840548971,2.5163552541513856,1.4247060746077025
2025-04-07,30.19761886931015,19.092299648403372,14.320784776479261,14.279948465127951,12.591660530534668,5.576651001939679,2.516339534005039,1.4246971741998782
2025-04-09,30.202026449932735,19.09113680552813,14.31991254930643,14.279078725147052,12.590893618061836,5.576311348309432,2.5160301026633114,1.4246104010510743
2025-04-17,30.204896141910282,19.09077903621728,14.319644193089806,14.278811134159303,12.589095990978667,5.576206847823763,2.5159829520737436,1.4245837037471576
2025-04-22,30.207293996077027,19.090123160639656,14.319152232814705,14.278320576729318,12.588663484762485,5.576015273772209,2.515896513915884,1.4245347612887174
2025-04-23,30.20928502483327,19.089407711405208,14.318615587429198,14.277785461610371,12.588191693691412,5.575806298909904,2.5164268487695383,1.4244813733511
2025-04-29,30.209720951842023,19.08928847507978,14.318526150442276,14.277696279656723,12.588113065284286,5.575771471289036,2.516411130655326,1.4244724757505476
2025-04-30,30.212990230831643,19.088394250116224,14.317855408652095,14.277027450514556,12.587523383538853,5.575510278000076,2.516293251057323,1.4244057472892235
