date,BOCI SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,J.P. MORGAN BROKING (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,EAST ASIA SECURITIES CO LTD,CELESTIAL SECURITIES LTD
2024-04-26,0.0,100.0,0.0,0.0,0.0,0.0
2024-04-30,98.06118472330475,1.9388152766952456,0.0,0.0,0.0,0.0
2024-05-02,98.07692307692307,1.9230769230769231,0.0,0.0,0.0,0.0
2024-05-06,97.86096256684492,2.13903743315508,0.0,0.0,0.0,0.0
2024-05-07,97.87697848545162,2.123021514548384,0.0,0.0,0.0,0.0
2024-05-08,98.12157825184067,1.8784217481593355,0.0,0.0,0.0,0.0
2024-05-09,97.94123332688962,2.0587666731103806,0.0,0.0,0.0,0.0
2024-05-10,97.79828862609364,2.0094221709451014,0.0,0.0,0.19228920296125374,0.0
2024-05-13,96.70174779176847,2.1518511557977824,0.0,0.0,1.1464010524337531,0.0
2024-05-14,96.8964204112719,1.9897182025894897,0.0,0.0,1.1138613861386137,0.0
2024-05-16,96.90024422318243,1.9631786586511366,0.0,0.0,1.1365771181664475,0.0
2024-05-17,95.74174560838775,2.198105398694013,0.0,0.0,2.0601489929182377,0.0
2024-05-20,95.74487639003767,2.196489293263487,0.0,0.0,2.058634316698833,0.0
2024-05-21,95.51664068946548,2.191253323553681,0.0,0.0,2.292105986980838,0.0
2024-05-22,95.66796598157336,2.117292700212615,0.0,0.0,2.2147413182140325,0.0
2024-05-23,95.66873339238265,2.1169176262178917,0.0,0.0,2.2143489813994686,0.0
2024-05-24,95.68288161031164,2.1100026485388894,0.0,0.0,2.2071157411494657,0.0
2024-05-27,95.42427125681169,2.4132860479197302,0.0,0.0,2.1624426952685756,0.0
2024-05-29,95.39759874717244,2.427353401774839,0.0,0.0,2.175047851052723,0.0
2024-05-30,95.38756648356438,2.432644520010463,0.0,0.0,2.1797889964251462,0.0
2024-05-31,95.38716428322289,2.432856644576212,0.0,0.0,2.179979072200907,0.0
2024-06-03,95.38555478018144,2.433705512909979,0.0,0.0,2.180739706908583,0.0
2024-06-05,95.36127674500176,2.446509996492459,0.0,0.0,2.192213258505787,0.0
2024-06-06,95.6296166021808,2.172001406964474,0.0,0.0,2.198381990854731,0.0
2024-06-11,95.61998766193707,2.1767868158984753,0.0,0.0,2.203225522164449,0.0
2024-06-13,95.59670417294232,2.18835828829627,0.0,0.0,2.214937538761407,0.0
2024-06-20,95.6215311426306,2.176019733944146,0.0,0.0,2.202449123425249,0.0
2024-06-21,95.62692476902772,2.1733391992960844,0.0,0.0,2.1997360316761987,0.0
2024-06-24,95.9904618917248,1.8016426742029499,0.0,0.0,2.2078954340722423,0.0
2024-06-25,95.94751405873426,1.8209408194233687,0.0,0.0,2.231545121842364,0.0
2024-06-26,95.94062947067239,1.8240343347639485,0.0,0.0,2.2353361945636623,0.0
2024-06-27,97.27510601822611,2.3369123883425065,0.0,0.0,0.3879815934313814,0.0
2024-06-28,97.32103255566398,2.2975250598775836,0.0,0.0,0.38144238445844053,0.0
2024-07-02,97.27486013354991,2.3371232629489263,0.0,0.0,0.3880166035011731,0.0
2024-07-03,97.27608911337603,2.336069270316587,0.0,0.0,0.38784161630738706,0.0
