date,TIGER SECURITIES ASSET MANAGEMENT CO LTD,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,ARISTO SECURITIES LTD,SUNFUND SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CHANGJIANG SECURITIES BROKERAGE (HK) LTD,CITIBANK N.A.
2024-03-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,89.97555738626178,0.0,0.0,10.024442613738218
2024-03-05,0.0,0.0,16.12581891795528,0.0,0.0,75.46435626331771,0.0,0.0,8.409824818727008
2024-03-06,0.0,0.0,10.890030900145533,0.0,0.0,50.696700654556345,32.84871642929634,0.0,5.56455201600178
2024-03-07,0.0,0.0,10.884431880423515,0.0,0.0,50.708678303223444,32.803071797494944,0.0,5.603818018858102
2024-03-08,0.0,0.0,10.887512140565676,0.0,0.0,50.72302870041045,32.81235496410468,0.0,5.577104194919187
2024-03-11,0.0,80.56384418356708,2.1164132933410755,0.0,0.0,9.777759880704268,6.457854578594471,0.0,1.0841280637930917
2024-03-12,0.0,80.5444965549059,2.1105493172087884,0.0,0.0,9.804267811867827,6.456744593650009,0.0,1.0839417223674628
2024-03-13,0.0,80.5189957952553,2.1262313000774378,0.0,0.0,9.805992568730284,6.459757698744789,0.0,1.0890226371921905
2024-03-14,0.0,80.49633083834134,2.125705370964918,0.0,0.0,9.803567029717259,6.474650041924914,0.0,1.099746719051577
2024-03-15,0.0,80.49525871590436,2.1258222216151057,0.0,0.0,9.804105934683692,6.475005955344276,0.0,1.0998071724525604
2024-03-18,0.0,80.49083411105154,2.125705370964918,0.0,0.0,9.803567029717259,6.474650041924914,0.0,1.105243446341374
2024-03-19,0.0,80.4996838072276,2.125939085112629,0.0,0.0,9.78815290399155,6.475361907895122,0.0,1.110862295773099
2024-03-20,0.0,80.50518113886406,2.1534257432948976,0.0,0.0,9.760666245809281,6.475361907895122,0.0,1.1053649641366454
2024-03-21,0.0,80.38760151013776,2.2012654692829186,0.0,0.0,9.756261146309916,6.558557044024021,0.0,1.096314830245397
2024-03-22,0.0,80.3865267753375,2.2013860958654154,0.0,0.0,9.756795777164964,6.558916444711205,0.0,1.0963749069209086
2024-03-25,0.0,80.25862837417003,2.2058185360451783,0.0,0.0,9.870065682221483,6.555956127201318,0.0,1.1095312803619881
2024-03-26,0.0,80.13856185910602,2.2282793776102467,0.0,0.0,9.929827697635547,6.574406036998187,0.0,1.1289250286500032
2024-03-27,0.0,80.13206287232616,2.229008506997262,0.0,0.0,9.954891320960575,6.57655728997477,0.0,1.10748000974123
2024-03-28,0.0,80.26853353381946,2.208195327506557,0.0,0.0,9.849524092015303,6.5630202352816855,0.0,1.1107268113769848
2024-04-02,0.0,80.24550752701654,2.2077123159272514,0.0,0.0,9.847369647556595,6.588926653944805,0.0,1.1104838555547993
2024-04-03,0.0,80.2429556299956,2.2554728095031495,0.0,0.0,9.841020868651205,6.5507827855008856,0.0,1.1097679063491481
2024-04-05,0.0,80.07891244624872,2.1599141671521247,0.0,0.0,10.126404991902547,6.575486822881765,0.0,1.0592815718148454
2024-04-08,0.0,79.79910861766567,2.179117069369718,0.0,0.0,10.322792340348197,6.643617438091757,0.0,1.0553645345246565
2024-04-09,0.0,79.81647022323564,2.1578345310636156,0.0,0.0,10.373990675430024,6.596110423873213,0.0,1.0555941463975
2024-04-10,0.0,79.8381828567505,2.136658971606987,0.0,0.0,10.333287613822947,6.630548616170529,0.0,1.0613219416490285
2024-04-11,0.0,79.81108244063371,2.135497124526874,0.0,0.0,10.349419426910792,6.648693860765231,0.0,1.0553071471633981
2024-04-12,0.0,79.75463729015532,2.18892172605448,0.0,0.0,10.372095821812048,6.6294968891235015,0.0,1.0548482728546518
2024-04-15,0.0,79.78065527918888,2.184198717814533,0.0,0.0,10.348294012388193,6.631659599446309,0.0,1.0551923911620968
2024-04-16,0.0,79.76544417985983,2.205827145490959,0.0,0.0,10.34229460238846,6.631299049740743,0.0,1.0551350225200185
2024-04-17,0.0,79.70910711510057,2.2260010232426684,0.0,0.0,10.383886595548205,6.6266154686757295,0.0,1.0543897974328311
2024-04-18,0.0,79.70146854050797,2.2262429247772966,0.0,0.0,10.385015021850187,6.627335588942758,0.0,1.059937923921785
2024-04-19,0.0,79.72746070523998,2.2269689449359453,0.0,0.0,10.361225187845914,6.6294968891235015,0.0,1.0548482728546518
2024-04-22,0.0,79.72951721926107,2.2388130715988757,0.0,0.0,10.365732471185318,6.605192409366493,0.0,1.0607448285882404
2024-04-23,0.0,79.77845635208465,2.2333753901740336,0.0,0.0,10.327668701211422,6.605192409366493,0.0,1.0553071471633981
2024-04-26,0.0,79.69611755345468,2.2365024079548093,0.0,0.0,10.398490623515178,6.598375235500571,0.0,1.070514179574757
