date,BOCI SECURITIES LTD,CHINA SECURITIES (INTERNATIONAL),THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CMBC SECURITIES CO LTD,HANG SENG SECURITIES LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG)
2024-03-01,92.41562638422766,0.0,0.0,0.0,0.0,7.5843736157723285,0.0,0.0,0.0
2024-03-04,92.41774785183874,0.0,0.0,0.0,0.0,7.582252148161257,0.0,0.0,0.0
2024-03-05,77.41840123280093,0.0,8.878118554192259,5.138392826786134,0.0,6.351657043143755,0.0,2.213430343076911,0.0
2024-03-06,77.43019436618505,0.0,8.878299188582014,5.1391755573905025,0.0,6.338563373255175,0.0,2.213767514587259,0.0
2024-03-07,77.44081524809557,0.0,8.869836977293268,5.138439146882033,0.0,6.327832091829093,0.0,2.22307653590004,0.0
2024-03-08,77.46583364402127,0.0,8.828837058791365,5.169826922547151,0.0,6.313691077179204,0.0,2.2218112974610036,0.0
2024-03-11,77.51345371201874,0.0,8.820263890188226,5.157787226951684,0.0,6.288841344713281,0.0,2.219653826128069,0.0
2024-03-12,77.15419905225774,0.0,8.774726235840575,5.195601118972359,0.0,6.259694203805591,0.0,2.2093663090338698,0.40641308008986704
2024-03-13,77.12563839866104,0.0,8.77147804041497,5.230928272965056,0.0,6.25598012197201,0.0,2.208548454055195,0.40742671193172775
2024-03-14,77.13628444260628,0.0,8.767395673339092,5.22849372667087,0.0,6.253068502384113,0.0,2.207520565089074,0.40723708991056334
2024-03-15,77.13977504623409,0.0,8.763905069711289,5.22849372667087,0.0,6.253068502384113,0.0,2.207520565089074,0.40723708991056334
2024-03-18,77.13995455623758,0.0,8.7639254639713,5.228273186315251,0.0,6.254246590990607,0.0,2.2075257021538905,0.4060745003313777
2024-03-19,77.13546705677584,0.0,8.77039645332406,5.227969039479227,0.0,6.253882759713131,0.0,2.207397282705666,0.4048874080020765
2024-03-20,77.01289130871723,0.0,8.930702546199619,5.212459240646413,0.0,6.235813387790979,0.0,2.2038895140550787,0.40424400259067433
2024-03-21,77.0394700296526,0.0,8.939594821940664,5.150695585430222,0.0,6.249585710250445,0.0,2.2162703372778374,0.4043835154482242
2024-03-22,77.04769371190943,0.0,8.939489007660338,5.146053478871037,0.0,6.246106903573212,0.0,2.2162729126348246,0.40438398535114833
2024-03-25,77.09427807839478,0.0,8.944893977128752,5.149164871693634,0.0,6.18825895484342,0.0,2.217612909520127,0.40579120841928995
2024-03-26,77.07635434947098,0.0,8.942814369421223,5.139830550579098,0.0,6.2112317993284645,0.0,2.2229096103989074,0.40685932080132536
2024-03-27,77.07594266376948,0.0,8.942793578227388,5.13912112946154,0.0,6.212379811304293,0.0,2.222904442345241,0.4068583748920564
2024-03-28,77.0732548438369,0.0,8.95061860565607,5.138941916185252,0.0,6.208675935079404,0.0,2.2205021004993393,0.40800659874302997
2024-04-02,77.07952671530968,0.0,8.955996992567645,5.13936009994134,0.0,6.197556103391678,0.0,2.220682794876495,0.40687729391315147
2024-04-03,77.07214393301933,0.0,8.9530933593845,5.147004611468216,0.0,6.198124888215359,0.0,2.2216324900545117,0.4080007178580835
2024-04-05,73.23280339552201,0.0,8.506254028595897,4.887584852982325,4.993848455567869,5.882415053105685,0.0,2.109657582798707,0.38743663142750584
2024-04-08,73.2360369366559,0.0,8.506629616051537,4.887800660734243,4.9940689553118185,5.879363216447276,0.0,2.1097507331938323,0.38634988160539685
2024-04-09,73.23505125853448,0.0,8.506592055813437,4.88777907910146,4.994046904461187,5.8804411085921355,0.0,2.1097414177841523,0.38634817571314606
2024-04-10,73.24301806023874,0.0,8.507568729814826,4.888340263500543,4.994620289871149,5.870076477592318,0.0,2.1099836451742613,0.38639253380816546
2024-04-11,73.25353120389359,0.0,8.508789887743305,4.889041925239573,4.995337206814217,5.856565272914809,0.0,2.1102865076416824,0.38644799575283495
2024-04-12,73.25199753570358,0.0,8.507521769202071,4.888313280532621,4.994592720252056,5.861212294981419,0.0,2.10997199835388,0.38639040097436445
2024-04-15,73.2531015082778,0.0,8.506748988400123,4.888313280532621,4.994592720252056,5.861212294981419,0.0,2.109640806581616,0.38639040097436445
2024-04-16,72.56868895307534,0.0,8.427269407443964,4.842641180456676,4.947927638562962,5.8097312562445955,0.0,2.0899301782906248,1.31381138592584
2024-04-17,72.56234028221196,0.0,8.425438585536419,4.8422175220523735,4.947494769174162,5.819065053097636,0.0,2.0897473407745992,1.3136964471528494
2024-04-18,72.56892704984372,0.0,8.42510973395977,4.84265706908898,4.947943872638538,5.819593272407953,0.0,2.0822814040240565,1.3134875980369753
2024-04-19,72.5690064157804,0.0,8.425118948188953,4.8425529990419385,4.947949284020736,5.819599637080683,0.0,2.0822836813377874,1.3134890345495125
2024-04-22,72.5690064157804,0.0,8.425118948188953,4.8425529990419385,4.947949284020736,5.8185059742709,0.0,2.0822836813377874,1.3145826973592956
2024-04-23,72.56662551319373,0.0,8.424842530080351,4.842394120651136,4.947786947703473,5.821595956810502,0.0,2.082215364092617,1.3145395674681877
2024-04-24,72.56765721846621,0.0,8.423540573814346,4.842462966673813,4.947857292133091,5.820585082014064,0.0,2.082244967681793,1.315651899216681
2024-04-25,72.57003818875472,0.0,8.42381695313537,4.842621849582382,4.9480196330664485,5.8174950223744935,0.0,2.0823132868695895,1.3156950662169968
2024-04-29,72.56924451463198,0.0,8.423724824679917,4.842568887454426,4.947965518238351,5.817431398386224,0.0,2.082290513308868,1.3167743433002463
2024-04-30,30.158133957595233,0.0,3.5007091969022097,2.012461920797415,2.0562623727811737,2.3935040369131757,0.0,0.8653527628544729,0.5681287224208627
2024-05-02,72.56568857758946,0.0,8.43005058533489,4.843061479959646,4.948468831828103,5.758959162240874,0.0,2.082174193356814,1.3715971696902087
2024-05-03,72.56886354562285,0.0,8.429325600004525,4.84327337852609,4.948685342284536,5.760304959600409,0.0,2.0822652947662186,1.367281879195365
2024-05-06,72.56965733104244,0.0,8.42941780312624,4.843326356064984,4.9487394728589855,5.7592741305062995,0.0,2.0822880713641965,1.367296835036853
2024-05-07,72.56886354562285,0.0,8.429325600004525,4.84327337852609,4.948685342284536,5.759211134097051,0.0,2.0822652947662186,1.3683757046987213
2024-05-08,72.56727602687832,0.0,8.42914119981221,4.843167426925119,4.948577084688125,5.75908514541289,0.0,2.084407346214638,1.368345770068707
