date,GET NICE SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BOOM SECURITIES (H.K.) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,HAITONG INTERNATIONAL SECURITIES CO LTD,DAIWA CAPITAL MARKETS HONG KONG LTD,ICBC (ASIA) SECURITIES LTD
2024-03-01,0.0,0.0,71.20764313698535,28.79235686301464,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,0.0,60.413538177197644,24.194293635208503,0.0,0.0,0.0,15.392168187593855,0.0,0.0
2024-03-11,0.0,33.987226277372265,39.955900243309,15.925334549878345,0.0,0.0,0.0,10.13153892944039,0.0,0.0
2024-03-12,0.0,33.733019655460275,40.25954314335585,15.89512028534568,0.0,0.0,0.0,10.112316915838203,0.0,0.0
2024-03-14,0.0,31.199832484120893,37.02798911146786,14.619250366440987,0.0,0.0,0.0,9.300621204718365,7.852306833251902,0.0
2024-03-22,1.4467592592592593,28.742283950617285,34.1113683127572,13.467721193415638,0.0,0.0,0.0,8.568029835390947,7.233796296296297,6.4300411522633745
2024-03-26,1.4444373114206843,28.856647621493224,34.05662194260769,13.446106438980548,0.0,0.0,0.0,8.554278744302497,7.222186557103422,6.419721384091931
2024-03-27,1.2533422459893049,25.178253119429588,29.551024955436723,11.667223707664883,13.090463458110516,0.0,0.0,7.422571301247771,6.266711229946524,5.570409982174688
2024-03-28,1.1516609510160207,23.51947586630496,27.064032348876495,10.720683830680247,12.028458821722884,7.818498234119875,0.0,6.820392076572657,5.758304755080104,5.118493115626759
2024-04-03,1.1513662879950874,23.897246955275815,26.92917818032955,10.487667587759697,12.025381230170915,7.816497799611094,0.0,6.818647016682018,5.7568314399754374,5.117183502200389
2024-04-05,1.1498952317677722,23.994480502887512,26.89477180967956,10.474267900035775,12.010016865130066,7.806510962334542,0.0,6.809935094802473,5.749476158838862,5.110645474523432
2024-04-12,1.1498952317677722,25.27214187151837,25.61711044104871,10.474267900035775,12.010016865130066,7.806510962334542,0.0,6.809935094802473,5.749476158838862,5.110645474523432
2024-04-16,1.1368229587712209,26.121665319320936,25.32588924818108,10.355194017784964,11.873484236054972,7.717764753435731,0.0,6.73251818916734,5.684114793856104,5.052546483427648
