date,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CMB INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,TIGER BROKERS (HK) GLOBAL LTD,YUE XIU SECURITIES CO LTD
2024-05-13,4.095643422789266,0.0,0.0,0.046587266670856636,0.0,0.0,0.33239582678649987,3.363474954434039,0.30505625039281,0.0
2024-05-14,4.0974503488152845,0.0,0.10016655144239833,0.05232229275344101,0.0,0.0,0.33545974483062035,3.355854440324304,0.3047420023882848,0.0
2024-05-16,4.099021588837911,1.9901343410219345,0.102759097479731,0.07675507510527309,0.0,0.0,0.34048771290302304,3.2886053673559172,0.30592043240525424,0.0
2024-05-17,0.0,1.9900557790208033,0.10550876751932625,0.0787191251335554,0.0,0.0,0.39485261768587765,3.224577336433913,0.0,0.0
2024-05-20,4.098943026836779,0.0,0.15555276223995976,0.09506002136886431,0.0,0.0,0.4185783420275281,3.1107409967946706,0.3095342844572937,0.0
2024-05-21,4.097057538809628,0.0,0.18964867073094085,0.38856765759537426,0.0,0.0,0.6053202187166111,2.605351643517064,0.310948400477657,1.578389164728804
2024-05-22,4.10020001885488,1.99594792910565,0.25807617371629693,0.35431462510213063,9.586842436050532,5.133948211928854,0.6295173150650493,2.5926245993337944,0.2218590911947709,0.0
2024-05-23,4.096821852806235,1.998540475142983,0.25949028973666016,0.3511721450568789,0.0,0.0,0.6365093331657343,2.589167871284017,0.22201621519703352,1.5779177927220163
2024-05-24,4.097057538809628,1.9950051850920747,0.2639683238011439,0.3355383068317516,9.643485638866194,0.0,0.617890138897618,2.568113254980831,0.22233046320155866,0.0
2024-05-27,4.097293224813022,1.9968906731192257,0.27064609389730376,0.3316887687763183,0.0,0.0,0.6585852554836277,0.0,0.22594431525359815,0.0
2024-05-28,4.097528910816417,1.9968121111180945,0.0,0.3048205643894161,0.0,0.0,0.6918955439632959,0.0,0.23442901137577776,0.0
2024-05-29,4.096743290805104,1.9968906731192257,0.27096034190182894,0.3092200364527685,8.68502922506442,0.0,0.689538683929357,3.526569668782603,0.2493557915907234,0.0
2024-05-30,4.097607472817548,0.0,0.0,0.30348501037018416,0.0,0.0,0.6878888819055999,0.0,0.25556218968009553,0.0
2024-05-31,4.097214662811891,1.996419301112438,0.2744170699516058,0.2942932562378229,8.678587140971656,0.0,0.690874237948589,0.0,0.25634780969140847,0.0
2024-06-03,3.9822784551568096,1.9971263591226196,0.2698604738859908,0.2920149582050154,0.0,0.0,0.6750047137200679,0.0,0.24990572559864246,0.0
2024-06-04,0.0,1.9990904091509019,0.28557287411224935,0.2846301300986739,0.0,0.0,0.6587423794858903,0.0,0.24362076550813902,0.0
2024-06-05,3.983456885173779,2.0005830871723966,0.2885582301552385,0.301835208346427,0.0,0.0,0.6392590032053297,0.0,0.23081515932373828,0.0
2024-06-06,4.128560901263277,2.0023114511972846,0.28950097416881404,0.2993212243102257,0.0,0.0,0.6462510213060148,0.0,0.23160077933505122,0.0
2024-06-07,0.0,2.0032541952108605,0.0,0.29146502419709636,0.0,0.0,0.6568568914587393,0.0,0.0,0.0
2024-06-11,4.134453051348124,2.0047468732323552,0.2860442461190371,0.29939978631135694,0.0,0.0,0.6580353214757086,0.0,0.22798692728301173,0.0
