date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,KARL-THOMSON SECURITIES CO LTD,HANG SENG BANK LTD,EMPEROR SECURITIES LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCOM INTERNATIONAL SECURITIES LTD,INNOVAX SECURITIES LTD
2024-03-05,0.0,0.0,0.0,0.0,44.60093896713615,55.39906103286385,0.0,0.0,0.0
2024-03-08,0.0,0.0,0.0,0.0,44.55872454989063,55.44127545010937,0.0,0.0,0.0
2024-03-14,0.0,0.0,0.0,0.0,44.605634395923694,55.3943656040763,0.0,0.0,0.0
2024-03-21,0.0,0.0,0.0,0.0,44.624426001600874,55.37557399839912,0.0,0.0,0.0
2024-03-22,0.0,0.0,0.0,0.0,44.69975102333629,55.30024897666371,0.0,0.0,0.0
2024-03-27,0.0,0.0,0.0,0.0,35.75416693845853,44.23322923247862,20.012603829062847,0.0,0.0
2024-04-17,0.0,0.0,0.0,27.584322450335353,21.172966344578057,26.334033052314716,11.851099427640301,13.057578725131572,0.0
2024-04-24,0.0,0.0,0.0,27.581565860457165,21.17085046209366,26.341394728832984,11.849915109236742,13.05627383937945,0.0
2024-04-26,0.0,0.0,0.0,27.607775730034362,21.09594167197191,26.366426103912165,11.861175700135943,13.068680793945614,0.0
2024-04-29,0.0,0.0,0.0,27.609156576778688,21.09199516019488,26.367744862583674,11.86176895567415,13.069334444768607,0.0
2024-04-30,0.0,0.0,0.0,27.643722693998964,21.118401920397396,26.400756756924586,11.876619655478086,12.960498973200963,0.0
2024-05-06,0.0,0.0,0.0,27.63680254811319,21.113115279962564,26.44421443815657,11.848613205775472,12.957254527992202,0.0
2024-05-07,0.0,0.0,0.0,27.625737518358978,21.104662158499966,26.47366418924191,11.843869340871423,12.952066793027726,0.0
2024-05-13,0.0,0.0,0.0,27.624355012596858,21.103605994224807,26.47734375011729,11.843276624836287,12.951418618224759,0.0
2024-05-14,0.0,0.0,0.0,27.657573387642387,21.128983147769553,26.46909940076761,11.77735132338232,12.966992740438133,0.0
2024-05-16,0.0,0.0,0.0,27.703379315422396,21.16397655310439,26.502899545087427,11.641276168213112,12.988468418172674,0.0
2024-05-22,0.0,0.0,0.0,27.60363401841853,21.087776205737484,26.39247456927705,11.599362056014675,13.316753150552271,0.0
2024-05-23,0.0,0.0,0.0,27.646491722805656,21.120517317947726,26.278190719423318,11.61737135253499,13.337428887288308,0.0
2024-05-24,0.0,0.0,0.0,25.33694580652203,19.35614138878685,23.48624715630651,10.830474856133653,12.22324034108119,8.76695045116976
2024-05-27,0.0,0.0,0.0,25.45377932597009,19.44539627130722,23.13342755842876,10.880416254137911,12.279604048017816,8.8073765421382
2024-06-06,0.0,0.0,0.0,25.442047509613015,19.436433758702552,23.122765207649742,10.921492063625214,12.273944296757149,8.80331716365233
2024-06-13,0.0,0.0,0.0,25.440874922749845,19.435537961818135,23.121699513125257,10.925597562137378,12.27337860856573,8.80291143160366
2024-06-14,0.0,0.0,0.0,25.519677960156663,19.49573948514142,22.883569196953523,10.959439569379475,12.311395363749492,8.830178424619426
2024-06-17,0.0,0.0,0.0,25.516139027272082,19.49303591992869,22.89426329244079,10.957919772728859,12.309688085077095,8.828953902552477
2024-06-18,0.0,0.0,0.0,25.51142197662035,19.489432332501455,22.89003093583429,10.955894032762858,12.307412449952897,8.845808272328144
2024-06-19,0.0,0.0,0.0,25.540932189426545,19.511976638190532,22.800834355626108,10.968567209690637,12.321648989210669,8.856040617855507
2024-06-26,0.0,0.0,0.0,25.545660160251813,19.51558856807643,22.805055097407408,10.952086291388886,12.323929892527278,8.857679990348183
2024-07-08,0.0,0.0,0.0,25.529119915502314,19.502952660085736,22.790289333263097,10.94499505997655,12.315950423004104,8.9166926081682
2024-07-11,39.61475301995815,0.0,0.0,15.41582211280712,11.776906132193412,13.761972501357054,6.60916229892022,7.437017080870537,5.384366853893502
2024-07-15,39.695680071791955,0.0,0.0,14.896024323027746,11.800964600828106,13.83206256319022,6.650648100188818,7.452209801281774,5.672410539691384
2024-07-16,39.88206380303608,0.0,0.0,14.91254609878769,11.856373849658313,13.509012348313554,6.653759329443757,7.487200275465991,5.699044295294617
2024-07-23,39.826076980928995,0.0,0.0,14.891611724134465,11.83972975879997,13.630429222912518,6.644418718542558,7.476689672204012,5.691043922477481
2024-07-25,39.824958847776486,0.0,0.0,14.89119363613722,11.839397353618148,13.63004654312198,6.6470397140890825,7.476479761129981,5.690884144127102
2024-07-26,39.81713367331767,0.0,0.0,14.888267677354735,11.837071039857639,13.627368386127783,6.665382562936123,7.475010713573842,5.68976594683221
2024-07-31,39.826076980928995,0.0,0.0,14.891611724134465,11.83972975879997,13.630429222912518,6.644418718542558,7.476689672204012,5.691043922477481
2024-08-05,39.859650195531465,0.0,0.0,14.904165289890651,11.849710600955671,13.641919617149533,6.565720358013562,7.482992490003546,5.695841448455571
2024-08-28,39.84957228921704,0.0,0.0,14.900396998379076,11.846714581856064,13.641279740710619,6.586534519098536,7.481100529163552,5.6944013415751105
2024-08-29,39.822722769813126,0.0,0.0,14.89035753056671,11.90610978264205,13.632088630642128,6.582096697656146,7.476059974339962,5.6905646143398805
2024-09-09,39.85069180491944,0.0,0.0,14.900815603333994,11.847047398050425,13.641662972599777,6.583910203819503,7.481310699788543,5.694561317488313
2024-09-10,39.76021437384586,0.0,0.0,14.866984634393967,12.047190791596016,13.610690797075833,6.568962024636646,7.464325053052627,5.681632325399052
2024-09-17,39.76132887434627,0.0,0.0,14.867401364084076,12.04752848092635,13.611072312164302,6.566343101670125,7.464534282156087,5.681791584652794
2024-09-23,39.73348509274429,0.0,0.0,14.856990125619717,12.109119214376705,13.601540846905019,6.561744869457504,7.459307070988934,5.677812779907837
2024-09-26,39.78921170713334,0.0,0.0,14.877827204415595,12.12610237644959,13.48036613480024,6.570947782949892,7.469768824539731,5.685775969711616
2024-10-02,39.802692407704434,0.0,0.0,14.876575331580884,12.12508204344347,13.47923184926686,6.561980527673586,7.469140291855185,5.6852975484755754
2024-10-03,39.82294644549711,0.0,0.0,14.87156994627309,12.121002427929593,13.47469661534676,6.559772678071699,7.466627218500232,5.683384668381515
2024-10-04,40.00746573414586,0.0,0.0,14.924715027001662,12.164318073478166,13.235836075416746,6.470660286669896,7.4933099767921245,5.703694826495545
2024-10-08,40.01872644470262,0.0,0.0,14.92891581535397,12.167741906066215,13.239561503065985,6.4443350295272515,7.495419083010485,5.705300218273472
2024-10-10,40.04126689351836,0.0,0.0,14.937324490309567,12.174595356638058,13.247018653378232,6.391640032333788,7.4996408592938115,5.708513714528184
2024-10-16,40.04352233502234,0.0,0.0,14.938165878812665,12.17528112633996,13.247764830459843,6.3863672675945695,7.500063298506435,5.708835263264191
2024-10-17,40.0627038515508,0.0,0.0,14.945321509961,12.181113289510066,13.254110731250856,6.341524772757992,7.503655954190449,5.7115698907788355
2024-10-18,40.054258259700674,0.0,0.0,14.947427412189713,12.182829695116162,13.255978329837475,6.342418338757459,7.504713272749096,5.712374691649424
2024-10-23,40.059902985304106,0.0,0.0,14.949533907975304,12.18454658449797,13.243753756937096,6.343312156612038,7.505770889317163,5.713179719356323
2024-10-25,40.05145461792172,0.0,0.0,14.951640997568752,12.186263957860051,13.245620422205137,6.344206226428227,7.506828804020661,5.713984973995449
2024-10-31,40.04693902625225,0.0,0.0,14.94995527838133,12.184890020445417,13.244127047899356,6.35476542649215,7.505982448402994,5.7133407521265
2024-11-06,40.04468161222797,0.0,0.0,14.94911256132159,12.184203167909734,13.243380487016946,6.360044133703578,7.505559342156748,5.713018695663435
2024-11-11,40.04693902625225,0.0,0.0,14.94995527838133,12.184890020445417,13.244127047899356,6.35476542649215,7.505982448402994,5.7133407521265
2024-11-18,37.99096361613864,0.0,0.0,14.18243743102473,11.559328245535427,12.564184954920627,11.162431236636616,7.120631764483193,5.42002275126077
2024-11-26,37.983854028220065,0.0,0.0,14.179783344994314,11.557165045326249,12.561833706911631,11.17905620335178,7.119299217141754,5.4190084540542
2024-12-05,37.98486952071666,0.0,0.0,14.18016243932159,11.557474024356567,12.562169545604126,11.176681589077553,7.119489550511575,5.419153330411928
2024-12-18,23.913720219607583,20.381175286584615,0.0,12.737334007310567,10.381503565913194,11.283971537245643,10.039456677779095,6.395083043263206,4.8677556622961005
2025-01-15,23.885040756759068,20.35673236619946,0.0,12.72205826208577,10.369053142344793,11.270438793719572,10.147345372484429,6.387413490183712,4.8619178162232
2025-01-20,23.94246863778245,20.405676976185948,0.0,12.752646480698749,10.39398392459666,11.045080581265818,10.18376481830953,6.4027710365951656,4.873607544565679
2025-01-21,23.7223073090792,20.218037972700863,0.0,12.635380394392055,11.27750580449698,10.883960397039672,10.090120707189662,6.34389479454488,4.828792620556692
2025-01-22,23.720047038963738,20.216111590649252,0.0,12.634176490727423,11.276431279619837,10.892451405882044,10.089159316798806,6.343290345928946,4.828332531429956
2025-01-24,23.722872443915882,20.21851962557884,0.0,12.635681406158852,11.27777446771418,10.893748856350527,10.078449619043974,6.344045924698534,4.828907656539214
