date,217,1077,103,243,48,Others
2021-12-28,100.0,0.0,0.0,0.0,0.0,0.0
2021-12-29,0.0,100.0,0.0,0.0,0.0,0.0
2022-10-26,0.0,100.0,0.0,0.0,0.0,0.0
2022-10-27,0.0,100.0,0.0,0.0,0.0,0.0
2023-01-11,50.0,0.0,50.0,0.0,0.0,0.0
2023-02-15,100.0,0.0,0.0,0.0,0.0,0.0
2023-04-13,0.0,100.0,0.0,0.0,0.0,0.0
2023-07-10,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-18,100.0,0.0,0.0,0.0,0.0,0.0
2023-08-21,100.0,0.0,0.0,0.0,0.0,0.0
2023-09-12,100.0,0.0,0.0,0.0,0.0,0.0
2023-12-13,100.0,0.0,0.0,0.0,0.0,0.0
2024-05-07,100.0,0.0,0.0,0.0,0.0,0.0
2024-06-03,95.29761904761904,4.7023809523809526,0.0,0.0,0.0,0.0
2024-06-06,95.03486750348675,4.96513249651325,0.0,0.0,0.0,0.0
2024-06-13,75.0,25.0,0.0,0.0,0.0,0.0
2024-06-25,72.10526315789474,27.89473684210526,0.0,0.0,0.0,0.0
2024-06-26,99.72627737226277,0.0,0.0,0.0,0.2737226277372263,0.0
2024-07-08,85.23401450230719,14.765985497692816,0.0,0.0,0.0,0.0
2024-07-10,79.96044825313118,20.03955174686882,0.0,0.0,0.0,0.0
2024-07-29,100.0,0.0,0.0,0.0,0.0,0.0
2024-08-30,100.0,0.0,0.0,0.0,0.0,0.0
2024-09-25,69.31506849315069,30.684931506849317,0.0,0.0,0.0,0.0
2024-09-30,67.12328767123287,32.87671232876712,0.0,0.0,0.0,0.0
2024-10-02,69.31506849315069,30.684931506849317,0.0,0.0,0.0,0.0
2024-10-28,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-26,100.0,0.0,0.0,0.0,0.0,0.0
2025-04-24,97.05304518664047,0.0,0.0,2.9469548133595285,0.0,0.0
2025-05-02,94.10609037328095,0.0,0.0,5.893909626719057,0.0,0.0
