date,UBS SECURITIES HONG KONG LTD,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,ORIENT SECURITIES (HONG KONG) LTD,DONGXING SECURITIES (HONG KONG) CO LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,SINOPAC SECURITIES (ASIA) LTD,CHINA PA SECURITIES (HONG KONG) CO LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL
2024-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.484335182131616,60.515664817868384,0.0
2024-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.317151619418055,59.682848380581945,0.0
2024-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.40185240513893,59.598147594861075,0.0
2024-03-25,0.0,0.0,0.0,0.0,55.980405049973704,0.0,0.0,17.786691215149922,26.232903734876377,0.0
2024-04-02,0.0,0.0,0.0,0.0,55.97711730668069,0.0,0.0,17.789978958442926,26.232903734876377,0.0
2024-04-03,0.0,0.0,0.0,0.0,55.868297023829136,0.0,0.0,17.833954055568373,26.297748920602487,0.0
2024-04-05,0.0,0.0,0.0,0.0,34.51955483601633,38.210587408742406,0.0,11.02116870818951,16.248689047051755,0.0
2024-04-08,0.0,0.0,0.0,0.0,34.517518404252066,38.210587408742406,0.0,11.023205139953774,16.248689047051755,0.0
2024-04-10,0.0,0.0,0.0,0.0,34.51681549285736,38.18740899880871,0.0,11.04741734800892,16.248358160325008,0.0
2024-04-17,0.0,0.0,0.0,0.0,34.50663354138454,38.18537260851414,0.0,11.059635689776302,16.248358160325008,0.0
2024-04-18,0.0,0.0,0.0,0.0,34.49645158991173,38.18537260851414,0.0,11.069817641249122,16.248358160325008,0.0
2024-04-19,0.0,0.0,0.0,0.0,34.44210269098018,38.183817465408225,0.0,11.126383416312859,16.247696427298735,0.0
2024-04-26,0.0,0.0,0.0,0.0,34.43732882639815,38.18303994135554,0.0,11.13226565124874,16.247365580997567,0.0
2024-04-29,0.0,0.0,0.0,0.0,34.42260917352765,38.164683852189576,0.0,11.17228605448754,16.24042091979524,0.0
2024-04-30,0.0,0.0,0.0,41.41695470149386,19.859976800193134,22.022740521347945,0.0,7.303817369236114,9.39651060772895,0.0
2024-05-03,0.0,0.0,0.0,40.64334198736629,19.797130628800858,21.871154989609273,0.0,8.293742604334081,9.3946297898895,0.0
2024-05-13,0.0,0.0,0.0,40.054160656992316,19.79689753627881,21.75315691872958,0.0,9.001265711005798,9.394519176993494,0.0
2024-05-20,0.0,0.0,0.0,39.57807248347431,19.79433388075603,21.750339931837047,0.0,9.48395109690559,9.393302607027024,0.0
2024-05-21,0.0,0.0,0.0,39.576674730565706,19.793634817208478,21.74839457776365,0.0,9.488325004561695,9.392970869900468,0.0
2024-05-22,0.0,0.0,0.0,39.57574295014038,19.79316880227432,21.747882540598127,0.0,9.490455982153893,9.392749724833282,0.0
2024-05-23,0.0,0.0,0.0,37.19965255686062,18.604805559090227,20.436627588534375,0.0,8.921764435764514,8.828817863445995,6.008331996304267
2024-05-27,0.0,0.0,0.0,36.506873945395704,18.60418798926724,20.269978700450885,0.0,9.783408481093192,8.828524798760753,6.0070260850322255
2024-05-28,0.0,0.0,0.0,35.427673617066006,18.60398214177044,20.267541505999766,0.0,10.86541600048684,8.828427114855856,6.006959619821086
2024-05-30,0.0,0.0,0.0,35.4272816291305,18.603776298828826,20.267317256678783,0.0,10.866402226168544,8.828329433112597,6.006893156080748
2024-06-04,0.0,0.0,0.0,35.426105717367854,18.603158797333556,20.2666445384892,0.0,10.869360772273394,8.828036400851936,6.0066937736840655
