date,HANG SENG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,CMB WING LUNG BANK LTD
2024-03-25,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,71.5731886103075,0.0,0.0,28.426811389692507,0.0,0.0
2024-04-19,0.0,71.59516175805415,0.0,0.0,28.40483824194585,0.0,0.0
2024-05-13,0.0,55.698424994476646,0.0,0.0,22.097928315963095,22.203646689560255,0.0
2024-05-14,0.0,55.69731760959813,0.0,0.0,22.098480687107024,22.204201703294842,0.0
2024-05-16,0.0,55.79798155947635,0.0,0.0,22.13842013926995,22.0635983012537,0.0
2024-05-17,0.0,55.89901003599918,0.0,0.0,22.17850422110916,21.922485742891652,0.0
2024-05-21,0.0,55.932767543198445,0.0,0.0,22.191897857515798,21.875334599285758,0.0
2024-05-22,0.0,56.034285143398286,0.0,0.0,22.232176004178843,21.73353885242287,0.0
2024-05-29,0.0,56.0313058356252,0.0,0.0,22.233682552974827,21.735011611399973,0.0
2024-05-31,0.0,0.505847777424793,0.0,0.0,0.20072455452644225,0.1956763527184799,0.0
2024-06-05,0.0,56.09180971312712,0.0,0.0,22.233682552974827,21.674507733898057,0.0
2024-06-20,0.0,55.74371169712548,0.0,0.0,22.409948091010783,21.846340211863744,0.0
2024-07-08,0.0,40.645068087809946,0.0,27.050482919830166,16.357924552395627,15.946524439964257,0.0
2024-07-16,0.0,40.697864005163105,0.0,27.026421649526444,16.343374259691814,15.932340085618641,0.0
2024-07-19,0.0,40.704720576541966,0.0,27.023296828033143,16.341484622660985,15.930497972763904,0.0
2024-07-22,0.0,40.731077235128495,0.0,27.011285015030417,16.334220858408848,15.923416891432238,0.0
2024-08-01,0.0,40.7129803792855,0.0,27.043713969600514,16.326963548751262,15.91634210236273,0.0
2024-08-15,0.0,40.76731925390337,0.0,27.079808722893095,16.3487548501225,15.804117173081034,0.0
2024-08-19,83.96284855501936,6.529202321191264,0.0,4.358417329967391,2.6183798706800236,2.531151923141951,0.0
2024-08-22,83.96284855501936,6.536327642629655,0.0,4.358417329967391,2.6183798706800236,2.524026601703559,0.0
2024-08-30,83.96883160417923,6.536793410171894,0.0,4.358727903341129,2.6185664519568035,2.517080630350944,0.0
2024-09-02,83.97481550608357,6.537259244098462,0.0,4.359038520979878,2.618753059826404,2.5101336690116773,0.0
2024-09-03,83.97637146028075,6.535527489847115,0.0,4.359119288817729,2.618801582229106,2.510180178825295,0.0
2024-09-23,83.96440406577709,6.53459611790998,0.0,4.37274898167354,2.618428379254074,2.5098224553853212,0.0
2024-09-24,83.98834226668137,6.536459127317828,0.0,4.373995649768098,2.619174891604081,2.4820280646286217,0.0
2024-09-27,84.06023883670022,6.542054534711754,0.0,4.37773992279467,2.6214169848030147,2.398549720990342,0.0
2024-10-02,84.10223537518644,6.545322948516522,0.0,4.379927043907989,2.622726646074672,2.3497879863143813,0.0
2024-10-03,82.70330516752699,6.4364500992905915,0.0,4.307072711062571,2.5791010335655695,2.3107023498745645,1.6633686386797117
2024-10-04,82.69169784458404,6.435546750207297,0.0,4.320503113972688,2.5787390594154624,2.310378045200819,1.663135186619686
2024-10-07,82.70330516752699,6.4364500992905915,0.0,4.307072711062571,2.5791010335655695,2.3107023498745645,1.6633686386797117
2024-10-08,82.68589540483363,6.470179948915019,0.0,4.29213212365166,2.578558110439757,2.3102159269984193,1.6630184851615142
2024-10-09,82.7094970722719,6.472026781856386,0.0,4.265281425598769,2.5788261974307587,2.3108753495970698,1.6634931732451144
2024-10-14,82.73853398924562,6.474298923641412,0.0,4.238693152025408,2.579731548869651,2.304665208537178,1.6640771776807313
2024-10-15,82.74434381937778,6.474753543455876,0.0,4.238990789486555,2.579912695445047,2.2978051244569375,1.6641940277778138
2024-11-07,77.8140725778748,6.082355784858992,5.965042505961388,3.986413109639063,2.4261901715743295,2.160891808080681,1.565034042010757
2024-11-19,77.8089344499766,6.088557244979074,5.964648629246054,3.9861498834675784,2.426029968220439,2.1607491225982716,1.5649307015119698
2024-11-20,77.8140725778748,6.082355784858992,5.965042505961388,3.986413109639063,2.4261901715743295,2.160891808080681,1.565034042010757
2024-12-05,77.80614835487727,6.0902800078565145,5.965042505961388,3.986413109639063,2.4261901715743295,2.160891808080681,1.565034042010757
2024-12-09,77.80101075022212,6.089877861604823,5.971251712374796,3.9861498834675784,2.426029968220439,2.1607491225982716,1.5649307015119698
2024-12-17,77.80094396582906,6.0899584740602295,5.971246586651909,3.9861464617562397,2.4260278857161452,2.1607472678110735,1.5649293581753463
2025-01-02,77.80094396582906,6.1757984810487505,5.885406579663388,3.9861464617562397,2.4260278857161452,2.1607472678110735,1.5649293581753463
2025-01-03,77.79067080932765,6.188187414353301,5.884629446382154,3.9856201145893317,2.425707543020076,2.160461953858431,1.5647227184690562
2025-01-23,77.75986761149554,6.225334591411947,5.882299277441332,3.9840419067708877,2.4247470223232734,2.159606463909815,1.5641031266472099
2025-03-17,77.75986778255664,6.225334605106835,5.882299290381589,3.9840419155352365,2.4247470276573866,2.1596062486742795,1.5641031300880237
2025-03-20,77.76499995470182,6.225745478861714,5.876087496872633,3.984304863371018,2.4249070616120383,2.159748783266352,1.5642063613144301
2025-03-24,77.77013280434117,6.219555944382444,5.876475345822761,3.9845678459183462,2.425067116692652,2.1598913366743084,1.5643096061683137
2025-04-10,77.77526633160889,6.213365592773439,5.876863245975918,3.9848308631840945,2.425227192903411,2.160033908901876,1.564412864652372
2025-04-11,77.77526633160889,6.180361101957988,5.876863245975918,4.017835353999546,2.425227192903411,2.160033908901876,1.564412864652372
