date,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,CITIBANK N.A.,FIRST SHANGHAI SECURITIES LTD,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,94.00045089728088,0.0,0.0,0.0,5.999549102719114,0.0,0.0,0.0,0.0,0.0
2024-03-04,56.77146145900927,14.061057005298306,10.994161773663656,0.0,3.5638025380753793,0.0,0.0,0.0,0.0,14.609517223953395
2024-03-05,56.71968121537863,14.11268284331475,10.991422679779546,0.0,3.5703358638834795,0.0,0.0,0.0,0.0,14.605877397643596
2024-03-06,55.89994205499681,13.90092494406227,10.822843716135194,0.0,3.518852241207801,0.0,0.0,0.0,1.4681071634426983,14.389329880155227
2024-03-07,55.790207922729486,13.324789041630547,10.561869360389215,0.0,3.152204104009522,0.0,2.9660888897692366,0.0,1.3390361010335492,12.86580458043844
2024-03-08,55.701462314013185,13.41247536307717,10.544617441923618,0.0,3.203256798499543,0.0,2.9620995503777605,0.0,1.3372351201246877,12.838853411984033
2024-03-11,55.642432854492085,13.402226391168295,10.535363455642473,0.0,3.2968297388538517,0.0,2.959500003381054,0.0,1.3360615587769713,12.82758599768527
2024-03-12,55.65205364452811,13.414487864672056,10.533439811923373,0.0,3.286083928156156,0.0,2.9589596306053867,0.0,1.3358176083488065,12.819157511766113
2024-03-13,54.54343931850695,13.286826633278967,10.27233250176754,0.0,3.20512265799884,0.0,2.900596815833395,1.9039987247525352,1.3105930457541952,12.577090302107582
2024-03-14,54.58677817842966,13.295934144766516,10.283872255215972,0.0,3.259128463902944,0.0,2.9038552940906226,1.9061376426512688,1.3170470807603505,12.44724694018267
2024-03-15,54.58427316114024,13.332917238249411,10.28396344820316,0.0,3.357158990645622,0.0,2.9038810442392102,1.9061545454658224,1.3170587597713865,12.314592812285143
2024-03-18,54.371602776378914,13.556910838439975,10.287602240607926,0.0,3.3399077425171404,0.0,2.9049085294438544,1.906829003394158,1.3175247769286653,12.314714092289368
2024-03-19,54.425117769663956,13.526080090875778,10.343872479959701,0.0,3.292651878351558,0.0,2.909529304929644,1.9115742072334896,1.2665346995726874,12.324639569413181
2024-03-20,54.57897342988558,13.513892345281567,10.349803292492108,0.0,3.289553988085838,0.0,2.9111975266617383,1.9126702366254653,1.117687455967452,12.326221725000254
2024-03-21,54.600649703415435,13.47255620322095,10.343331309608036,0.0,3.257102704279702,0.0,2.909377084279188,1.9114741975622598,1.0621792429203902,12.443329554714031
2024-03-22,54.65859457588643,13.27493114968269,10.387146724626433,0.0,3.2682345583911663,0.0,2.91664341027754,1.9162482073432459,1.0778193729279606,12.500382000864532
2024-03-25,55.42483520600632,13.095798855225052,10.379880115849673,0.0,3.5292280704259706,0.0,2.912965427180827,1.9193077979552904,1.0770135624570647,11.660970964899807
2024-03-26,53.40830688197528,12.614394870660234,9.999076021491202,3.7077663861619086,3.366430939273114,0.0,2.8060981850725755,1.848894627510336,1.0375014322892993,11.211530655566056
2024-03-27,53.6304524113017,12.63365129854845,10.021563444250338,3.713426454423094,3.3759039803677013,0.0,2.8103818172168165,1.8517170463764503,1.0390852238004773,10.92381832371497
2024-03-28,53.65867343460257,12.6201278990995,10.011980980236272,3.7098757334636008,3.3664217043758224,0.0,2.807694573576732,1.8451354717803565,1.0380916665755986,10.941998536289548
2024-04-02,53.71579251271289,12.593742466670768,10.01357076192507,3.710464816934736,3.3669562514942153,0.0,2.8081404015731715,1.8454284570139663,1.0382565029976887,10.90764782867749
2024-04-03,53.82521258776647,12.577773214911216,10.016884292402333,3.709019218606846,3.366125472283083,0.0,2.80704634913789,1.8447094774727713,1.0378519979184857,10.81537738950091
2024-04-05,54.10655913397618,12.565497759654898,9.990030329512566,3.703699745690491,3.3803204691495505,0.0,2.803020485115864,1.8420637963571997,1.0363635112677785,10.572444769275476
2024-04-08,54.13055628786457,12.553667064773022,9.982202579571172,3.7034685056714096,3.374346200331964,0.0,2.802845478891016,1.8419487873400906,1.0362988060447378,10.574666289512013
2024-04-09,54.13338730998783,12.552437258832999,9.9802091336813,3.7035307597590736,3.3744029219819094,0.0,2.802892593801777,1.8419797498934656,1.0363162258868721,10.574844046174773
2024-04-10,54.21615168552263,12.560084388309257,9.995467845868028,3.7091930769691555,3.233406481338521,0.0,2.8071779279872904,1.8447959472778024,1.03982468914094,10.593897957586375
2024-04-11,54.229120495966775,12.533953491321585,9.998124931180659,3.7101790880892453,3.235228291535266,0.0,2.8064807418803137,1.8500977323358954,1.0401011047076578,10.596714122982599
2024-04-12,54.229462813070775,12.53425502694088,9.998365461097656,3.710268345732478,3.2338626728896336,0.0,2.8065482587981903,1.850142241066988,1.0401261269427375,10.596969053460661
2024-04-15,54.22706403725361,12.535702599893577,9.999520165815373,3.7106968422081756,3.234236149584336,0.0,2.8068723852294095,1.850355912789883,1.0402462504319694,10.595305656793666
2024-04-16,54.252209500753935,12.526440155085211,9.985372298232436,3.7108039817921643,3.2348107517519105,0.0,2.806953428535412,1.8504093384323324,1.0402762856397096,10.592724259776894
