date,FUTU SECURITIES INTERNATIONAL,ZHESHANG INTERNATIONAL FINANCIAL,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES (INTERNATIONAL),IFAST SECURITIES (HK) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,VALUABLE CAPITAL LTD,CHIEF SECURITIES LTD
2024-03-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,76.3600673022995,0.0,0.0,0.0,18.73247335950645,0.0,0.0,0.0,4.907459338194055,0.0
2024-03-05,66.48767390773736,0.0,0.0,12.936294849890166,16.304613131559677,0.0,0.0,0.0,4.27141811081279,0.0
2024-03-06,66.54518950437318,0.0,0.0,12.973760932944606,16.229348882410108,0.0,0.0,0.0,4.2517006802721085,0.0
2024-03-08,66.55331552101045,0.0,0.0,12.970609667233424,16.225406849647804,0.0,0.0,0.0,4.250667962108332,0.0
2024-03-11,66.56143759106362,0.0,0.0,12.967459932005829,16.22146673142302,0.0,0.0,0.0,4.249635745507528,0.0
2024-03-12,66.54925300619459,0.0,0.0,12.972185108708857,16.22737762662456,0.0,0.0,0.0,4.251184258472003,0.0
2024-03-13,66.2962068132399,0.0,0.0,13.21575259724571,16.139164049287267,0.0,0.0,0.0,4.348876540227108,0.0
2024-03-14,66.29227053140096,0.0,0.0,13.21256038647343,16.14734299516908,0.0,0.0,0.0,4.3478260869565215,0.0
2024-03-15,56.37906358617869,0.0,0.0,11.040686976078511,13.66796156205275,0.0,0.0,15.232058883663873,3.68022899202617,0.0
2024-03-18,56.419677485201056,0.0,0.0,11.022657685241887,13.676260461318638,0.0,0.0,15.207185139824453,3.6742192284139623,0.0
2024-03-19,56.348395011245145,0.0,0.0,11.040686976078511,13.698630136986301,0.0,0.0,15.232058883663873,3.68022899202617,0.0
2024-03-20,56.98186661202745,0.0,0.0,10.296076221698597,13.769081036779019,0.0,0.0,15.264829423214834,3.688146706280094,0.0
2024-03-22,57.003891050583654,0.0,0.0,10.290804833094409,13.762031537988943,0.0,0.0,15.257014130657382,3.686258447675609,0.0
2024-04-09,56.93789711006354,0.0,0.0,10.299241647878663,13.804058208649314,0.0,0.0,15.26952244312359,3.6892805902848944,0.0
2024-04-10,57.1121131379381,0.0,0.0,10.186513629842182,13.804058208649314,0.0,0.0,15.208034433285508,3.6892805902848944,0.0
2024-04-12,57.23508915761426,0.0,0.0,10.186513629842182,13.804058208649314,0.0,0.0,15.208034433285508,3.566304570608731,0.0
2024-04-16,57.73142915853282,0.0,0.0,10.38734203226138,13.058666392684682,0.0,0.0,15.247097503339155,3.5754649131819582,0.0
2024-04-18,57.75313205997124,0.0,0.0,10.382008626001232,13.051961388375435,0.0,0.0,15.239268843705073,3.5736290819470113,0.0
2024-04-24,57.722324912713084,0.0,0.0,10.382008626001232,13.082768535633601,0.0,0.0,15.239268843705073,3.5736290819470113,0.0
2024-04-26,57.68005753621699,0.0,0.0,10.38734203226138,13.110038015000514,0.0,0.0,15.247097503339155,3.5754649131819582,0.0
2024-04-29,57.669783211753824,0.0,0.0,10.38734203226138,13.12031233946368,0.0,0.0,15.247097503339155,3.5754649131819582,0.0
2024-05-02,57.68005753621699,0.0,0.0,10.377067707798213,13.12031233946368,0.0,0.0,15.247097503339155,3.5754649131819582,0.0
2024-05-03,57.675709001233045,0.0,0.0,10.378133990957664,13.121660501438553,0.0,0.0,15.248664200575421,3.5758323057953145,0.0
2024-05-07,57.60098674067222,0.0,0.0,10.381334155617227,13.156542296227771,0.0,0.0,15.253366224689074,3.6077705827937097,0.0
