date,LEGO SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-05,0.0,0.0,0.0,75.58071857531581,0.0,0.0,0.0,24.419281424684193,0.0
2024-03-12,0.0,59.79369218903601,0.0,30.325599012655335,0.0,0.0,0.0,9.880708798308651,0.0
2024-03-14,0.0,59.785362902839466,0.0,30.331881374976337,0.0,0.0,0.0,9.882755722184198,0.0
2024-03-15,0.0,59.63064623002376,0.0,30.448576392147302,0.0,0.0,0.0,9.920777377828948,0.0
2024-03-21,0.0,47.764515640717526,0.0,24.38949760346615,0.0,19.899382850108516,0.0,7.94660390570781,0.0
2024-04-19,0.0,47.76968793061117,0.0,24.392138676033795,0.0,19.890708971456096,0.0,7.947464421898938,0.0
2024-04-22,0.0,47.76650485042669,0.0,24.380518249252816,0.0,19.889383576120164,0.0,7.963593324200326,0.0
2024-04-29,0.0,47.76690271225101,0.0,24.36822736339366,0.0,19.951186103552846,0.0,7.913683820802484,0.0
2024-05-03,0.0,47.77241981321307,0.0,24.362545516849277,0.0,19.936541325270777,0.0,7.928493344666876,0.0
2024-05-17,44.61735225738098,24.273193592237384,0.0,12.37862318974719,0.0,10.129767950630233,0.0,4.036934239967522,4.564128770036687
2024-05-21,44.61942895805171,24.2743233804221,0.0,12.374544880237877,0.0,10.130239437503233,0.0,4.037122137805911,4.564341205979173
2024-05-22,44.61187824574418,24.270215563791865,0.0,12.38937327714648,0.0,10.128525150131452,0.0,4.03643895676741,4.563568806418611
2024-06-06,41.98591590513692,22.841612362692217,0.0,11.660104998633319,0.0,9.532335824418045,5.902166644469276,3.7829180828701245,4.294946181780103
2024-06-12,61.36723657725929,15.210696167484167,0.0,7.764702053383001,0.0,6.347777104757678,3.930373308738713,2.51912241007128,2.86009237830588
2024-06-25,61.3646333174829,15.21005091448416,0.0,7.763312141832506,0.0,6.347507825680959,3.930206578357626,2.5243181718456307,2.8599710503162155
2024-06-26,61.3581261342273,15.208438021466197,0.0,7.757186847224894,0.0,6.3468347279305934,3.929789814285958,2.5399566794927995,2.8596677753722615
2024-06-27,61.3646333174829,15.21005091448416,0.0,7.75800951635681,0.0,6.347507825680959,3.930206578357626,2.529620797321326,2.8599710503162155
2024-07-02,61.36235564635081,15.209486363015138,0.0,7.7561308337154395,0.0,6.3472722252291405,3.930060700877671,2.534829334042798,2.859864896769005
2024-07-03,61.36560951401593,15.210292877943685,0.0,7.756542118827629,0.0,6.347608802657401,3.930269100592803,2.5296610388565344,2.860016547106026
2024-07-05,61.36235564635081,15.209486363015138,0.0,7.7561308337154395,0.0,6.3472722252291405,3.930060700877671,2.534829334042798,2.859864896769005
2024-07-18,57.85792199192239,14.340865279034794,0.0,7.313174470070055,5.721047322130636,5.984776454563033,3.705613043367943,2.3800648023725124,2.696536636538634
2024-07-30,57.85792199192239,14.340865279034794,0.0,7.308174865663754,5.721047322130636,5.984776454563033,3.705613043367943,2.3850644067788136,2.696536636538634
2024-08-07,57.85821126009034,14.340936978046503,0.0,7.307711440889444,5.721075925247042,5.984806376227362,3.70563157005987,2.3850763312169487,2.6965501182224867
2024-08-08,57.91032669105598,14.353854489576579,0.0,7.3092896846182835,5.726229149498843,5.990197154074622,3.658928067217513,2.3521957446606216,2.6989790192975627
2024-08-12,57.937289798969246,14.360537659050626,0.0,7.312692897443989,5.728895287704516,5.997992658773394,3.6606316679043056,2.353290929428526,2.648669100725399
2024-08-13,57.931489162155984,14.359099893085178,0.0,7.311960756265617,5.7283217151224965,6.007404067318668,3.6602651682822787,2.353055319753912,2.648403918015867
2024-08-14,52.25163457087343,12.951271428221503,9.804433950220186,6.595064393451534,5.166692196107191,5.418412103415568,3.3013968874551263,2.1223515651164973,2.3887429051389577
2024-08-15,52.26402353043987,12.95434219872229,9.806758599712564,6.572917909804874,5.1679172284193,5.419696818985039,3.302179654786471,2.1228547786129157,2.3893092805166742
2024-08-16,52.26402323539471,12.954342125591372,9.806758544350643,6.5729184372271225,5.167917199244948,5.419696788389321,3.302179636144735,2.1228547666288016,2.389309267028349
2024-08-21,52.270740211609436,12.956007018620047,9.808018909699658,6.560212770481461,5.168581380353828,5.42039332823002,3.3026040325210504,2.1238260072486383,2.3896163412358584
2024-08-23,52.26365826707596,12.954251663277658,9.820238644963778,6.559323954620422,5.1678811108243705,5.419658941750228,3.3021565764781537,2.1235382589228795,2.389292582086545
2024-08-27,52.26365856211701,12.954251736407555,9.820238700401411,6.55932342712511,5.167881139998314,5.419658972345519,3.3021565951196297,2.1235382709107684,2.3892925955746818
2024-09-04,52.27605322483705,12.957323920511781,9.822567633160244,6.537163369786667,5.169106736243771,5.420944279323025,3.302939722791349,2.1240418816675577,2.389859231678552
2024-09-05,52.27605322483705,12.957323920511781,9.827084898506957,6.532646104439954,5.169106736243771,5.420944279323025,3.302939722791349,2.1240418816675577,2.389859231678552
2024-09-12,52.27369188346815,12.956738630247575,9.831158064357249,6.532351020810966,5.168873244523881,5.42069941194694,3.3027905269793996,2.123945937393745,2.3897512802720957
2024-09-16,52.2774701320625,12.957675120052544,9.831868642810752,6.525595346959578,5.169246841401522,5.421091210367821,3.3030292467486824,2.1240994523926533,2.389924007203946
2024-09-27,52.2656649182509,12.954749038799815,9.852230264499322,6.524121747565341,5.168079530434608,5.41986702831255,3.3022833620227123,2.1236197916873962,2.389384318427361
2024-10-03,52.20730753770155,12.940284375989902,9.841229728072504,6.5168372204064795,5.275092218953072,5.413815459980017,3.2974683566789036,2.1212486578173984,2.3867164444001734
2024-10-04,52.30877975521627,12.965435631874042,9.896518283435581,6.5295036066869745,5.063860527955825,5.406257595698977,3.3038774484730977,2.1344117884214158,2.3913553622378196
2024-10-07,52.29967837731486,12.963179732770788,9.894796355429856,6.527689620694972,5.062979450084756,5.409836249865176,3.3033025958892828,2.1475983355551094,2.390939282395198
2024-10-08,52.29991473667713,12.963238317622352,9.899360400514533,6.527719121460632,5.06300233134581,5.4048894386976905,3.303317524594758,2.1476080412548146,2.390950087832278
2024-10-09,52.25327518059678,12.951678075439519,9.890532436322163,6.521897889751652,5.144277935904421,5.398940689863001,3.3003717212657233,2.1502081633782577,2.3888179074784817
2024-10-14,52.20142009852897,12.938825094890516,9.880717274125969,6.515425691613981,5.23841081533132,5.393582891493721,3.2970964998395247,2.1480743407539435,2.386447293422057
