date,CS WEALTH SECURITIES LTD,FUTURE GROWTH FINANCIAL SERVICES LTD,HEAD & SHOULDERS SECURITIES LTD,UOB KAY HIAN (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,GET NICE SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,DBS BANK LTD,BOCI SECURITIES LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,56.25804534671449,43.74195465328551,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,56.170719180336135,43.82928081966387,0.0,0.0
2024-03-07,77.66383888181589,0.0,0.0,0.0,0.0,14.464340137624038,4.42165845736918,3.4501625231908917,0.0,0.0
2024-03-26,52.07872407401325,32.94340735169751,0.0,0.0,0.0,9.699293645351467,2.9650135000572666,2.313561428880511,0.0,0.0
2024-04-08,35.849652396671544,22.67739318347896,31.17949629465077,0.0,0.0,6.676743946048444,2.024118075877096,1.592596103273188,0.0,0.0
2024-04-09,35.85167453334533,22.67867232526574,31.181255006345655,0.0,0.0,6.677120554687361,2.0185916450544696,1.5926859353014406,0.0,0.0
2024-04-10,35.856124037114704,22.681486945204952,31.185124870542808,0.0,0.0,6.677949243262256,2.0064313024350966,1.592883601440186,0.0,0.0
2024-04-15,35.30973685615267,23.44692700115667,29.598848012835337,0.0,0.0,6.5761884991880555,1.9758566552145345,1.5686107274482657,0.0,1.5238322480044633
2024-04-16,35.30973685615267,24.28022790241893,28.765547111573085,0.0,0.0,6.5761884991880555,1.9758566552145345,1.5686107274482657,0.0,1.5238322480044633
2024-04-26,35.31248327573902,24.28211643797341,28.767784518844657,0.0,0.0,6.576700000391571,1.9760103389261923,1.5687327352457967,0.0,1.5161726928793504
2024-05-02,35.31366044349593,24.282925900290657,28.76874351422623,0.0,0.0,6.576919239552035,1.9760762106928458,1.5654514561244524,0.0,1.5162232356178496
2024-05-03,35.314052850189206,24.28319573305611,28.769063193561944,0.0,0.0,6.576992322520449,1.9749869652475094,1.5654688514785922,0.0,1.516240083946193
2024-05-07,35.31452374973284,24.28351954029051,28.769446818142963,0.0,0.0,6.577080024226518,1.9750133009520117,1.565489726413873,0.0,1.5149268402412772
2024-05-09,35.31727091405546,24.285408587952077,28.771684832123857,0.0,0.0,6.577591664131892,1.9751669398943212,1.564500203028744,0.0,1.5083768588136464
2024-05-14,35.37545403081748,24.325417363458104,28.81574507538616,0.0,0.0,6.588427857696743,1.9594976030113298,1.4368407422928808,0.0,1.4986173273372954
2024-05-16,33.4770512201454,23.020008232784303,27.280952564484757,0.0,5.3733932748257285,6.234863774757601,1.8364345238998905,1.355519934062892,0.0,1.4217764750394328
