date,HSBC BROKING SECURITIES (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,BOCI SECURITIES LTD,EAST ASIA SECURITIES CO LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,CELESTIAL SECURITIES LTD,VMS SECURITIES LTD,HING WONG SECURITIES LTD,WOCOM SECURITIES LTD
2024-04-05,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-05-16,0.0,0.0,68.2658175212099,31.734182478790103,0.0,0.0,0.0,0.0,0.0
2024-05-24,0.0,44.387327441252616,37.96444556762246,17.648226991124925,0.0,0.0,0.0,0.0,0.0
2024-05-29,0.0,44.7212039987115,37.49782100273176,17.780974998556736,0.0,0.0,0.0,0.0,0.0
2024-07-02,0.0,44.75486811447825,37.450772166803766,17.79435971871799,0.0,0.0,0.0,0.0,0.0
2024-07-04,0.0,44.48696578050897,37.82519141616065,17.68784280333038,0.0,0.0,0.0,0.0,0.0
2024-07-12,0.0,44.75907969283948,37.44488608143356,17.796034225726963,0.0,0.0,0.0,0.0,0.0
2024-07-18,0.0,44.86039590569355,37.303286940424,17.836317153882444,0.0,0.0,0.0,0.0,0.0
2024-07-22,0.0,44.193489581446016,38.23535259889176,17.57115781966223,0.0,0.0,0.0,0.0,0.0
2024-08-08,0.0,43.229498121630236,39.58262327557076,17.187878602799003,0.0,0.0,0.0,0.0,0.0
2024-08-09,0.0,43.19808882801032,39.62652078092563,17.17539039106405,0.0,0.0,0.0,0.0,0.0
2024-09-05,35.47973393612892,27.871521846339633,25.567136639708377,11.081607577823073,0.0,0.0,0.0,0.0,0.0
2024-10-03,35.57034444447318,27.954244274245667,25.360913591142246,11.114497690138911,0.0,0.0,0.0,0.0,0.0
2024-10-04,35.486918814302726,27.888681219376792,26.286488391941404,10.337911574379081,0.0,0.0,0.0,0.0,0.0
2024-10-07,35.97630987709831,28.27328692192702,25.269924119989945,10.480479080984725,0.0,0.0,0.0,0.0,0.0
2024-10-08,35.98572189299435,28.280683695716547,25.488207136009233,10.245387275279876,0.0,0.0,0.0,0.0,0.0
2024-10-09,35.10081730721272,27.585249357458867,27.320484598615653,9.993448736712756,0.0,0.0,0.0,0.0,0.0
2024-10-10,35.08453911648583,27.572456551343862,27.58606776995603,9.756936562214284,0.0,0.0,0.0,0.0,0.0
2024-10-14,34.99224328248374,27.499922525331904,27.776564907351858,9.731269284832496,0.0,0.0,0.0,0.0,0.0
2024-10-29,34.98213048789849,27.491975019212788,27.797437554967996,9.728456937920727,0.0,0.0,0.0,0.0,0.0
2024-10-30,35.00236192566574,27.507874627782726,27.75568018832482,9.73408325822672,0.0,0.0,0.0,0.0,0.0
2024-11-04,34.52905911088307,27.70818274475043,27.957792787313696,9.804965357052813,0.0,0.0,0.0,0.0,0.0
2024-11-08,35.45159491355965,28.448480663875635,20.7618320314827,11.454551022424656,2.5910212858499375,1.2925200828074135,0.0,0.0,0.0
2024-11-11,33.16390340810894,29.654580418717153,21.193151112307067,11.940177349650945,2.7008700392710994,1.3473176719447935,0.0,0.0,0.0
2024-11-12,33.41389394844339,29.878117572683582,20.599102622506198,12.030182779669126,2.7212292820351878,1.357473794662521,0.0,0.0,0.0
