date,MORGAN STANLEY HONG KONG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,SDICS INTERNATIONAL SECURITIES (HONG,SINOLINK SECURITIES (HONG KONG) CO LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CMB INTERNATIONAL SECURITIES LTD,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,10.18440625,0.0,0.0,3.7283333333333335,2.4678125,0.0,1.1263753385416666,2.2328354166666666,1.8732812500000002,21.613044088541667
2024-03-04,0.0,10.198885416666666,0.0,0.0,3.7283333333333335,2.4678125,0.0,1.1240315885416665,2.2335125000000002,1.8726041666666666,21.625179505208333
2024-03-05,37.66192708333334,10.212687500000001,0.0,0.0,3.7283333333333335,2.4678125,0.0,1.1243440885416667,2.2346583333333334,1.8726041666666666,59.30236700520833
2024-03-06,37.66713541666667,10.2145625,0.0,0.0,3.7283333333333335,2.4678125,0.0,1.1244482552083335,2.23648125,1.8726041666666666,59.311377421875
2024-03-07,37.66807291666667,10.220604166666666,0.0,0.0,3.7244270833333335,2.4678125,0.0,1.1241357552083333,2.24366875,1.8830208333333334,59.33174200520833
2024-03-08,37.64848958333333,10.228,0.0,0.0,3.720989583333333,2.4678125,0.0,1.1237711718749999,2.2493979166666667,1.8830208333333334,59.32148158854167
2024-03-11,37.64963541666667,10.24096875,0.0,0.0,3.719583333333333,2.4678125,0.0,1.121739921875,2.2477312499999997,1.8830208333333334,59.330492005208335
2024-03-12,37.55838541666667,10.241489583333333,0.0,0.0,3.7182812500000004,2.4678125,0.0,1.2116357552083334,2.2477312499999997,1.8830208333333334,59.328356588541666
2024-03-13,37.55875,10.242166666666666,0.0,0.0,3.7182812500000004,2.4678125,0.0,1.2170003385416666,2.249033333333333,1.8830208333333334,59.336064921875
2024-03-14,37.565729166666664,10.235864583333333,0.0,0.0,3.7148958333333337,2.4678125,0.0,1.2255940885416667,2.2560645833333335,1.8882291666666666,59.354189921875
2024-03-15,37.56864583333333,10.24503125,0.0,0.0,3.699375,2.4678125,0.0,1.227989921875,2.2560645833333335,1.8908333333333331,59.355752421874996
2024-03-18,37.57083333333333,10.24596875,0.0,0.0,3.699322916666667,2.4678125,0.0,1.2168440885416667,2.25616875,1.8882291666666666,59.345179505208336
2024-03-19,37.574635416666666,10.244718749999999,0.0,0.0,3.699322916666667,2.4678125,0.0,1.2074690885416666,2.25945,1.885625,59.339033671874994
2024-03-20,37.58026041666667,10.236697916666666,0.0,0.0,3.6974479166666665,2.4678125,0.0,1.2108545052083333,2.263720833333333,1.890625,59.34741908854166
2024-03-21,37.58026041666667,10.23784375,0.0,0.0,3.6953125000000004,2.4678125,0.0,1.211739921875,2.271533333333333,1.88828125,59.352783671874995
2024-03-22,37.58578125,10.243729166666666,0.0,0.0,3.689114583333333,2.4678125,0.0,1.244239921875,2.2843458333333335,1.87078125,59.38580450520833
2024-03-25,37.5903125,10.184770833333333,0.0,0.0,3.6833854166666664,2.4678125,0.0,1.242521171875,2.28898125,1.8720833333333333,59.329867005208335
2024-03-26,37.59130208333333,10.17815625,0.0,0.0,3.6833854166666664,2.4678125,0.0,1.2437190885416667,2.29210625,1.8720833333333333,59.32856492187501
2024-03-27,37.59411458333333,10.17815625,0.0,0.0,3.680260416666667,2.4678125,0.0,1.2437190885416667,2.28835625,1.8720833333333333,59.324502421875
