date,DBS VICKERS (HONG KONG) LTD,BOCI SECURITIES LTD,HANG SENG BANK LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,NANYANG COMMERCIAL BANK LTD,CMB WING LUNG BANK LTD,CGS INTERNATIONAL SECURITIES HK LTD
2024-03-13,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-21,0.0,0.0,0.0,10.067075759012972,89.93292424098703,0.0,0.0,0.0,0.0,0.0
2024-03-22,0.0,0.0,0.0,10.119029878812908,89.88097012118709,0.0,0.0,0.0,0.0,0.0
2024-03-26,0.0,0.0,0.0,10.054873925801704,89.94512607419828,0.0,0.0,0.0,0.0,0.0
2024-03-27,0.0,0.0,0.0,10.10737470242769,89.89262529757231,0.0,0.0,0.0,0.0,0.0
2024-04-09,0.0,0.0,0.0,10.805954815488612,89.19404518451138,0.0,0.0,0.0,0.0,0.0
2024-04-12,0.0,0.0,0.0,10.7805320252799,89.2194679747201,0.0,0.0,0.0,0.0,0.0
2024-04-22,0.0,0.0,0.0,10.442526093753811,84.39368703279929,0.0,5.163786873446902,0.0,0.0,0.0
2024-04-23,0.0,0.0,0.0,10.302269571371452,78.64537431979154,0.0,4.812065521109718,0.0,0.0,6.240290587727292
2024-05-06,0.0,0.0,0.0,10.160702646209199,77.56468197879262,0.0,4.745941322477229,1.3741333808197786,0.0,6.154540671701176
2024-05-14,0.0,0.0,3.1465851140691647,9.84098748925875,75.12404324187284,0.0,4.596606239301703,1.3308951044114483,0.0,5.960882811086094
2024-05-21,0.0,0.0,3.0462268408238753,12.822160613799289,72.62240062403083,0.0,4.450000491088435,1.288447075927447,0.0,5.770764354330128
2024-05-24,0.0,0.0,3.0597989999324264,12.879288468374565,72.9459624687711,0.0,4.469827023337704,1.294187623047275,0.0,5.350935416536939
2024-05-27,0.0,0.0,3.1257846565847,11.73740591300405,73.78216150544829,0.0,4.56622043717421,1.322097240685527,0.0,5.466330247103225
2024-05-29,0.0,0.0,3.13597991163721,11.449523106868485,74.02281402554077,0.0,4.581113907805626,1.3264094758692957,0.0,5.484159572278608
2024-05-31,0.0,0.0,3.146241891287984,11.486989792384467,73.93780794726041,0.0,4.596104851314328,1.330749933217078,0.0,5.502105584535726
2024-06-04,0.0,0.0,3.13597991163721,10.905912665938446,73.69664776098274,0.0,5.450890613293689,1.3264094758692957,0.0,5.484159572278608
2024-06-05,0.0,0.0,3.1366619605137718,10.886535462038333,73.71267615313705,0.0,5.45207613549849,1.326697958614201,0.0,5.4853523301981575
2024-06-18,0.0,0.0,3.1356389984175044,10.915598108136932,73.68863617858183,0.0,5.450298045508945,1.3262652815383982,0.0,5.483563387816384
2024-06-19,0.0,0.0,3.1356389984175044,10.882985027443363,73.7212492592754,0.0,5.450298045508945,1.3262652815383982,0.0,5.483563387816384
2024-06-27,0.0,0.0,3.13461670334261,10.944641803967349,73.66461187926706,0.0,5.44852111492113,1.325832886589233,0.0,5.48177561191263
2024-07-16,0.0,0.0,3.2912802411475526,7.178423241249221,77.34626096118757,0.0,5.606723960928655,1.3920960664956366,0.0,5.185215528991371
2024-07-17,0.0,0.0,3.191780247412765,6.961409491219561,75.00797557763597,3.0231395215405885,5.437224873002136,1.350011060131595,0.0,5.028459229057373
2024-07-18,0.0,0.0,3.1921688055695396,6.950083240527219,75.01710683307172,3.0235075498599304,5.437886785136073,1.3501754065992368,0.0,5.029071379236273
2024-07-22,0.0,0.0,3.2101095971303555,6.989144456378668,75.43872184128789,3.0405004227430767,5.468449076570417,1.357763731971652,0.0,4.495310873917949
