date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,CITIC SECURITIES BROKERAGE (HK) LTD,BOCI SECURITIES LTD,SPDB INTERNATIONAL SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,41.669013802997476,18.450025419191643,12.537723928359704,6.547056662993459,12.99812673819695,0.0,0.0,0.0,7.798053448260772
2024-03-04,41.818928713244304,18.562637515149763,12.620225156244588,6.134545301996194,13.061825420652125,0.0,0.0,0.0,7.801837892713026
2024-03-05,41.605586054716014,18.47398666982375,12.608316600741876,6.5260304017528465,13.01325407850176,0.0,0.0,0.0,7.772826194463753
2024-03-06,41.66455990953731,18.384066619608504,12.588917784486306,6.57178707069048,13.01612663882698,0.0,0.0,0.0,7.774541976850416
2024-03-07,38.60580748274006,16.776496906469866,11.55568170148367,5.96119304264518,11.954950038684517,8.005097125680955,0.0,0.0,7.140773702295751
2024-03-08,38.66381643401232,16.692419788848227,11.551527153216078,5.976739925817311,11.961423969218297,8.009432103455024,0.0,0.0,7.144640625432737
2024-03-11,38.63726882687896,16.711259798106905,11.566126184383027,5.965447412608226,11.964465459526178,8.012202145773406,0.0,0.0,7.143230172723301
2024-03-12,38.69338105265102,16.624600766699725,11.586401348078128,5.932108385230453,11.979817286394391,8.022482750501728,0.0,0.0,7.161208410444554
2024-03-13,38.6242268858363,16.907635427079445,11.549066368358798,5.59383432911352,11.929041335775176,7.988479795511287,0.0,0.2768599278837366,7.130855930441742
2024-03-14,38.43687075404085,16.902041508460655,11.631963686471407,5.713400233869724,11.924888287533065,7.982043546422799,0.0,0.27676354020224203,7.13202844299926
2024-03-15,38.33064561976203,16.954401447800326,11.6653781218177,5.742067136300792,11.928707693081336,7.969097551501146,0.0,0.2768521844038076,7.132850245332863
2024-03-18,38.33025206830069,16.950184527975384,11.67257110733287,5.7475664699686675,11.923580834108527,7.96932719081733,0.0,0.2767331956464105,7.129784605850123
2024-03-19,38.45063490946193,16.766659513650513,11.714255078586794,5.699351660472957,11.944992864479758,7.998283299555288,0.0,0.2772301453188578,7.148592528473893
2024-03-20,38.43813384393659,16.78603829820862,11.713992069501849,5.684559609524966,11.94606880921883,7.999003744593254,0.0,0.2772551168127509,7.154948508203139
2024-03-21,38.652759502191216,16.72502684027978,11.646629180474646,5.621238108121254,11.934148027080315,7.991021672625707,0.0,0.27697844857175075,7.15219822065533
2024-03-22,38.60240660577047,16.70913571053494,11.698240323070754,5.6160258884229926,11.943444893839123,7.997246789289971,0.0,0.27719421862300114,7.156305570448746
2024-03-25,38.56513264639112,16.71363774704361,11.733935549038831,5.6071538062612,11.943261262929337,7.997123831322921,0.0,0.27718995675157243,7.162565200261412
