date,HAITONG INTERNATIONAL SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,CHINA MERCHANTS BANK CO LTD,FUTU SECURITIES INTERNATIONAL,DBS BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,KINGSWAY FINANCIAL SERVICES GROUP LTD
2024-03-20,0.0,0.0,75.11380880121396,0.0,0.0,24.88619119878604,0.0,0.0,0.0
2024-03-22,0.0,0.0,56.74436377531524,24.45548337791364,0.0,18.800152846771113,0.0,0.0,0.0
2024-04-03,0.0,0.0,44.87760652765186,20.942883046237533,19.31097008159565,14.86854034451496,0.0,0.0,0.0
2024-04-11,46.53193209377526,0.0,23.751010509296684,11.447049312853679,10.331447049312855,7.93856103476152,0.0,0.0,0.0
2024-04-12,46.52440995796961,0.0,23.747171031361137,11.445198836081474,10.345942450695118,7.93727772389266,0.0,0.0,0.0
2024-04-15,46.52440995796961,0.0,23.731005496281927,11.445198836081474,10.345942450695118,7.953443258971872,0.0,0.0,0.0
2024-04-16,46.381950040290086,0.0,23.658340048348105,11.732473811442386,10.314262691377921,7.912973408541498,0.0,0.0,0.0
2024-04-24,46.35206957642132,0.0,23.643098727653406,11.724915445321308,10.307617973908842,7.97229827669512,0.0,0.0,0.0
2024-04-26,46.26265873653753,0.0,23.59749236457161,11.702298665809355,10.319884262980228,8.117665970101271,0.0,0.0,0.0
2024-05-20,30.708493384549723,33.51472471190781,15.663679043960736,7.76781903542467,6.850192061459667,5.495091762697397,0.0,0.0,0.0
2024-06-06,30.817677198975236,33.39026473099915,15.670367207514946,7.771135781383433,6.853116994022203,5.497438087105038,0.0,0.0,0.0
2024-06-07,30.849701110162254,33.358240819812124,15.670367207514946,7.771135781383433,6.853116994022203,5.497438087105038,0.0,0.0,0.0
2024-06-14,30.783979548359607,29.92117596932254,15.636983383042184,7.754580315296122,6.83851725607158,5.485726459309757,3.5790370685982107,0.0,0.0
2024-07-02,30.816805288974198,29.953081680528896,15.653657496267861,7.762849221582427,6.739176796758371,5.491576029004052,3.5828534868841975,0.0,0.0
2024-07-18,30.806950218526808,29.943502824858758,15.648651529687665,7.7603666986462,6.7370216394840625,5.521799381729027,3.5817077070674768,0.0,0.0
2024-07-19,31.012860027633117,29.85439472845148,15.602083111914125,7.737272823892018,6.716973110851312,5.505367201615474,3.57104899564247,0.0,0.0
2024-08-12,31.006269259377323,29.84805015407502,15.620019126554032,7.735628519817235,6.715545638083094,5.504197216023802,3.5702900860694933,0.0,0.0
2024-08-22,31.00297492562686,29.844878878028048,15.618359541011475,7.734806629834254,6.71483212919677,5.514237144071398,3.5699107522311944,0.0,0.0
2024-09-23,30.993096123207646,29.835369091874668,15.613382899628252,7.732342007434944,6.712692511949017,5.544344131704727,3.5687732342007434,0.0,0.0
2024-09-27,30.993096123207646,29.835369091874668,15.592140201805629,7.732342007434944,6.712692511949017,5.56558682952735,3.5687732342007434,0.0,0.0
2024-10-04,31.15413096371522,29.715434253676083,15.529461546598963,7.701258859621284,6.696286893049826,5.649000317359568,3.5544271659790545,0.0,0.0
2024-10-15,31.16072373293831,29.721722569040317,15.511586075547562,7.702888583218708,6.697703946672309,5.650195746481853,3.5551793461009416,0.0,0.0
2024-10-16,31.204398857988792,29.70286560219943,15.501744739346515,7.6980014803849,6.693454583906101,5.646610975996616,3.552923760177646,0.0,0.0
2024-11-01,30.238753970693715,28.783686853161182,15.022030945793627,7.459780715237217,6.4863203197048875,5.471872118044882,3.442975714724869,0.0,3.0945793626396148
2024-11-04,30.173824130879346,28.670756646216766,15.092024539877299,7.443762781186095,6.47239263803681,5.623721881390593,3.4355828220858897,0.0,3.087934560327198
2024-11-05,30.17073918822206,28.66782537572845,15.090481545854207,7.443001738063593,6.471730906860238,5.63337082097945,3.435231571413966,0.0,3.087618852878029
2024-11-12,30.179995909183884,28.676620985886686,15.064430353855593,7.445285334424217,6.463489466148496,5.645326242585396,3.4362855389650235,0.0,3.0885661689507056
2024-11-14,30.192347043175772,28.698588090853285,15.07059545733579,7.4483323102107635,6.404747288725189,5.657867812563945,3.437691835481891,0.0,3.089830161653366
2024-11-18,30.189258312020463,28.705882352941174,15.069053708439897,7.447570332480819,6.404092071611253,5.657289002557545,3.437340153452685,0.0,3.0895140664961636
2024-11-27,30.192347043175772,28.708819316554123,15.07059545733579,7.4483323102107635,6.404747288725189,5.647636586863106,3.437691835481891,0.0,3.089830161653366
2025-01-03,30.192347043175772,28.708819316554123,14.968283200327399,7.4483323102107635,6.404747288725189,5.749948843871495,3.437691835481891,0.0,3.089830161653366
2025-01-06,30.299621638204314,28.69414050516413,14.960629921259844,7.44452397995705,6.401472543204827,5.675426935269455,3.4359341445955622,0.0,3.0882503323448205
2025-01-14,30.293426030058274,28.688273182701156,14.957570800531645,7.443001738063593,6.400163582455781,5.6947142418975565,3.435231571413966,0.0,3.087618852878029
2025-01-16,30.489052588500105,28.708819316554123,14.702271332105587,7.4483323102107635,6.404747288725189,5.719255166768979,3.437691835481891,0.0,3.089830161653366
2025-02-11,30.476580077725508,28.69707506647576,14.6962569032522,7.445285334424217,6.402127224381264,5.757823685825322,3.4362855389650235,0.0,3.0885661689507056
2025-02-13,30.46100378207094,28.682408259225184,14.688745783501995,7.441480118573035,6.398855156904835,5.8059899826229175,3.434529285495247,0.0,3.086987631605847
2025-03-05,29.72866304884065,27.686235816477556,14.17858904785397,7.183029107054761,6.176615688209177,5.60434139121855,3.315244203256043,3.147508633448446,2.979773063640849
2025-03-10,29.72866304884065,27.676369018253578,14.17858904785397,7.183029107054761,6.176615688209177,5.614208189442526,3.315244203256043,3.147508633448446,2.979773063640849
2025-03-11,29.74945748668376,27.668179128033145,14.174393371473665,7.180903531268496,6.174787926612744,5.612546853422766,3.314263168277767,3.1465772341684755,2.9788913000591832
2025-03-14,29.746523325771772,27.66545024164119,14.172995364434362,7.180195285531117,6.174178913107801,5.621856198836177,3.313936285629746,3.146266890225861,2.9785974948219747
2025-03-20,29.788072942336125,27.649088220798422,14.164613109906357,7.1759487432232625,6.170527353376047,5.618531296205028,3.3119763430261213,3.144406111384919,2.976835879743716
2025-03-26,29.799822502711766,27.65999408342373,14.209644019327483,7.178779213095356,6.172961246425402,5.541859777142294,3.313282713736318,3.1456463859579924,2.9780100581796667
2025-03-27,29.968266560888534,27.83617612058707,14.438714795715985,7.219357397857992,6.207854026180088,4.888932963109878,3.332011106703689,3.113843712812376,2.994843316144387
2025-03-28,29.92657273268506,27.852748561222462,14.447310974399683,7.223655487199841,6.211549910696567,4.891843619765827,3.333994840246081,3.115697559039492,2.996626314744989
2025-04-01,29.929542522576163,27.855512553339288,14.448744666071251,7.2243723330356255,6.212166319341074,4.882405477820781,3.334325692170289,3.1160067480400913,2.996923687605438
