date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG BANK LTD,BOCI SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,9.131658296124373,0.8583841326475087,0.047668775975231725,0.10901827689402772,1.191959325094491,0.9718029002241647,1.2494497500203001,0.0,0.5078353502675772,0.4306435698641338,14.49842037711181
2024-03-04,9.046410278819788,0.8885672320542474,0.045744924030043,0.11017258806114096,1.1983721649117867,0.9787715194922929,1.2504330521256188,0.0,0.5078353502675772,0.43603035531066225,14.462337465073158
2024-03-05,9.016398444988436,0.8799740266990711,0.05660399945399714,0.12278450636848927,1.200402897520597,0.9779164741833201,1.2463288346425496,0.0,0.5082628729220636,0.442443195127958,14.451115251906483
2024-03-06,9.003059353398072,0.8735184346163266,0.05292730462541425,0.1176969867801013,1.202155740403991,0.9685109757846196,1.248765713773122,0.0,0.5082628729220636,0.4488560349452537,14.423753417248966
2024-03-07,8.98082817536478,0.8637709180940373,0.05698876984303489,0.11590139163125848,1.2024977585275802,0.9729144591258294,1.2496207590820947,0.0,0.5082628729220636,0.45526887476254946,14.406053979353228
2024-03-08,8.998185595136928,0.8629158727850644,0.049891893778560924,0.11602964842760441,1.2018564745458509,0.980994637295622,1.2467136050315872,0.0,0.5082628729220636,0.45526887476254946,14.42011947468583
2024-03-11,9.00883090923364,0.8626593591923726,0.04950712338952318,0.115131850853183,1.1992913386189326,0.9753940905218503,1.2488512183040192,0.0,0.5082628729220636,0.45526887476254946,14.423197637798133
2024-03-12,9.015523733637359,0.8620180752106429,0.050404920963944576,0.10871901103588724,1.1977950093282301,0.9646654522597801,1.2590647345196988,0.0,0.5082628729220636,0.45526887476254946,14.421722684640153
2024-03-13,9.017276576520752,0.8632151386432049,0.05326932274900335,0.1043155276946775,1.1971964776119493,0.9741137029239292,1.2578249188216883,0.7971035056283505,0.5077070934712313,0.45531111400081276,15.2273333780656
2024-03-14,9.020354739633053,0.8643053214121451,0.05207225931644148,0.10333222558935881,1.1957001483212468,0.9713775579352163,1.2573546439017533,0.7971035056283505,0.5077070934712313,0.45531111400081276,15.224618609209612
2024-03-15,9.023052407582863,0.8676827503825875,0.05489390883605161,0.10251993254583469,1.1968544594883601,0.9869821348239693,1.2573546439017533,0.7971462578937991,0.5079636070639232,0.45551427276622464,15.249964375285366
2024-03-18,9.086060268878411,0.8569925464071556,0.05527867922508935,0.10213516215679694,1.195571891524901,0.9999360712549067,1.2025034873311504,0.7971462578937991,0.5088186523728959,0.4616817145798452,15.266124731624952
2024-03-19,9.09602167498474,0.8578474634593319,0.055877210941370284,0.10333222558935881,1.1951443688704144,0.9975419443897829,1.2025889918620476,0.7971462578937991,0.5088186523728959,0.4616817145798452,15.276000504943587
2024-03-20,9.091350989984477,0.8621226900041958,0.05681776078124033,0.10482855488006117,1.1951871211358631,0.9927536906595356,1.2025889918620476,0.7971462578937991,0.5088186523728959,0.46809455439714104,15.279709263971256
