date,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,CITIBANK N.A.,SHANGHAI COMMERCIAL BANK LTD,HANG SENG BANK LTD,CHINA MERCHANTS BANK CO LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,13.364136736994547,3.412842076576757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.776978813571304
2024-03-04,5.8212562354621324,13.364136736994547,3.412842076576757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.598235049033434
2024-03-05,5.820639819965392,13.364136736994547,3.3996331730751965,0.0,0.0,0.0,0.0,0.0,0.0,0.597238546457845,23.18164827649298
2024-03-07,5.822753244525642,13.372942672662253,3.3996331730751965,0.0,2.049183498366592,0.0,1.8564466635171417,0.0,0.0,0.6003206239415425,27.10127987608837
2024-03-11,5.812626418507779,13.382717261253408,3.3996331730751965,2.576971479459723,2.049183498366592,0.0,1.8564466635171417,0.0,0.0,0.6003206239415425,29.67789911812138
2024-03-13,5.812005600043206,13.382717261253408,3.3996331730751965,2.576883420103046,2.049183498366592,0.0,1.8564466635171417,0.0,0.0,0.6003206239415425,29.677190240300135
2024-03-14,5.820723476354236,13.373559088158993,3.3996331730751965,2.576795360746369,2.049183498366592,0.0,1.8392750889651133,0.0,0.0,0.6003206239415425,29.659490309608046
2024-03-18,5.820723476354236,13.373559088158993,3.3996331730751965,2.576707301389692,2.049183498366592,0.0,1.8392750889651133,0.0,0.0,0.5998803271581572,29.658961953467976
2024-03-21,5.825654800328152,13.373559088158993,3.3996331730751965,2.576707301389692,2.049183498366592,0.0,1.8392750889651133,0.0,0.0,0.5998803271581572,29.663893277441893
2024-03-22,5.8275921061750475,13.373559088158993,3.3996331730751965,2.576619242033015,2.049183498366592,1.6200918278216223,1.8392750889651133,0.0,0.0,0.5998803271581572,31.28583435175374
