date,GET NICE SECURITIES LTD,FUTURE GROWTH FINANCIAL SERVICES LTD,CS WEALTH SECURITIES LTD,HEAD & SHOULDERS SECURITIES LTD,GREAT BAY SECURITIES LTD,CNCB (HONG KONG) CAPITAL LTD,MONMONKEY GROUP SECURITIES LTD,WINBULL SECURITIES INTERNATIONAL (HONG,ADVENT SECURITIES (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,82.37293622531564,0.0,0.0,0.0,0.0,0.0,17.627063774684366,0.0,0.0,0.0
2024-03-14,82.7060505002382,0.0,0.0,0.0,0.0,0.0,17.29394949976179,0.0,0.0,0.0
2024-03-20,82.97639518524308,0.0,0.0,0.0,0.0,0.0,17.02360481475692,0.0,0.0,0.0
2024-03-28,83.30266789328427,0.0,0.0,0.0,0.0,0.0,16.69733210671573,0.0,0.0,0.0
2024-04-03,83.41203351104342,0.0,0.0,0.0,0.0,0.0,16.58796648895659,0.0,0.0,0.0
2024-04-09,8.42948730085999,89.92096882301485,0.0,0.0,0.0,0.0,1.6495438761251622,0.0,0.0,0.0
2024-04-16,8.73362445414847,89.62231037202825,0.0,0.0,0.0,0.0,1.6440651738232819,0.0,0.0,0.0
2024-04-23,8.903116090631721,89.05309165900373,0.0,0.0,0.0,0.0,2.0437922503645507,0.0,0.0,0.0
2024-05-10,8.694377961217214,86.9651961870982,0.0,0.0,0.0,0.0,1.9958744913563455,0.0,0.0,2.3445513603282375
2024-06-04,8.658591800156408,86.60724642561806,0.0,0.0,0.0,0.0,2.3992606146327957,0.0,0.0,2.3349011595927394
2024-06-05,8.63506942760013,86.37196475816954,0.0,0.0,0.0,0.0,2.6644077663381562,0.0,0.0,2.32855804789217
2024-06-06,8.626442244962627,86.28567168073961,0.0,0.0,0.0,0.0,2.7616544576786146,0.0,0.0,2.3262316166191352
2024-08-29,8.626313611607127,86.2843850303263,0.0,0.0,0.0,0.0,2.7616132772163176,0.0,0.0,2.327688080850255
2024-09-20,8.603349878236944,86.05469113081628,0.0,0.0,0.0,0.0,2.754261706913539,0.0,0.2662056401390515,2.3214916438941873
2024-09-26,8.603349878236944,86.05469113081628,0.0,0.0,0.0,0.0,2.754261706913539,0.0,0.2662056401390515,2.3214916438941873
2024-11-07,8.602710188300462,86.0482926557243,0.0,0.0,0.0,0.0,2.7540569176719893,0.00743535884900645,0.2661858467944309,2.321319032659814
2024-11-11,8.598362818211882,86.00480824610491,0.0,0.0,0.008917921678352859,0.0,2.752665158051583,0.04904856923094073,0.2660513300708603,2.320145956651469
2024-11-12,8.596318517005033,85.98436019837659,0.0,0.0,0.008915801400523804,0.0,2.752010698961681,0.07281237810427772,0.26598807511562683,2.3195943310362765
2024-11-13,8.594785928916588,85.96903054231836,0.0,0.0,0.008914211853673212,0.0,2.7515200588337985,0.08171360865867111,0.2659406536345842,2.3280949957843204
2024-11-29,8.407422075114539,86.27490162880179,0.0,0.0,0.008719884606860368,0.0,2.6915377153175672,0.07993227556288672,0.26014322410466767,2.2773431964917
2024-12-02,8.407177709716212,86.27239401106667,0.0,0.0,0.008719631159601948,0.0,2.691459484597135,0.07992995229635119,0.26013566292812484,2.2801835482359096
2024-12-04,8.406566858363517,86.26612560442635,0.0,0.0,0.008718997605908574,0.0,2.691263927690447,0.08718997605908574,0.2601167619096058,2.2800178739450923
2024-12-05,8.40583395390232,86.25860471874603,0.0,0.0,0.0087182374629929,0.0,2.6910292969104748,0.09590061209292187,0.2600940843126215,2.279819096572643
2024-12-06,8.406444698744846,86.26487203240514,0.0,0.0,0.008718870906217644,0.0,2.6912248197191797,0.08864185421321272,0.2601129820354931,2.2799847419759143
2024-12-12,52.09162080177284,42.579695929377145,0.0,0.0,0.008718870906217644,0.0,2.6912248197191797,0.08864185421321272,0.2601129820354931,2.2799847419759143
2024-12-19,52.112824501277466,42.59702783542247,0.0,0.0,0.024713523021736995,0.0,2.692320272720995,0.03488967956009929,0.2602188600524072,2.278005327944816
2024-12-20,52.26249703861644,42.05747817688116,0.0,0.0,0.3163668835310626,0.0,2.7000528493065805,0.11954877626519417,0.26096623111548484,2.2830900442840742
2024-12-23,52.218341788147725,42.021944886506404,0.0,0.0,0.37873683980524186,0.0,2.6977716435357997,0.1354712542380288,0.26074574740437806,2.286987840362422
2024-12-27,52.2312761129061,42.0323535947022,0.0,0.0,0.3700884059607546,0.0,2.6984398733831396,0.11947735940465307,0.26081033333454756,2.287554320308601
2024-12-30,47.39084308042133,37.84756534873037,5.949056248326827,0.0,3.9091909614005402,0.0,2.4483671493113968,0.14277734995984387,0.23664023743344495,2.075559624416249
2025-01-02,47.34452643917257,37.81057566902745,5.943242038532019,0.0,4.01499017714163,0.0,2.4459742789691776,0.1307513248477044,0.23640896108827364,2.073531111221171
2025-01-03,47.333898914941585,37.634394404043135,5.941907946641667,0.0,4.205550402234158,0.0,2.4454252260400815,0.13204239881425925,0.23635589387752406,2.0704248134075853
2025-01-06,47.316405154350015,37.62048540645779,5.939711923971688,0.0,4.235674569783365,0.0,2.4445214407101257,0.13727334224290122,0.2362685409757627,2.069659621508357
2025-01-07,47.32327616080475,37.62594842921311,5.940574453549658,0.0,4.220448117332946,0.0,2.4448764195497708,0.13729327625981433,0.23630285048564198,2.071280292804314
2025-01-08,47.368925271465336,37.66224327654612,5.946304867050534,0.0,4.137306786385605,0.0,2.4472348030616864,0.13346150923824532,0.23653079360045456,2.0679926926520187
2025-01-09,47.72523789395205,37.94554150621237,5.991033419981428,0.0,4.224344231466905,0.0,2.4656430875123565,0.1371280982795749,0.23830999603926123,1.2727617665560544
2025-01-10,47.734770580813546,37.95312078671323,5.992230075002746,0.0,4.205213905968594,0.0,2.4661355775344633,0.13981870175006408,0.23835759631677592,1.2703527759005824
2025-01-13,47.82903097762819,37.783900439297256,6.004062749126909,0.0,4.272224205045414,0.0,2.471005380307341,0.12808667198137405,0.23882827379860372,1.2728613028149047
2025-01-14,47.82775470722637,37.782892213271964,6.0039025366488215,0.0,4.274778606093961,0.0,2.470939443971915,0.12674905355147512,0.23882190090225314,1.2741615383332499
2025-01-15,47.82711659756711,37.74236263754591,6.003822433616069,0.0,4.30674195904726,0.0,2.4709064771237688,0.13475245906560512,0.23881871458161694,1.2754787214526582
2025-01-16,47.85009927752657,37.76049922413362,6.006707490030534,0.0,4.262092670148332,0.0,2.4720938381192332,0.13348238866734521,0.2389334757145479,1.2760916356598202
2025-01-17,47.85073800060735,37.761003267025075,6.006787670067175,0.0,4.243461778476345,0.0,2.4721268366587577,0.15350679601282782,0.23893666509822767,1.2734389860542412
2025-01-20,47.84243593037339,37.7544517588493,6.005745496525009,0.0,4.252067811539707,0.0,2.471697924347626,0.1614878233510058,0.23889520975066145,1.273218045263302
2025-01-21,47.84754455571091,37.7584831871223,6.00638679128807,0.0,4.239174322029091,0.0,2.471961852770112,0.16417457229520724,0.23892071903123657,1.2733539997530707
2025-01-22,47.83988202676417,37.75243636751866,6.005424900493446,0.0,4.274527990284557,0.0,2.471565981269747,0.1441301976118427,0.23888245715296152,1.2731500789046104
2025-01-23,47.75448353954007,37.68504487702529,5.994704677534844,0.0,4.433417148185769,0.0,2.46715401395434,0.15586232161590594,0.23845603050638603,1.270877391637387
2025-01-24,47.417171239513095,37.41885774187254,5.952361268646598,0.0,5.111094209344546,0.0,2.4497273487852222,0.1521158990876353,0.23677170379727577,1.2619005889530788
2025-01-27,47.404003504306,37.408466535530685,5.950708299585104,0.0,5.136122452353009,0.0,2.4490470601848027,0.15339603616708267,0.23670595236127412,1.261550159512042
2025-02-03,47.403376651712954,37.407971860133756,5.950629609671757,0.0,5.142666344891881,0.0,2.4490146749137987,0.1481045591740526,0.23670282225138764,1.2615334772504123
2025-02-04,47.38207352333747,37.391160677406035,5.947955390334572,0.0,5.154894671623296,0.0,2.447914085088806,0.16257744733581164,0.2524576621230896,1.2609665427509293
2025-02-05,47.37393326879809,37.38473686471057,5.946933529802396,0.0,5.173832170928085,0.0,2.447493532709786,0.15990643491246445,0.25241428982050174,1.2607499083181082
