date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIC SECURITIES BROKERAGE (HK) LTD,CORE PACIFIC - YAMAICHI INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,BOCI SECURITIES LTD,UBS SECURITIES HONG KONG LTD
2024-03-01,86.62268482697054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.37731517302946
2024-03-04,28.061487853344303,22.007849821858088,12.887240854082266,8.1498741588983,6.586296991915573,0.0,6.1852340814253255,6.075734585850632,5.699217484071131,4.347064168554385
2024-03-05,28.084466415617072,21.997943908948432,12.882738993718156,8.167568862714813,6.591690278129285,0.0,6.161644196853552,6.081591475279302,5.681732042720545,4.35062382601884
2024-03-06,28.07553649218846,21.986432099040382,12.893846938523208,8.164971848284749,6.598408384599173,0.0,6.152193062081171,6.101692842273234,5.679925441472276,4.346992891537351
2024-03-07,28.082541329616824,21.982881057596884,12.885558751882073,8.167009006164896,6.600054685393212,0.0,6.153728032294111,6.103215212697388,5.676934459472924,4.348077464881691
2024-03-08,28.079075602193054,21.985677574465456,12.874492225300918,8.182309134872233,6.599240158308463,0.0,6.15296858735109,6.102462001651154,5.676233856660372,4.347540859197261
2024-03-11,28.06951834191959,21.9627730500947,12.894321536267524,8.216975784240631,6.596993978388098,0.0,6.15087430465187,6.100384909852086,5.662097005596112,4.346061088989384
2024-03-12,28.028030642961692,21.923711979984585,12.984680474758736,8.202631033163959,6.587243397816373,0.0,6.111448103127864,6.097087768856567,5.725221166299482,4.339945433030742
2024-03-13,28.058241912086185,22.082255598529642,12.963084837628363,8.170881098100995,6.525871031022436,0.0,6.043806702394505,6.101654627926853,5.709790730013899,4.344413462297119
2024-03-14,28.037920311623292,22.098597563554016,12.980514481371156,8.164642852370758,6.520888705786445,0.0,6.007289376773013,6.105246967476561,5.743935132989585,4.340964608055171
2024-03-15,28.125997839847006,22.157789131949933,13.099620334104303,8.212375134632696,6.541383507147409,0.0,6.049013707224198,5.698173372068113,5.760884448677151,4.354762524349196
2024-03-18,28.12532789859335,22.21051282743918,13.135962367685869,8.252585312481466,6.537062287063666,0.0,6.069280082397014,5.56012816672217,5.757078824140302,4.352062233476986
2024-03-19,28.100240340037008,22.166842587377957,13.199737689981102,8.24827722122124,6.533649749072226,0.0,6.072725287180206,5.557225616957,5.771489133502869,4.349812374670395
2024-03-20,28.09540773423126,22.167795537768544,13.200040592167777,8.24512648337952,6.533930630034673,0.0,6.078497878943271,5.557464521541692,5.771737249255141,4.3499993726781225
2024-03-21,28.12317216549214,22.041503252572088,13.287183281840264,8.247695734985609,6.535966658444805,0.0,6.080391990630892,5.559196274799392,5.773535771718982,4.3513548695158315
2024-03-22,28.11141809638043,22.03229101466976,13.323424870611914,8.244248613689658,6.5332349536654455,0.0,6.0778506931106975,5.556872810830427,5.771122724638789,4.349536222402879
2024-03-25,28.07336459210108,22.02837717395173,13.3598702415855,8.242784096182499,6.532074382530784,0.0,6.08889292918346,5.555885681754406,5.770097535969422,4.348653366741118
2024-03-26,28.073013217234333,22.006593963785267,13.380311382201663,8.251036782497874,6.560411837621406,0.0,6.081654839262085,5.5492811970598765,5.7550933626796885,4.34260341765781
2024-03-27,28.047528434938872,22.023289208466217,13.378181372037034,8.249044723654247,6.558827948618913,0.0,6.085688618724068,5.547941426680011,5.768009314751113,4.341488952129521
2024-03-28,28.05064604115249,22.03542193383992,13.357503567951712,8.251392341483363,6.559556991208675,0.0,6.08636506979518,5.548558104784276,5.768650454369586,4.341905495414801
2024-04-02,28.03372017068132,22.0643985711833,13.346259068675092,8.246756385097257,6.555871574388711,0.0,6.093944713733897,5.545440706857354,5.7742087622717255,4.339400047111346
2024-04-03,28.011687252561444,21.87130008107427,13.405224665731602,8.240547146342147,6.553295398517292,0.0,6.264983303954755,5.543261586906134,5.7719397463031985,4.337760818609156
2024-04-05,27.968842812996307,22.00766254187545,13.345995310937006,8.234394307323912,6.548402353078689,0.0,6.25424088535801,5.539122687440541,5.767300503191965,4.334038597798118
2024-04-08,27.96555525549112,22.005075682753503,13.352775463823448,8.233426407257875,6.547632630518238,0.0,6.2535057395852895,5.538471599210506,5.770050032671289,4.333507188688729
2024-04-09,27.965579832492715,22.00509502149987,13.352787198658705,8.233433643049622,6.547638384781871,0.0,6.253511235361042,5.538476466591971,5.770055103571099,4.333423113993105
