date,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,ABN AMRO CLEARING HONG KONG LTD,BNP PARIBAS,PHILLIP SECURITIES (HONG KONG) LTD
2024-05-10,0.0,0.0,0.0,100.0,0.0,0.0
2024-06-06,0.0,0.0,0.0,100.0,0.0,0.0
2024-06-11,0.0,0.0,0.0,30.87082129591416,69.12917870408585,0.0
2024-06-13,0.0,0.0,0.0,88.4485446985447,11.551455301455302,0.0
2024-08-30,0.0,0.0,0.0,30.438184663536777,69.56181533646323,0.0
2024-09-10,0.0,3.1298904538341157,0.0,27.30829420970266,69.56181533646323,0.0
2024-09-24,0.0,21.76642946839682,0.0,59.627459187944744,18.606111343658434,0.0
2024-09-25,0.0,42.695688572624526,0.0,38.69820008371704,18.606111343658434,0.0
2024-09-26,0.0,63.62494767685224,0.0,17.768940979489326,18.606111343658434,0.0
2024-10-28,0.0,56.526589810338415,0.0,26.943101524730384,16.5303086649312,0.0
2024-10-29,0.0,39.49077682514939,0.0,18.82307092751364,41.68615224733697,0.0
2024-10-30,0.0,39.49077682514939,32.29540140296181,18.82307092751364,9.390750844375162,0.0
2024-11-13,0.0,38.97116134060795,32.29540140296181,19.34268641205508,9.390750844375162,0.0
2024-12-09,0.0,29.45768403688102,24.411582761363302,14.62083051030528,31.5099026914504,0.0
2024-12-11,0.0,38.97116134060795,32.15770329955833,19.34268641205508,9.528448947778644,0.0
2025-03-10,98.0422614833791,0.7639458311475994,0.6303826350019608,0.3766252947557665,0.18678475571558806,0.0
