date,YUET SHEUNG INTERNATIONAL SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),THE HONGKONG AND SHANGHAI BANKING,SHANGHAI COMMERCIAL BANK LTD,FUTU SECURITIES INTERNATIONAL,CMB WING LUNG BANK LTD,CORE PACIFIC - YAMAICHI INTERNATIONAL,BOCI SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,0.0,3.7568733838304453,0.0,1.8607131274584514,0.0,0.0,0.0,5.617586511288897
2024-03-04,14.977119781086332,0.0,10.850477746186685,0.0,3.7568733838304453,0.0,1.8607131274584514,0.0,0.0,0.0,31.445184038561912
2024-03-05,14.977119781086332,0.0,10.850013496404385,0.0,3.7568733838304453,0.0,1.8613763414331657,0.0,0.0,0.0,31.44538300275433
2024-03-06,14.976456567111619,0.0,10.836086002935385,0.0,3.7568733838304453,0.0,1.8494384898883083,0.0,0.0,0.0,31.418854443765753
2024-03-07,14.976456567111619,13.356731522361255,10.83542278896067,0.0,3.76682159345116,0.0,1.8527545597618797,0.0,0.0,0.0,44.78818703164658
2024-03-08,14.96319228761733,13.356731522361255,10.789661024705383,0.0,3.76682159345116,0.0,1.8965266820930238,2.1889045628458246,0.0,0.0,46.96183767307397
2024-03-11,14.958549789794331,13.34678331274054,10.789661024705383,0.0,3.76682159345116,0.0,1.9038220358148812,2.1889045628458246,0.0,2.3522873255166936,49.30682964486881
2024-03-12,14.958549789794331,13.34678331274054,10.793971915541027,0.0,3.7595262397293028,0.0,1.901169179916024,2.1889045628458246,0.0,2.3522873255166936,49.30119232608374
2024-03-13,14.955233719920761,13.34678331274054,10.793971915541027,0.0,3.7595262397293028,0.0,1.923055241081596,2.1889045628458246,0.0,2.3522873255166936,49.31976231737574
2024-03-14,14.976456567111619,13.34678331274054,10.80392012516174,0.0,3.7595262397293028,0.0,1.9190759572333098,2.1889045628458246,0.0,2.3522873255166936,49.34695409033903
2024-03-15,14.965845143516187,13.34678331274054,10.80392012516174,0.0,3.7595262397293028,0.0,1.9283609528793104,2.1889045628458246,0.0,2.3522873255166936,49.3456276623896
2024-03-18,14.957223361844902,13.34678331274054,10.80392012516174,0.0,3.7595262397293028,0.0,1.934329878651739,2.190230990795253,0.0,2.3522873255166936,49.34430123444017
