date,FUTU SECURITIES INTERNATIONAL,FUTURE SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD,CMB WING LUNG BANK LTD,PHILLIP SECURITIES (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,KGI ASIA LTD
2024-03-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,99.3312729362998,0.0,0.0,0.0,0.0,0.0,0.0,0.668727063700202,0.0
2024-03-07,99.33133259621965,0.0,0.0,0.0,0.0,0.0,0.0,0.6686674037803401,0.0
2024-03-08,85.57704543364238,0.0,0.0,12.73152435344529,0.0,1.115273016364981,0.0,0.5761571965473405,0.0
2024-03-11,85.58065881570394,0.0,0.0,12.734634436398634,0.0,1.1078524744642146,0.0,0.5768542734332088,0.0
2024-03-12,85.58111293213892,0.0,0.0,12.734233377382331,0.0,1.1078175842421327,0.0,0.5768361062366074,0.0
2024-03-13,85.58415562198532,0.0,0.0,12.735616719638307,0.0,1.103397365401016,0.0,0.5768302929753685,0.0
2024-03-14,85.58411262042,0.0,0.0,12.741217904792615,0.0,1.0981397879801684,0.0,0.5765296868072071,0.0
2024-03-15,85.58423972943525,0.0,0.0,12.741105561818628,0.0,1.0981301053665788,0.0,0.5765246033795401,0.0
2024-03-18,85.58431236215186,0.0,0.0,12.741041366722971,0.0,1.09812457252119,0.0,0.5765216986039785,0.0
2024-03-19,85.58425788768302,0.0,0.0,12.741089512984068,0.0,1.0981287221500045,0.0,0.5765238771829055,0.0
2024-03-20,83.84729772254684,0.0,0.0,12.482615214695157,0.0,1.0758513454312106,2.0287905619280915,0.5654451553986931,0.0
2024-03-21,83.79562313853896,0.0,0.0,12.47498011358381,0.0,1.0751614037034982,2.0891528078386394,0.5650825363351031,0.0
2024-03-22,83.84674902542953,0.0,0.0,12.482646537266909,0.0,1.075822137650443,2.028735483249975,0.5660468164031408,0.0
2024-03-25,83.8471391656527,0.0,0.0,12.48226092665217,0.0,1.0758208100617257,2.028732979744755,0.5660461178886369,0.0
2024-03-26,83.84703569652463,0.0,0.0,12.482368925377518,0.0,1.0758194824762852,2.0287304762457135,0.5660454193758568,0.0
2024-03-27,83.84707556261962,0.0,0.0,12.48233811844351,0.0,1.0758168273152335,2.0287254692661665,0.5660440223554687,0.0
2024-04-02,83.84719896441216,0.0,0.0,12.482214716650974,0.0,1.0758168273152335,2.0287254692661665,0.5660440223554687,0.0
2024-04-03,83.84657815532962,0.0,0.0,12.482122297675003,0.0,1.0758088619107145,2.028710448475814,0.5667802366088451,0.0
2024-04-05,83.84755102897009,0.0,0.0,12.481398579999063,0.0,1.0757358511985113,2.0285727682614736,0.5667417715708606,0.0
2024-04-08,83.78103809641227,0.0,0.0,12.470965355689804,0.08063124152385649,1.07483664159783,2.026877080507952,0.5656515842682777,0.0
2024-04-09,83.78105809264198,0.0,0.0,12.470949980335371,0.08063114211423732,1.074835316440246,2.0268745815872498,0.5656508868809186,0.0
2024-04-10,83.47496664922353,0.0,0.0,12.425406044167975,0.08033667700970673,1.0709100155514117,2.0194724312531784,0.5635851286246705,0.36532305416952265
2024-04-11,83.474986948377,0.0,0.0,12.425390780947701,0.14175598071430764,1.0709087000583484,1.9580505481681665,0.5635844363234346,0.36532260541104933
2024-04-12,83.47502754653429,0.0,0.0,12.42536025461965,0.14175563245245842,1.0709060690819174,1.958045737688204,0.5635830517260653,0.3653217078974102
2024-04-15,83.47685425717329,0.0,0.0,12.4239867250822,0.1417399624401382,1.0707876885209053,1.9578292905509558,0.5635207518850555,0.3652813243474619
2024-04-16,83.47831533493238,0.0,0.0,12.422888120072853,0.14172742892443127,1.0706930029143777,1.9576561672924042,0.5634709219283282,0.3652490239352328
2024-04-17,83.4796341415491,0.0,0.0,12.421896490745471,0.14171611584862656,1.0706075372342516,1.957499901756592,0.5634259441191496,0.3652198687468071
2024-04-18,83.48186548855988,0.0,0.0,12.420218709403326,0.14169697475731016,1.0704629340851213,1.957235509212759,0.5633498441824428,0.36517053979916847
2024-04-19,83.48416261815575,0.0,0.0,12.418953047095323,0.1416825353561769,1.0703538502904246,1.9570360602924257,0.5626785611242276,0.36513332768567597
2024-04-22,83.48450732584092,0.0,0.0,12.418693846882926,0.14167957825157088,1.070331510569493,1.9569952143241247,0.5626668172677204,0.3651257068632338
