date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,THE BANK OF EAST ASIA LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,MORGAN STANLEY HONG KONG SECURITIES LTD,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD
2024-03-01,47.858794887802624,20.858291862981943,0.0,3.9256182980369716,0.0,5.777290080858778,2.172190118580077,5.721666159720207,6.598667173107868,7.08748141891153
2024-03-04,47.40931203847443,20.997947015529174,0.0,4.049055441615663,0.0,5.831473270688864,2.178187300478882,5.702924018133585,6.677148478482528,7.1539524365968665
2024-03-05,47.609924152314385,20.999866840475022,0.0,3.676625907517074,0.0,5.863353512230525,2.218962311167717,5.720713222491085,6.716824793790776,7.193729260013424
2024-03-06,47.65173373822136,21.12781656367693,0.0,3.4746264065395556,0.0,5.899890835511582,2.170350800825089,5.721088781172916,6.755300297562456,7.199192576490115
2024-03-07,42.20055967647621,18.475210839398507,11.235222162720907,3.580880134464817,0.0,5.23150897725795,1.9942305662882909,5.050454068548404,5.874913551349438,6.357020023495479
2024-03-08,42.35691530088057,18.72496808437349,11.276209370355971,3.0882057253955977,0.0,5.257852534625136,1.9674756428502076,5.048799940369128,5.904594107001099,6.3749792941488
2024-03-11,42.290836852186914,18.558670513564557,11.254222382624231,3.352670866453263,0.0,5.259595974865332,2.0058823142152296,5.019715669604205,5.895433055307739,6.362972371178528
2024-03-12,42.31931422912593,18.497692534605317,11.267653686321802,3.302039222217286,0.0,5.264460098066151,2.007569766316755,5.068235295192574,5.902468934740581,6.370566233413603
2024-03-13,42.329755607276844,18.729336382686633,11.3086430921323,3.026988933105258,0.0,5.286494507565261,1.9120163394251488,5.0964571001354795,5.9175123677618835,6.392795669911192
2024-03-14,42.370122541087575,18.77893095379771,11.3809110325738,2.9120309919043357,0.0,5.3181069477568474,1.8671598997469026,5.100027220176628,5.906708622681878,6.366001790274326
2024-03-15,42.445298131930706,18.452987995372556,11.413829056309302,2.9975008919693478,0.0,5.3363843063758765,1.8717797781801142,5.180416815206936,5.923563588866005,6.37823943578915
