date,SOOCHOW SECURITIES INTERNATIONAL,MIGHTY DIVINE SECURITIES LTD,YUET SHEUNG INTERNATIONAL SECURITIES LTD,SUNHIGH FINANCIAL HOLDINGS LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-28,7.3374999999999995,0.91,0.0,0.0,0.0,0.0,8.2475
2024-04-02,7.215000000000001,1.0325000000000002,0.0,0.0,0.0,0.0,8.2475
2024-04-03,7.215000000000001,1.0325000000000002,0.0,0.0,0.77125,0.2725,9.29125
2024-04-19,7.215000000000001,1.0325000000000002,0.0,0.0,0.77,0.27,9.2875
2024-04-22,7.215000000000001,1.0325000000000002,0.0,0.0,0.775,0.26749999999999996,9.29
2024-04-23,7.215000000000001,1.0325000000000002,0.0,0.0,0.77625,0.26749999999999996,9.29125
2024-06-18,7.215000000000001,1.0325000000000002,0.0,0.0,0.77625,0.27125,9.295
2024-07-12,7.215000000000001,1.12375,0.0,2.78,0.77625,0.27125,12.166250000000002
2024-07-15,7.215000000000001,1.24875,0.0,2.6550000000000002,0.77625,0.27125,12.166250000000002
2024-07-16,7.215000000000001,1.37375,0.0,2.53,0.77625,0.27125,12.166250000000002
2024-07-17,7.215000000000001,1.49875,0.0,2.405,0.77625,0.27125,12.166250000000002
2024-07-18,7.215000000000001,1.6237499999999998,0.0,2.2800000000000002,0.77625,0.27125,12.166250000000002
2024-08-07,7.215000000000001,1.755,3.8012499999999996,2.2800000000000002,0.77625,0.27125,16.09875
2024-08-08,7.215000000000001,1.8800000000000001,3.6762499999999996,2.2800000000000002,0.77625,0.27125,16.09875
2024-08-09,7.215000000000001,2.005,3.5512500000000005,2.2800000000000002,0.77625,0.27125,16.09875
2024-09-10,7.215000000000001,2.02125,3.535,2.2800000000000002,0.77625,0.27125,16.09875
2024-09-11,7.215000000000001,2.12125,3.435,2.2800000000000002,0.77625,0.27125,16.09875
2024-09-12,7.215000000000001,2.22125,3.335,2.2800000000000002,0.77625,0.27125,16.09875
2024-10-03,7.215000000000001,2.27125,3.2849999999999997,2.2800000000000002,0.77625,0.27125,16.09875
2024-10-04,7.215000000000001,2.33375,3.2224999999999997,2.2800000000000002,0.77625,0.27125,16.09875
2024-10-07,7.215000000000001,2.39625,3.16,2.2800000000000002,0.77625,0.27125,16.09875
2024-10-10,7.215000000000001,2.39625,3.16,2.2800000000000002,0.7775,0.27,16.09875
2024-10-14,7.215000000000001,2.39625,3.16,2.2800000000000002,0.77875,0.27,16.1
2024-10-15,7.215000000000001,2.39625,3.16,2.2800000000000002,0.77625,0.2725,16.1
2024-10-23,7.215000000000001,2.39625,3.16,1.8575000000000002,0.77625,0.2725,15.6775
2024-10-29,7.215000000000001,2.39625,3.16,2.2800000000000002,0.7775,0.27125,16.1
2024-10-31,7.215000000000001,2.39625,3.16,2.2800000000000002,0.7775,0.27,16.09875
2024-11-07,7.215000000000001,2.55125,3.005,2.2800000000000002,0.775,0.27375,16.1
2024-11-08,7.215000000000001,2.67625,2.88,2.2800000000000002,0.775,0.27375,16.1
2024-11-11,7.215000000000001,2.80125,2.7550000000000003,2.2800000000000002,0.77,0.27875,16.1
2024-11-20,7.215000000000001,2.9850000000000003,2.7550000000000003,2.09625,0.77,0.27875,16.1
2024-11-21,7.215000000000001,3.235,2.7550000000000003,1.84625,0.77,0.27875,16.1
2024-11-28,7.215000000000001,3.235,2.7550000000000003,1.84625,0.77,0.27999999999999997,16.10125
2024-11-29,7.215000000000001,3.235,2.7550000000000003,1.84625,0.77125,0.27999999999999997,16.1025
2024-12-04,7.215000000000001,3.235,2.7550000000000003,1.42375,0.77125,0.27999999999999997,15.68
2024-12-17,7.215000000000001,3.235,2.7550000000000003,1.84625,0.77125,0.27999999999999997,16.1025
2025-01-08,7.215000000000001,3.235,2.7550000000000003,1.84625,0.77,0.27999999999999997,16.10125
2025-01-22,7.215000000000001,3.3674999999999997,2.4975,1.84625,0.77,0.27999999999999997,15.97625
