date,HAITONG INTERNATIONAL SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE BANK OF EAST ASIA LTD,CITIBANK N.A.
2024-03-01,0.0,61.96550693159756,0.0,0.0,20.610670222660342,0.0,17.423822845742098
2024-03-04,0.0,61.96418441275101,0.0,0.0,20.610230332773867,0.0,17.425585254475116
2024-03-05,0.0,61.97613292738833,0.0,0.0,20.61420459050264,0.0,17.40966248210903
2024-03-06,0.0,61.97289173797045,0.0,0.0,20.614233187667,0.0,17.412875074362553
2024-03-07,0.0,61.972851009312066,0.0,0.0,20.614255266391876,0.0,17.41289372429605
2024-03-08,0.0,61.87512144583563,0.0,0.0,20.58164019018281,0.0,17.54323836398156
2024-03-11,0.0,38.632693995463626,37.56364902227473,0.0,12.850467018284656,0.0,10.95318996397698
2024-03-12,0.0,38.63274042435809,37.56369416638755,0.0,12.850482462016771,0.0,10.953082947237593
2024-03-13,0.0,38.646173377663196,37.54229507184315,0.0,12.854950691010213,0.0,10.956580859483436
2024-03-14,0.0,38.64623475822558,37.54235469914861,0.0,12.854971108144278,0.0,10.95643943448153
2024-03-15,0.0,38.647010420904174,37.543108206019035,0.0,12.855229118307113,0.0,10.954652254769679
2024-03-18,0.0,38.64692846362408,37.54315835730027,0.0,12.855246290732136,0.0,10.954666888343516
2024-03-19,0.0,38.64699299598125,37.54315425488415,0.0,12.855267756327935,0.0,10.954584992806666
2024-03-20,0.0,38.645449441071925,37.54165478712303,0.0,12.854754318926528,0.0,10.958141452878516
2024-03-21,0.0,38.64250450526959,37.53849630098189,0.0,12.85413017852551,0.0,10.964869015223007
2024-03-22,0.0,38.64262500181566,37.53854656896319,0.0,12.85417026076938,0.0,10.964658168451773
2024-03-25,0.0,38.63979421062083,37.538002471893165,0.0,12.85398394784531,0.0,10.968219369640703
2024-03-26,0.0,38.64056839414436,37.53675098879597,0.0,12.854241489138879,0.0,10.968439127920787
2024-03-27,0.0,38.63650656563829,37.53604905774557,0.0,12.854001116943817,0.0,10.973443259672319
2024-03-28,0.0,38.636296397769065,37.535844875945735,0.0,12.853931196077104,0.0,10.973927530208103
2024-04-02,0.0,38.64706798694918,37.51404149450458,0.0,12.857514802144522,0.0,10.981375716401711
2024-04-03,0.0,38.71223690780571,37.40506045855833,0.0,12.879195887106402,0.0,11.003506746529554
2024-04-05,0.0,38.7122167280615,37.404892339791004,0.0,12.879189173495941,0.0,11.003701758651555
2024-04-08,0.0,38.71198358748455,37.40526931276612,0.0,12.879111609826168,0.0,11.003635489923145
2024-04-09,0.0,38.71217787110366,37.40545703838549,0.0,12.879176246152769,0.0,11.003188844358073
2024-04-10,0.0,38.712204941442714,37.40548319497135,0.0,12.879185252199104,0.0,11.003126611386827
2024-04-11,0.0,38.70970219866025,37.406944517657095,0.0,12.879688404249965,0.0,11.003664879432687
2024-04-12,0.0,38.71058295422355,37.40511882737636,0.0,12.880382974368644,0.0,11.00391524403145
2024-04-16,0.0,38.71054193925064,37.40514385893987,0.0,12.8803915939409,0.0,11.00392260786859
2024-04-17,0.0,38.71054193925064,37.40516467110809,0.0,12.8803915939409,0.0,11.003901795700374
2024-04-18,0.0,38.70974281852713,37.40568578609583,0.0,12.880571038816132,0.0,11.004000356560907
2024-04-22,0.0,38.70959731873946,37.40586852271764,0.0,12.880633963796365,0.0,11.003900194746535
2024-04-23,0.0,38.70961027124879,37.405211824623294,0.0,12.880638273749012,0.0,11.004539630378906
2024-04-24,0.0,39.82097778843721,35.6089861048759,0.0,13.250033202182612,0.0,11.320002904504271
2024-04-25,0.0,39.821012055800054,35.609016747670616,0.0,13.25004460430583,0.0,11.319926592223503
2024-04-26,0.0,39.82005259193303,35.60815876935349,0.0,13.249725352273348,0.0,11.322063286440141
2024-04-29,0.0,39.81590944831015,35.61061024567212,0.0,13.250637541756097,0.0,11.322842764261631
2024-04-30,0.0,39.81574840564879,35.61046621210549,0.0,13.250652792789081,0.0,11.323132589456629
2024-05-02,0.0,39.81610379769918,35.610784068157656,0.0,13.250771067011053,0.0,11.322341067132113
2024-05-03,0.0,39.81860021845748,35.61301682053893,0.0,13.251601874066493,0.0,11.316781086937088
2024-05-07,0.0,39.81771609360628,35.612226075685406,0.0,13.251307637943906,0.0,11.318750192764403
2024-05-08,0.0,39.8108774465563,35.62331902058247,0.0,13.249031741062387,0.0,11.316771791798844
2024-05-09,0.0,39.812373090926364,35.62243992496094,0.0,13.248704787647789,0.0,11.316482196464904
2024-05-10,0.0,39.81245595174025,35.622390883247284,0.0,13.248686548044104,0.0,11.316466616968365
2024-05-13,0.0,39.81249738206164,35.622366362441085,0.0,13.248677428261093,0.0,11.31645882723618
2024-05-14,0.0,39.812118647435504,35.62202748835649,0.0,13.248551394145613,0.0,11.3173024700624
2024-05-16,0.0,39.8121986689124,35.622099087842926,0.0,13.248578023440544,0.0,11.317124219804121
2024-05-17,0.0,39.81220140937964,35.622101539885236,0.0,13.248578935404595,0.0,11.317118115330532
2024-05-20,0.0,39.81224283953972,35.62207701947738,0.0,13.248569815769736,0.0,11.317110325213163
2024-05-21,0.0,39.81555730089899,35.62504263983426,0.0,13.249672789869862,0.0,11.309727269396893
2024-05-22,0.0,39.81613186182744,35.62507483849813,0.0,13.249863990114585,0.0,11.30892930955985
2024-05-23,0.0,39.81615927188445,35.62509936336498,0.0,13.24987311153122,0.0,11.308868253219343
2024-05-24,0.0,39.80422586898088,35.644227756591796,0.0,13.245443934406131,0.0,11.306102440021192
2024-05-27,0.0,39.65141565048766,35.89115536026796,0.0,13.194731186455765,0.0,11.26269780278862
2024-05-28,0.0,39.65140205910185,35.89114305779322,0.0,13.194726663674441,0.0,11.262728219430485
2024-05-29,0.0,39.65132051098269,35.8910692431219,0.0,13.194699527051618,0.0,11.262910718843786
2024-05-30,0.0,39.65200008889166,35.89168437466033,0.0,13.19492566898582,0.0,11.2613898674622
2024-05-31,0.0,39.657129472337516,35.888881415716575,0.0,13.193895212055182,0.0,11.260093899890732
2024-06-03,0.0,39.65563253111332,35.8874615795035,0.0,13.193625241654662,0.0,11.263280647728516
2024-06-04,0.0,39.646142361902946,35.902859467525076,0.0,13.190467815381272,0.0,11.2605303551907
2024-06-05,0.0,39.646059638105136,35.90290867765023,0.0,13.190485894848521,0.0,11.260545789396115
2024-06-06,0.0,39.64895786820546,35.90477936304752,0.0,13.191450153683002,0.0,11.254812615064026
2024-06-07,0.0,39.64849532187018,35.905104519121224,0.0,13.19152429085498,0.0,11.254875868153617
2024-06-11,0.0,39.64716111488471,35.903795807642574,0.0,13.191080384378456,0.0,11.257962693094257
2024-06-12,0.0,39.647683374215006,35.90426875682295,0.0,13.19125414624724,0.0,11.256793722714807
2024-06-13,0.0,39.64776489356209,35.9039313606441,0.0,13.19128126870015,0.0,11.257022477093663
2024-06-17,0.0,39.647782556131475,35.90394735538379,0.0,13.191287145246314,0.0,11.256982943238418
2024-06-18,0.0,39.64806787674039,35.904000122993715,0.0,13.1913820747944,0.0,11.256549925471488
2024-06-19,0.0,39.64806814847627,35.904000369068875,0.0,13.191382165204146,0.0,11.256549317250709
2024-06-20,0.0,39.648058922268866,35.90404663125929,0.0,13.191399162258158,0.0,11.256495284213685
2024-06-21,0.0,39.648314355904304,35.904277943999624,0.0,13.191484148185243,0.0,11.255923551910826
2024-06-24,0.0,39.64850457457941,35.90397043525612,0.0,13.191547436289113,0.0,11.255977553875345
2024-06-25,0.0,39.648518161697474,35.90398273916243,0.0,13.191551956891201,0.0,11.255947142248896
2024-06-26,0.0,39.64843663912878,35.90390891585111,0.0,13.191524833325163,0.0,11.256129611694945
2024-06-27,0.0,39.64923408507428,35.9050655159409,0.0,13.191949782008114,0.0,11.253750616976706
2024-06-28,0.0,39.64950584249333,35.90531161068044,0.0,13.192040200153828,0.0,11.253142346672398
2024-07-02,0.0,39.64934276041917,35.90447852768532,0.0,13.193767983032417,0.0,11.252410728863095
2024-07-03,0.0,39.64912092638354,35.90427764578378,0.0,13.193694165243949,0.0,11.252907262588732
2024-07-04,0.0,39.64895546861107,35.90437608083381,0.0,13.193730337032674,0.0,11.25293811352244
2024-07-05,0.0,39.6489595720911,35.90437979676753,0.0,13.193731702521585,0.0,11.25292892861979
2024-07-10,0.0,39.64857052038637,35.904899083980744,0.0,13.193670662730527,0.0,11.252859732902355
2024-07-11,0.0,39.64879455607935,35.905039897672374,0.0,13.193722406351021,0.0,11.252443139897245
2024-07-12,0.0,39.64879183855604,35.90503743674553,0.0,13.193721502054975,0.0,11.252449222643456
2024-07-15,0.0,39.64879455607935,35.905039897672374,0.0,13.193722406351021,0.0,11.252443139897245
2024-07-16,0.0,39.64869672547475,35.904951304518384,0.0,13.193689851771381,0.0,11.252662118235488
2024-07-18,0.0,39.64867832203357,35.90474578309329,0.0,13.19386619099949,0.0,11.252709703873649
2024-07-19,0.0,39.80144721939167,35.65778266283306,0.0,13.244703002595529,0.0,11.296067115179746
2024-07-22,0.0,39.67950967451214,35.854904440112975,0.0,13.204125921116741,0.0,11.26145996425815
2024-07-24,0.0,39.679543097915094,35.85486604794083,0.0,13.204137043401893,0.0,11.261453810742184
2024-07-25,0.0,39.68626638394685,35.84822667123353,0.0,13.204091757341732,0.0,11.26141518747789
2024-07-26,0.0,39.68627495897199,35.84821280993793,0.0,13.204094610354353,0.0,11.261417620735722
2024-07-30,0.0,39.708637067122,35.86841227720133,0.0,13.211534749092616,0.0,11.211415906584058
2024-07-31,0.0,39.70808199733095,35.86846447484932,0.0,13.211806776534587,0.0,11.211646751285139
2024-08-05,0.0,39.71635699112079,35.86557882356761,0.0,13.20999347182228,0.0,11.208070713489313
2024-08-08,0.0,39.71630248096963,35.86566684717445,0.0,13.209975341288779,0.0,11.208055330567136
2024-08-12,0.0,39.67648870687088,35.93021198485854,0.0,13.196344112214453,0.0,11.196955196056134
2024-08-19,0.0,39.67676071624267,35.92977274279461,0.0,13.196434582147376,0.0,11.197031958815343
