date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,INTERACTIVE BROKERS HONG KONG LTD,HANG SENG SECURITIES LTD
2024-03-01,61.07742943652706,4.023743850660933,6.863992354657676,10.370870271645115,4.060816321977922,3.125618821191206,4.570029027034674,3.4153203187225567,0.9565564158239125,1.5356231817589359
2024-03-04,60.459197040731006,4.20394191867482,6.685222085884614,10.473037379915635,4.131137662321668,3.553067005993321,4.584028423105591,3.4065083405678194,0.9583354117228859,1.545524731082643
2024-03-05,60.454692650068566,4.188190318509535,6.881745972371007,10.258629892927228,4.136677555774419,3.602027211473552,4.580384846913828,3.4016922190386976,0.95181292609882,1.5441464068243498
2024-03-06,60.41920803505886,4.304945506725966,6.793215180463649,10.252814777448723,4.136046699693168,3.626537169548637,4.575716742081798,3.395354704367754,0.9517523693617547,1.5444088152496966
2024-03-07,60.453280312006896,4.357251802617341,6.784327856956771,10.217683412329903,4.13199144857861,3.5742822905511997,4.576785729111547,3.393023395840396,0.9661536937398574,1.5452200582674775
2024-03-08,60.4584616390078,4.361708642393193,6.825876836688092,10.198076406257535,4.12495779536276,3.560353885976672,4.571512984334409,3.395212858246403,0.9657258649516405,1.5381130867815007
2024-03-11,60.47981835194407,4.429616437027898,6.871270258506989,10.190458019670544,4.1195943367832175,3.5050071409697425,4.56434812512281,3.400120484701451,0.9151955010420981,1.5245713442311815
2024-03-12,60.50889443155752,4.498900426914054,6.881549911144415,10.133980212502644,4.150163002212586,3.5233525302037085,4.528158861592806,3.3759377943162048,0.9020384633062803,1.4970243662497722
2024-03-13,60.48575892966572,4.621982942663937,6.940575196689388,9.9820355358817,4.149513575191624,3.4602062938067037,4.516391109142567,3.459073004747884,0.9018587244687092,1.4826046877417645
2024-03-14,60.369849354232066,4.7579373054667755,6.7523292801833055,9.979987943116912,4.150091654953785,3.5133085866580176,4.515911197440665,3.573792695937375,0.9026498260929219,1.4841421559181733
2024-03-15,60.24279725942069,4.844381459780499,6.733419995202753,9.995616024202942,4.145448831313605,3.5537004689045437,4.514697163723602,3.579536136129955,0.9076362185341219,1.4827664427872935
2024-03-18,60.15567224572952,4.890567083727719,6.714973902988801,9.983804646641515,4.113730082743569,3.575703672910957,4.535915964940298,3.6406274590152603,0.9102158869309657,1.4787890543713935
2024-03-19,59.916516104964366,4.936062342754139,6.82023181666013,9.99261121449939,4.099027221841202,3.69085817630372,4.5208070545308345,3.641765332824525,0.9086170133778428,1.47350372224385
2024-03-20,59.786042483238724,4.938327818993947,6.922872308058915,10.026350827356236,4.091073749569925,3.699262749107691,4.512781841145026,3.6435104038585666,0.9096061999321678,1.470171618738806
2024-03-21,59.74217727483413,4.9471100648098565,6.996617392430993,10.00797899218813,4.086173490070818,3.6832189251953786,4.516705597263639,3.641445464373752,0.9067550780281175,1.4718177208051832
2024-03-22,59.625739844019876,5.006067027285164,7.0375524396298195,10.036631033855025,4.080170066308757,3.694292221201969,4.509641339567935,3.635313676132818,0.9037977186634891,1.4707946333351503
