date,CNCB (HONG KONG) CAPITAL LTD,ZERO2IPO SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,CITIC SECURITIES BROKERAGE (HK) LTD,FUTU SECURITIES INTERNATIONAL,DBS BANK LTD
2024-03-25,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-15,53.81294964028777,46.18705035971223,0.0,0.0,0.0,0.0,0.0
2024-05-14,53.735632183908045,46.12068965517241,0.0,0.0,0.0,0.0,0.14367816091954022
2024-06-13,52.97450424929179,45.46742209631728,0.0,1.41643059490085,0.0,0.0,0.141643059490085
2024-06-18,52.899575671852894,45.403111739745405,0.0,1.5558698727015559,0.0,0.0,0.14144271570014144
2024-07-03,52.824858757062145,45.33898305084746,0.0,1.5536723163841808,0.0,0.0,0.2824858757062147
2024-07-09,52.899575671852894,45.403111739745405,0.0,1.4144271570014144,0.0,0.0,0.2828854314002829
2024-07-11,52.884979091215214,45.3905836585029,0.0,1.4416298754625587,0.0,0.0,0.28280737481933266
2024-07-12,52.86089484629146,45.36991242154962,0.0,1.4865141500931787,0.0,0.0,0.2826785820657297
2024-07-15,52.869156022572426,45.37700289637901,0.0,1.4711183215695607,0.0,0.0,0.282722759478997
2024-07-16,52.885034157510304,45.39063092128558,0.0,1.4415272519126283,0.0,0.0,0.2828076692914989
2024-07-17,52.824858757062145,45.33898305084746,0.0,1.5536723163841808,0.0,0.0,0.2824858757062147
2024-07-18,52.85533133509175,45.365137322364845,0.0,1.4968825118744629,0.0,0.0,0.28264883066893987
2024-07-19,52.824858757062145,45.33898305084746,0.0,1.5536723163841808,0.0,0.0,0.2824858757062147
2024-07-24,52.899575671852894,45.403111739745405,0.0,1.4144271570014144,0.0,0.0,0.2828854314002829
2024-07-31,52.824858757062145,45.33898305084746,0.0,1.5536723163841808,0.0,0.0,0.2824858757062147
2024-08-02,52.899575671852894,45.403111739745405,0.0,1.4144271570014144,0.0,0.0,0.2828854314002829
2024-08-05,52.824858757062145,45.33898305084746,0.0,1.5536723163841808,0.0,0.0,0.2824858757062147
2024-08-21,52.089136490250695,44.70752089136491,0.0,1.532033426183844,1.392757660167131,0.0,0.2785515320334262
2024-10-17,51.590594744121724,44.398340248962654,0.0,1.5214384508990317,1.3831258644536653,0.8298755186721992,0.2766251728907331
2024-10-21,46.918238993710695,40.37735849056604,8.930817610062892,1.3836477987421385,1.257861635220126,0.7547169811320755,0.37735849056603776
2024-11-04,43.65821094793058,42.857142857142854,9.479305740987984,1.4686248331108143,1.335113484646195,0.801068090787717,0.4005340453938585
2024-11-05,43.65821094793058,42.857142857142854,9.479305740987984,1.4686248331108143,1.2016021361815754,0.9345794392523363,0.4005340453938585
2024-11-11,43.716577540106954,42.9144385026738,9.358288770053475,1.4705882352941175,1.2032085561497325,0.9358288770053476,0.4010695187165776
2024-11-18,43.54194407456725,42.743009320905465,9.720372836218376,1.4647137150466045,1.1984021304926764,0.9320905459387484,0.3994673768308922
2024-12-16,43.6,42.8,9.6,1.4666666666666666,1.2,0.8,0.5333333333333333
2024-12-19,43.54194407456725,42.743009320905465,9.720372836218376,1.4647137150466045,1.1984021304926764,0.7989347536617843,0.5326231691078562
2025-01-15,43.40878828229028,42.743009320905465,9.720372836218376,1.4647137150466045,1.1984021304926764,0.7989347536617843,0.6657789613848202
2025-02-27,43.351063829787236,42.68617021276596,9.707446808510637,1.4627659574468086,1.196808510638298,0.9308510638297872,0.6648936170212766
2025-03-19,43.351063829787236,42.68617021276596,9.574468085106384,1.4627659574468086,1.196808510638298,0.9308510638297872,0.7978723404255319
2025-05-02,43.35151872725164,42.68661813327538,9.574568553258029,1.4617319727194429,1.1968210691572536,0.930860831566753,0.7978807127715025
