date,SDICS INTERNATIONAL SECURITIES (HONG,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA GALAXY INTERNATIONAL SECURITIES,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,SINOLINK SECURITIES (HONG KONG) CO LTD,CMB WING LUNG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,GF SECURITIES (HONG KONG) BROKERAGE LTD,TOTAL_CCASS_PCT
2024-03-01,50.090637587507835,11.393176117026607,0.0,5.368009065860666,4.967671623549966,3.08711470331904,0.0,0.0,0.6799903220202906,0.0,75.58659941928441
2024-03-04,50.08644021454219,11.37937321746651,0.0,5.380036153781452,5.042982180798916,3.05829812353568,0.0,0.0,0.6659452663275605,0.0,75.61307515645231
2024-03-05,50.079256249274074,11.405848954634415,0.0,5.379632560227064,5.03918840138766,2.980969598514786,0.0,0.0,0.6659452663275605,0.0,75.55084103036556
2024-03-06,50.0740902517779,11.402862362331938,0.0,5.397303177537579,5.036282527796061,2.992996686435572,0.0,0.0,0.6742943254684907,0.0,75.57782933134754
2024-03-07,50.07756115634564,11.434584815706899,0.0,5.3953659284765125,5.036443965217817,2.9929159677246946,0.0,0.0,0.6581505832929387,1.1369580746337664,76.73198049139826
2024-03-08,50.08159709188953,11.449194902375773,0.0,5.40063403514195,5.038704089122394,2.9885571573372953,0.0,0.0,0.6648288458374102,1.1369580746337664,76.76047419633812
2024-03-11,50.078852655719686,11.459204022524615,0.0,5.400795472563705,5.038946245255027,2.9996156207275484,0.0,0.0,0.6667660948984764,1.1369580746337664,76.78113818632283
2024-03-12,50.08563302743342,11.459446178657249,0.0,5.401279784828972,5.046210929234025,2.997436215533849,3.764478519206079,0.0,0.6665239387658431,1.1369580746337664,80.5579666682932
2024-03-13,50.069650722679626,11.498433316011205,0.0,5.379247047663911,5.064453357892399,2.9754807261750984,3.764478519206079,0.0,0.6678154381398873,1.1369580746337664,80.55651720240196
2024-03-14,50.076915406658614,11.55986025498918,0.0,5.3794892037965445,5.066309888242588,2.975561444885976,3.7643978004952015,0.0,0.6681383129833983,1.1369580746337664,80.62763038668528
2024-03-15,50.079256249274074,11.557842287217236,0.0,5.379731359929178,5.065987013399076,2.98371403468463,3.7643978004952015,0.0,0.6679768755616428,1.1369580746337664,80.63586369519481
