date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,THE BANK OF EAST ASIA LTD,UBS SECURITIES HONG KONG LTD,SHANGHAI COMMERCIAL BANK LTD,HANG SENG SECURITIES LTD
2024-03-01,60.006900046686994,0.0,16.380093546013214,13.674322566990845,0.0,0.0,0.0,9.93868384030895,0.0,0.0
2024-03-04,41.32410677925934,31.21803445965329,11.27825724273494,9.330290336593809,0.0,0.0,0.0,6.849311181758626,0.0,0.0
2024-03-05,38.032540910067155,28.233389041107316,10.396164892994745,8.678077022813794,0.0,8.354562270564001,0.0,6.305265862452983,0.0,0.0
2024-03-06,38.0433492705809,28.241412608294226,10.391785487083304,8.659458365821964,0.0,8.356936530047959,0.0,6.307057738171659,0.0,0.0
2024-03-07,38.08220367105278,28.23165276749634,10.366966418486893,8.65787097490001,0.0,8.35540459529838,0.0,6.305901572765597,0.0,0.0
2024-03-08,38.02988400262496,28.255118154022085,10.368858906832985,8.66788126507571,0.0,8.365065171758435,0.0,6.313192499685829,0.0,0.0
2024-03-11,35.33268622421892,26.332168858052192,9.62494171265039,7.673746175648648,7.399227092373582,7.771788705389743,0.0,5.8654412316665265,0.0,0.0
2024-03-12,35.33961579488413,26.33221694995785,9.586751975848498,7.658196958917282,7.400678254809385,7.8159484829568875,0.0,5.866591582625964,0.0,0.0
2024-03-13,35.394848075671,26.32725321159909,9.606005327438838,7.555724105813104,7.4122447738614134,7.8281640277928,0.0,5.8757604778237535,0.0,0.0
2024-03-14,35.71992932804546,26.178760892314145,9.576327682137302,7.517009496225266,7.3742653348862985,7.788053469243901,0.0,5.845653797147632,0.0,0.0
2024-03-15,35.733768758750344,26.184829371042483,9.594299270536947,7.519475518069685,7.375017292499356,7.746359907641908,0.0,5.84624988145928,0.0,0.0
2024-03-18,35.790336923043924,26.209259145148888,9.468204966539876,7.531379186260395,7.386692276817038,7.758622744033198,0.0,5.855504758156682,0.0,0.0
2024-03-19,35.93561463981224,25.922551069867666,9.493819351345513,7.561950051649255,7.416675838881669,7.790116021113641,0.0,5.879273027330011,0.0,0.0
2024-03-20,36.04877928837457,25.96902831066753,9.529195333050954,7.704626236955339,7.457029552591934,7.811718228462001,0.0,5.479623049897672,0.0,0.0
2024-03-21,36.025125842475674,25.956961239523974,9.542611891287448,7.733149886927627,7.454794176079087,7.809376527744613,0.0,5.4779804359615705,0.0,0.0
2024-03-22,36.0281256574137,25.909029703621627,9.546139563919285,7.772471642556073,7.455542558607897,7.810160506593153,0.0,5.4785303672882595,0.0,0.0
2024-03-25,36.05963082682118,25.923112983027924,9.47561438559383,7.779268361268057,7.462062135384303,7.816990182724504,0.0,5.483321125180208,0.0,0.0
2024-03-26,36.17730801586678,25.94602419282041,9.336400711307224,7.747530555079803,7.464366851106346,7.840202312743842,0.0,5.488167361075597,0.0,0.0
2024-03-27,37.504320698568485,24.680027789908564,9.324011676709356,7.669884198406478,7.4723174646587465,7.855425130969565,0.0,5.494013040778804,0.0,0.0
2024-03-28,37.34265358060821,24.99615122635613,9.292372175385024,7.636822192473577,7.440107095120132,7.821563327379423,0.0,5.470330402677515,0.0,0.0
2024-04-02,37.11574782292762,25.964341073208224,9.32471937061617,7.094810140884713,7.356985745089535,7.73418032404228,0.0,5.409215523231465,0.0,0.0
2024-04-03,37.188204261854224,25.909398960098386,9.303495367446986,7.08187317360441,7.397598595815405,7.720077502993481,0.0,5.399352138187108,0.0,0.0
2024-04-05,36.84595844563595,25.065151311162985,8.991023905752073,6.894193290338098,7.158883256693062,7.49137960331797,0.0,7.553410187099861,0.0,0.0
2024-04-08,37.195930035469146,24.92524601374368,8.940150171007868,6.857053152359349,7.117879560927587,7.451022325765521,0.0,7.512718740726849,0.0,0.0
2024-04-09,37.198952611547696,24.927271462557073,8.932750562406936,6.857610362914588,7.118457966480839,7.451627802811564,0.0,7.5133292312813005,0.0,0.0
2024-04-10,37.48053768492228,24.777671623774992,8.877525618044615,6.852802702608394,7.116123504240919,7.427100524573809,0.0,7.468238341834987,0.0,0.0
2024-04-11,36.450064824795575,23.873855991810032,8.555094382037865,6.603909290121784,6.818746508895194,7.157348647179374,0.0,7.19699234120883,0.0,3.343988013951342
2024-04-12,36.426710460096714,23.826692560705272,8.532256894179016,6.593408642329606,6.8054977856495045,7.143442025005388,0.0,7.334500937154336,0.0,3.337490694880168
2024-04-15,36.425719646156224,23.827937460889164,8.532702688665578,6.591422363917602,6.805853360197808,7.143815256509001,0.0,7.334884151129257,0.0,3.3376650725353634
2024-04-16,36.42147513898229,23.825160910350824,8.535592582282288,6.590654298391874,6.801176141256583,7.154635323926114,0.0,7.334029453714851,0.0,3.3372761510951774
2024-04-17,36.42984341604621,23.835421392714668,8.535440400215343,6.586365190321588,6.804770738879573,7.158416733875598,0.0,7.33790567810512,0.0,3.3118364498419024
2024-04-18,36.45919270504231,23.84190723502754,8.510552033401662,6.568721016218227,6.806622380990716,7.160364606387722,0.0,7.339902391246909,0.0,3.3127376316849166
2024-04-19,36.46101643072232,23.863596451599065,8.507738269549915,6.533657965144775,6.8105935807646745,7.1645421906159505,0.0,7.3441847235235445,0.0,3.3146703880797572
2024-04-22,36.46002786435716,23.863967731520123,8.507870636538248,6.533759618557262,6.810699542858534,7.164653659591902,0.0,7.344298987453961,0.0,3.3147219591228114
