date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,HAITONG INTERNATIONAL SECURITIES CO LTD,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,QUAM SECURITIES LTD,XIN YONGAN INTERNATIONAL SECURITIES,SINOPAC SECURITIES (ASIA) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,57.90986825890748,0.0,0.0,0.0,0.0,42.09013174109251,0.0,0.0
2024-03-04,0.0,57.93769508953647,0.0,0.0,0.0,0.0,42.06230491046353,0.0,0.0
2024-03-05,0.0,46.58925526947608,0.0,0.0,19.6127935461042,0.0,33.79795118441972,0.0,0.0
2024-03-06,0.0,46.65996898427894,0.0,0.0,19.58682698270382,0.0,33.753204033017234,0.0,0.0
2024-03-07,0.0,46.70977191759039,0.0,0.0,19.568539002374095,0.0,33.721689080035524,0.0,0.0
2024-03-08,0.0,46.71184502164418,0.0,0.0,19.56777774427871,0.0,33.72037723407711,0.0,0.0
2024-03-11,0.0,46.70613783854488,0.0,0.0,19.567016545410162,0.0,33.726845616044955,0.0,0.0
2024-03-12,0.0,46.716501646635116,0.0,0.0,19.56321143922813,0.0,33.72028691413676,0.0,0.0
2024-03-13,0.0,39.05688927948043,0.0,16.442748872830233,16.342032568728726,0.0,28.158329278960608,0.0,0.0
2024-03-14,0.0,39.1045173373279,0.0,16.42727134778442,16.326649847728834,0.0,28.141561467158848,0.0,0.0
2024-03-15,83.09855716473074,5.947716098658621,0.0,2.4849776988709027,2.4682934094235076,0.0,4.254984523481359,1.7454711048348739,0.0
2024-03-18,83.01626786377189,6.072717303263047,0.0,2.4825169211544735,2.4658491535163902,0.0,4.225769324713973,1.7368794335802327,0.0
2024-03-19,82.90337746933808,6.258712945018541,0.0,2.4781313108636867,2.4614929884763717,0.0,4.164474221060422,1.7338110652428993,0.0
2024-03-20,81.8286007408775,7.490900238502325,0.0,2.446004298137687,2.4189552774631786,0.0,4.099375686867012,1.716163758152291,0.0
2024-03-21,81.82293508348906,7.4953330803746,0.0,2.4454018995567104,2.4183595404778844,0.0,4.102229292404079,1.7157411036976682,0.0
2024-03-22,81.81626301632514,7.4958899626268085,0.0,2.4444811577881453,2.4232415900664472,0.0,4.1050291796663485,1.7150950935271092,0.0
2024-03-25,81.80959506004649,7.503998534865886,0.0,2.4438205398917874,2.4230692991304625,0.0,4.104884974786639,1.7146315912787362,0.0
2024-03-26,81.81433296401225,7.500572200341667,0.0,2.443962070809023,2.423209628264634,0.0,4.103192244474391,1.7147308920980369,0.0
2024-03-27,81.81148134246558,7.505663623988212,0.0,2.4438913033013163,2.421209057792793,0.0,4.103073432201381,1.7146812402507063,0.0
2024-03-28,81.81749187154563,7.506170771927763,0.0,2.4440564338615234,2.4213726557431405,0.0,4.096111167887589,1.7147970990343586,0.0
2024-04-03,81.33474744306555,7.4578049870045975,0.0,2.4304961026990193,2.4271364121937085,0.0,4.065705467212361,1.7052829093383917,0.5788266784863778
2024-04-08,81.33465785767586,7.457840781342973,0.0,2.430507768061693,2.427148061431276,0.0,4.065724980894668,1.7052910939816737,0.5788294566118487
2024-04-10,81.34051386332762,7.452137833248394,0.0,2.430682761940087,2.4258828354749604,0.0,4.066497701255217,1.7054138730594648,0.5788711316942624
2024-04-11,81.34012343671645,7.453062044391667,0.0,2.4306710948975705,2.4253912011290333,0.0,4.066478182458969,1.705405687237573,0.5788683531687343
2024-04-12,79.1709089160027,7.25669510710315,2.6800158447356006,2.364802271779244,2.354528644216222,0.0,3.9506767810530024,1.6591908514280516,0.5631815836820238
