date,CITIBANK N.A.,CHINA CITIC BANK INTERNATIONAL LTD,HANG SENG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,EVERBRIGHT SECURITIES INVESTMENT,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD
2024-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-15,0.0,0.0,0.0,44.29818908144911,37.86824165341449,0.0,0.0,17.833569265136397,0.0
2024-03-18,0.0,0.0,0.0,36.670314176584704,31.34756403229734,17.21938314642924,0.0,14.762738644688714,0.0
2024-03-20,0.0,0.0,40.69350741636667,21.73955904955617,18.58568354574338,10.209214524060318,0.0,8.77203546427346,0.0
2024-03-26,30.27556483387753,0.0,23.29805918444517,12.446445773229007,10.64077251443664,6.935854530667291,6.785243606801611,5.183896768614943,4.434162787927804
2024-03-27,30.275900119266346,0.0,23.298317197759705,12.445476165308172,10.640890355195989,6.935931341478116,6.785318749678495,5.1839541774478795,4.4342118938653
2024-03-28,30.27757665760966,0.0,23.29960735005783,12.44062780354977,10.641479598145569,6.936315421052786,6.785694489029287,5.184241240686767,4.43445743986833
2024-04-10,30.269195822156835,0.0,23.2931580170242,12.464864244234212,10.638534035807632,6.934395448432451,6.7838162082940485,5.182806242328832,4.433229981721784
2024-04-16,30.269530966493036,0.0,23.293415921794033,12.465002256775987,10.63865182699206,6.934472226929414,6.7838913195587605,5.181756414456011,4.433279067000698
2024-04-18,30.275229555914766,0.0,23.297801176845223,12.467348937670415,10.62182851929119,6.935777721557705,6.785168465589024,5.182731940053751,4.434113683077926
2024-04-23,30.270201277430488,0.0,23.293931748467404,12.481886847125272,10.62006438694304,6.934625789024058,6.784041547078143,5.181871163112131,4.4333772408194685
2024-04-24,30.26986611825084,0.0,23.29367383227504,12.481748644576903,10.619946798954935,6.934549007126598,6.783966432486774,5.182921012962336,4.433328153366581
2024-05-06,23.83231529738045,21.267192909680375,18.33976328261337,9.827231081833318,8.361382226315763,5.459765092364659,5.34120720436185,4.080659202779276,3.4904837026709394
2024-05-08,23.82296985292256,21.25536770579232,18.332571650705606,9.822506089939084,8.358103449905995,5.501194503389099,5.339112739151752,4.0790590404175715,3.4891149677760103
2024-05-09,23.808447054150513,21.24241015138483,18.32139587158566,9.816518159791746,8.413969566972963,5.497840902168433,5.33585794512688,4.076572391859938,3.4869879569590383
2024-05-14,23.80678843308038,21.24093029387975,18.320119507228185,9.815834289742678,8.41338340580187,5.504424417334121,5.335486221326715,4.076288396484362,3.4867450351219462
2024-05-16,23.778834015635137,21.215988759492213,18.29860764855008,9.804308336543231,8.403504239087981,5.615383053102727,5.3292211843804855,4.071501935354468,3.482650827853674
