date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,DBS BANK LTD,HANG SENG SECURITIES LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,HANG SENG BANK LTD,FUTU SECURITIES INTERNATIONAL
2024-03-01,384042605.0,273734205.0,0.0,164908897.0,81839608.0,91073170.0,69120431.0,94850200.0,0.0,29210628.0
2024-03-04,371862605.0,275392205.0,0.0,165600897.0,81941608.0,91513170.0,70382431.0,95858200.0,54935200.0,29832628.0
2024-03-05,369502605.0,275950205.0,0.0,165962897.0,81918608.0,91685170.0,70518431.0,92554200.0,0.0,32068628.0
2024-03-06,369865020.0,275834205.0,0.0,166112897.0,81888608.0,91763170.0,70720431.0,90350200.0,0.0,32696628.0
2024-03-07,368036020.0,278228205.0,0.0,166564897.0,81928608.0,92243170.0,71284431.0,80612200.0,0.0,33074628.0
2024-03-08,369917020.0,278840205.0,0.0,167118897.0,83038608.0,92375170.0,71776431.0,74990200.0,0.0,33456628.0
2024-03-11,367061553.0,279006205.0,0.0,167408897.0,86350422.0,92447170.0,71754431.0,73428200.0,0.0,33606628.0
2024-03-12,367071553.0,279278205.0,0.0,167420897.0,86378422.0,92427170.0,71822431.0,73424200.0,54939200.0,33600628.0
2024-03-13,367295553.0,279826205.0,0.0,166734897.0,86258422.0,92645170.0,72066431.0,0.0,0.0,33646628.0
2024-03-14,366785553.0,280456205.0,0.0,165934897.0,82580955.0,92621170.0,72104431.0,73422200.0,0.0,33798628.0
2024-03-15,370609020.0,280645205.0,0.0,165032897.0,82572955.0,92783170.0,0.0,73246200.0,0.0,33864628.0
2024-03-18,370649020.0,280693205.0,0.0,164732897.0,82574955.0,92887170.0,72224431.0,0.0,0.0,33888628.0
2024-03-19,371041020.0,281029205.0,0.0,164502897.0,82464955.0,0.0,72334431.0,0.0,54941200.0,33908628.0
2024-03-20,371595020.0,281495205.0,0.0,164302897.0,79176189.0,93575170.0,72384431.0,73226200.0,0.0,34624628.0
2024-03-21,372711020.0,281751205.0,0.0,163566897.0,81007608.0,93605170.0,0.0,0.0,0.0,34812628.0
2024-03-22,369603019.0,281971205.0,164430822.0,162830897.0,81381609.0,93705170.0,73384431.0,0.0,0.0,34848628.0
2024-03-25,370807019.0,281763205.0,0.0,162320897.0,81779609.0,93707170.0,0.0,0.0,0.0,34780628.0
2024-03-26,370853019.0,282035205.0,0.0,161810897.0,81931609.0,93399170.0,73628431.0,0.0,0.0,35062628.0
2024-03-27,368440019.0,282461205.0,0.0,160916897.0,81919609.0,93429170.0,73478431.0,72902200.0,0.0,35514628.0
2024-03-28,368283366.0,284145205.0,0.0,158172897.0,84004609.0,93481170.0,0.0,0.0,0.0,35596628.0
2024-04-02,363739445.0,284691205.0,0.0,157644897.0,84322609.0,93669170.0,73530431.0,72652200.0,0.0,35666628.0
2024-04-03,357739445.0,286331205.0,0.0,154666897.0,84609849.0,98610170.0,73580431.0,0.0,0.0,36248628.0
2024-04-05,355528005.0,288065205.0,0.0,149472897.0,82888289.0,100682170.0,73630431.0,72520200.0,0.0,36512628.0
2024-04-08,357904005.0,289243205.0,0.0,147850897.0,83276289.0,100802170.0,0.0,72510200.0,0.0,36970628.0
2024-04-09,359862005.0,293267205.0,166430822.0,128892897.0,83886289.0,101068170.0,70290151.0,0.0,0.0,39704628.0
2024-04-10,358313712.0,294321205.0,165758822.0,129976897.0,82909665.0,101340170.0,70586151.0,72358200.0,54943200.0,41336628.0
2024-04-11,357467712.0,294903205.0,165558822.0,130076897.0,82989665.0,101448170.0,70486151.0,0.0,0.0,41998628.0
2024-04-12,357787712.0,295367205.0,0.0,130322897.0,82952289.0,101698170.0,70412151.0,0.0,0.0,42364628.0
2024-04-15,360139712.0,294635205.0,165430822.0,130542897.0,83049289.0,101744170.0,70326151.0,0.0,0.0,42198628.0
2024-04-16,360104512.0,294375205.0,0.0,130656897.0,83408489.0,101844170.0,70526151.0,72258200.0,0.0,42930628.0
2024-04-17,358183512.0,294497205.0,0.0,130750897.0,83538489.0,101766170.0,70712151.0,0.0,54967742.0,42838628.0
