date,BANK OF COMMUNICATIONS TRUSTEE LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,HANG SENG BANK LTD,FUTU SECURITIES INTERNATIONAL
2024-03-08,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,97.00646535749323,0.0,0.0,0.0,0.0,0.0,0.0,2.993534642506764
2024-03-12,0.0,63.467524710073285,0.0,34.57392300999785,0.0,0.0,0.0,0.0,1.9585522799288613
2024-03-14,0.0,63.41174315779684,0.0,34.629704562274306,0.0,0.0,0.0,0.0,1.9585522799288613
2024-03-15,0.0,63.40781317307989,0.0,34.633755929564,0.0,0.0,0.0,0.0,1.9584308973561049
2024-03-19,0.0,63.35676766461271,0.0,34.68637804343596,0.0,0.0,0.0,0.0,1.956854291951334
2024-03-22,0.0,63.36069132413039,0.0,34.750455760855395,0.0,0.0,0.0,0.0,1.8888529150142184
2024-03-25,0.0,63.294055136284385,0.0,34.80670555329254,0.0,0.0,0.0,0.0,1.8992393104230776
2024-03-27,0.0,63.28231035600922,0.0,34.82498805379022,0.0,0.0,0.0,0.0,1.8927015902005586
2024-03-28,0.0,63.240015284024295,0.0,34.86669759839963,0.0,0.0,0.0,0.0,1.893287117576072
2024-04-02,0.0,51.46528627895848,0.0,28.40503952291437,0.0,18.588900321386298,0.0,0.0,1.5407738767408492
2024-04-03,0.0,51.41234547256674,0.0,28.458993849389323,0.0,18.58796437857792,0.0,0.0,1.5406962994660056
2024-04-10,0.0,51.37492944377363,0.0,28.49134125690369,0.0,18.592645035343157,0.0,0.0,1.5410842639795153
2024-04-25,0.0,37.49768389081685,27.011707272794382,20.795343558495972,0.0,13.570454184126527,0.0,0.0,1.1248110937662708
2024-05-02,0.0,37.46092535834083,27.011707272794382,20.832102090971993,0.0,13.570454184126527,0.0,0.0,1.1248110937662708
2024-05-07,0.0,37.414165504536925,26.977990447302552,20.93092184240037,0.0,13.553515135033841,0.0,0.0,1.123407070726306
2024-05-08,0.0,37.41279198182294,26.97700005015865,20.93382457117593,0.0,13.553017567851967,0.0,0.0,1.1233658289905117
2024-05-09,0.0,37.41279198182294,26.97700005015865,20.93749570133603,0.0,13.549346437691867,0.0,0.0,1.1233658289905117
2024-05-13,0.0,37.41279198182294,26.97700005015865,20.941166831496126,0.0,13.549346437691867,0.0,0.0,1.119694698830412
2024-05-16,0.0,37.357725029421445,26.97700005015865,20.996233783897626,0.0,13.549346437691867,0.0,0.0,1.119694698830412
2024-05-20,0.0,37.356353629056656,26.976009725729615,20.999134008515778,0.0,13.548849041808348,0.0,0.0,1.1196535948896014
2024-05-21,0.0,37.28542501925716,26.95127522393344,21.108246778103993,0.0,13.536426002434917,0.0,0.0,1.1186269762704852
2024-05-23,0.0,37.21036441405477,26.897018660457505,21.267066551225923,0.0,13.509175345442396,0.0,0.0,1.1163750288194043
2024-05-24,0.0,37.18994576154428,26.882259308157565,21.31027011653729,0.0,13.501762379688753,0.0,0.0,1.1157624340721128
2024-06-04,0.0,37.187224967534696,26.880292618274265,21.30871107002382,0.0,13.508090538602078,0.0,0.0,1.1156808055651446
2024-06-05,0.0,37.1831445228821,26.877343122947035,21.317345633355732,0.0,13.506608335618308,0.0,0.0,1.1155583851968314
2024-06-13,0.0,37.17770532276207,26.873411469241677,21.314227303520656,0.0,13.519260704651611,0.0,0.0,1.1153951998239826
2024-06-17,0.0,37.17824917116422,26.872341748074614,21.314539095449753,0.0,13.519458469098572,0.0,0.0,1.1154115162128484
2024-06-24,0.0,37.178203222209724,26.87236140298699,21.31455468528566,0.0,13.5194683574728,0.0,0.0,1.1154123320448224
2024-06-25,0.0,37.17548414067135,26.87039605406072,21.31299581457324,0.0,13.518479591646768,0.0,0.0,1.122644399047923
2024-07-15,0.0,37.171406264021805,26.87841783269293,21.310657935996186,0.0,13.516996714058527,0.0,0.0,1.122521253230553
2024-07-17,0.0,37.13578279370291,26.876452400182792,21.34931732536668,0.0,13.516008309720645,0.0,0.0,1.1224391710269743
2024-08-12,0.0,37.13985646435782,26.879400656748675,21.351659273777297,0.0,13.517490970439786,0.0,0.0,1.1115926346764224
2024-08-14,0.0,37.126281036544285,26.869575649383957,21.380406958174188,0.0,13.512550032580602,0.0,0.0,1.1111863233169645
2024-08-15,0.0,37.034900582324134,26.869575649383957,21.41695913986225,0.0,13.567378305112692,0.0,0.0,1.1111863233169645
2024-08-16,0.0,37.03259898644187,26.87055782689571,21.417742005059363,0.0,13.567874240517053,0.0,0.0,1.1112269410860118
2024-08-20,0.0,36.87253973079104,26.876452400182792,21.5686865444599,0.0,13.57085061449395,0.0,0.0,1.1114707100723134
2024-09-03,0.0,36.87119166337067,26.875469791712632,21.567897988970014,0.0,13.574010481465622,0.0,0.0,1.1114300744810606
