date,PHILLIP SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,CGS INTERNATIONAL SECURITIES HK LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CITIBANK N.A.,HANG SENG SECURITIES LTD
2024-03-01,0.0,0.0,0.0,44.82358787477224,0.0,0.0,55.176412125227756,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,44.759535655058045,0.0,0.0,55.240464344941955,0.0,0.0,0.0
2024-03-08,0.0,0.0,0.0,32.6874167373138,0.0,0.0,40.341528400145336,26.97105486254087,0.0,0.0
2024-03-18,0.0,0.0,0.0,32.69556793412448,0.0,0.0,40.33664325502543,26.967788810850085,0.0,0.0
2024-03-20,0.0,0.0,0.0,19.018836097835255,30.018273826258085,0.0,23.41158279448974,15.652235029519257,11.899072251897666,0.0
2024-03-27,0.0,0.0,0.0,19.089120044981726,29.94798987911161,0.0,23.41158279448974,15.652235029519257,11.899072251897666,0.0
2024-04-02,38.31928606841844,13.358948934060486,13.676251859196828,6.8765493306891425,9.910758552305404,0.0,8.257312840852752,5.404065443728309,4.196826970748637,0.0
2024-04-03,38.35065869451956,12.367578832460863,14.555784355074803,6.934279405562309,9.918872652392885,0.0,8.264073237899124,5.408489840474359,4.200262981616096,0.0
2024-04-05,38.32072429616768,12.365124643432965,14.552895944437555,6.950266650130224,9.916904378023068,0.0,8.262433337467444,5.432221257596428,4.199429492744636,0.0
2024-04-08,38.3150219488604,12.363284640757918,14.550730388631234,6.949232409910469,9.915428684804445,0.0,8.261203839190497,5.446293494704992,4.198804593140052,0.0
2024-04-09,38.295077090873036,12.35684894154975,14.543156016062664,6.9976699221654854,9.910267215309107,0.0,8.256903475286302,5.44345843041991,4.196618908333746,0.0
