date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,SDICS INTERNATIONAL SECURITIES (HONG,SOOCHOW SECURITIES INTERNATIONAL
2024-03-25,100.0,0.0,0.0,0.0,0.0,0.0
2024-04-08,81.92876234113348,0.0,18.071237658866522,0.0,0.0,0.0
2024-04-09,60.46287754201597,15.141791344109743,13.288676747823994,11.106654366050298,0.0,0.0
2024-04-10,60.38432222088499,15.196373410358246,13.310867733782644,11.108436634974124,0.0,0.0
2024-04-11,60.48348300192431,15.113855035279025,13.301796023091725,11.100865939704939,0.0,0.0
2024-04-12,60.50564949114512,15.109383764724738,13.290327750621042,11.094638993509095,0.0,0.0
2024-04-15,60.473975459138664,15.121501323281738,13.30098644638704,11.103536771192557,0.0,0.0
2024-04-17,60.45048294657529,15.113622700492964,13.338142759809227,11.09775159312252,0.0,0.0
2024-04-18,60.4584067959609,15.110594646577976,13.335470427953197,11.095528129507933,0.0,0.0
2024-04-19,60.44414158014991,15.116046017557222,13.340281396560707,11.099531005732151,0.0,0.0
2024-04-24,60.42510527371165,15.115299779426508,13.354722277922598,11.104872668939242,0.0,0.0
2024-05-03,60.42669233237087,15.11469361565608,13.354186717998076,11.104427333974975,0.0,0.0
2024-05-06,60.445727112393776,15.107423440756772,13.347763347763347,11.099086099086099,0.0,0.0
2024-05-09,60.44731251753578,15.106817908533406,13.347228345825485,11.098641228105336,0.0,0.0
2024-05-13,60.44488977955912,15.1062124248497,13.350701402805612,11.098196392785571,0.0,0.0
2024-05-20,60.452905811623246,15.1062124248497,13.342685370741483,11.098196392785571,0.0,0.0
2024-05-31,60.5088141025641,15.092147435897434,13.305288461538462,11.09375,0.0,0.0
2024-06-03,60.525472604934315,15.115347644985583,13.268984299903877,11.090195450176225,0.0,0.0
2024-06-04,60.53337604612982,15.112321307011573,13.266327633844552,11.087975013014056,0.0,0.0
2024-06-06,60.505345773435316,15.112321307011573,13.294357906539062,11.087975013014056,0.0,0.0
2024-06-07,60.53653653653653,15.11111111111111,13.265265265265267,11.087087087087086,0.0,0.0
2024-06-11,60.54601497137825,15.107481686081423,13.262079180176933,11.084424162363396,0.0,0.0
2024-06-12,60.51440246784985,15.11958655502584,13.27270542045591,11.093305556668403,0.0,0.0
2024-06-13,60.518408717599456,15.11958655502584,13.268699170706302,11.093305556668403,0.0,0.0
2024-06-14,60.52241496734907,15.11958655502584,13.264692920956692,11.093305556668403,0.0,0.0
2024-06-17,60.67366228772829,14.991188721563601,13.244953540531881,11.090195450176225,0.0,0.0
2024-06-18,60.65980702246067,14.985786923970052,13.248188333266606,11.106217720302679,0.0,0.0
2024-06-19,60.667814389238096,14.981783240581334,13.244184649877887,11.106217720302679,0.0,0.0
2024-06-20,60.75017012929826,14.935350866658661,13.230054841679676,11.084424162363396,0.0,0.0
