date,HAITONG INTERNATIONAL SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,UBS SECURITIES HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD
2024-03-01,0.0,0.0,73.1709334145929,0.0,0.0,26.8290665854071,0.0,0.0
2024-03-04,0.0,0.0,54.38589301921972,25.672817768956826,0.0,19.941289211823452,0.0,0.0
2024-03-05,0.0,54.929418080157,24.5120384660656,11.570888363689694,0.0,8.987655090087703,0.0,0.0
2024-03-06,0.0,54.973324219762034,24.451699487546456,11.580137197149188,0.0,8.994839095542327,0.0,0.0
2024-03-08,0.0,50.096757455698494,22.273532626448414,10.548574090353862,8.903488010257691,8.17764781724154,0.0,0.0
2024-03-11,0.0,50.094477795169844,22.27251906597583,10.552644591025638,8.903082855688513,8.177275692140178,0.0,0.0
2024-03-12,0.0,50.09333804270598,22.27201232033041,10.554679702443124,8.902880292231073,8.177089642289415,0.0,0.0
2024-03-13,0.0,50.10469025251496,22.26694613183347,10.552278841841563,8.900855164502271,8.175229609307733,0.0,0.0
2024-03-14,0.0,50.09329558937278,22.26188224761228,10.54987907323349,8.898830957870802,8.196112131910649,0.0,0.0
2024-03-15,0.0,50.09215640809961,22.261375985864802,10.551913275644083,8.898628587843813,8.195925742547688,0.0,0.0
2024-03-22,0.0,50.09101727863795,22.260869747142795,10.553947385536402,8.89842622702089,8.19573936166197,0.0,0.0
2024-03-25,0.0,50.137638792908426,22.21134536257511,10.556461514124964,8.898628587843813,8.195925742547688,0.0,0.0
2024-03-26,0.0,50.13649242128696,22.209830128514447,10.55801532779147,8.898021532984714,8.19764058942241,0.0,0.0
2024-03-27,0.0,50.131932492691924,22.20781013799251,10.561602587790452,8.897212255333484,8.201442526191638,0.0,0.0
2024-03-28,0.0,50.129652839425376,22.206800280514322,10.572490588664452,8.89680767170839,8.194248619687459,0.0,0.0
2024-04-02,0.0,50.127373393475104,22.205790514874614,10.576556947847571,8.896403124876944,8.193876018925762,0.0,0.0
2024-04-03,0.0,50.12395461320587,22.204276038584794,10.582655793289064,8.895796373606897,8.19331718131338,0.0,0.0
2024-04-05,0.0,50.120536299239184,22.202761768861098,10.588753806882044,8.89518970509434,8.192758419923333,0.0,0.0
2024-04-08,0.0,50.11939696485659,22.202257058182813,10.590786293253894,8.894987500644449,8.192572183062252,0.0,0.0
2024-05-09,0.0,50.144474292700494,22.213365996295394,10.546050236952942,8.899438123182415,8.196671350868751,0.0,0.0
2024-05-10,0.0,50.143333869758855,22.21286080339926,10.548084665231812,8.899235725539475,8.1964849360706,0.0,0.0
2024-05-22,0.0,47.39928495374196,20.997281943654507,9.970850204378781,8.41223304220228,7.747939658598776,5.472410197423693,0.0
2024-05-24,0.0,47.42783407667147,21.009928842948028,9.976855759704655,8.417299824865095,7.756908553146827,5.411172942663926,0.0
2024-05-27,0.0,47.438038528329955,21.01444928558261,9.979002354510966,8.419110869599269,7.737061765162016,5.412337196815188,0.0
2024-05-28,0.0,47.48548136997416,21.013545041445287,9.978572961655946,8.418748598309554,7.691547722708066,5.412104305906988,0.0
2024-05-29,0.0,47.542828840762716,20.992317683616285,9.96849285673019,8.410244188957575,7.6794792964849,5.40663713344833,0.0
2024-06-04,0.0,47.55816141490061,20.999087711295715,9.971707698158342,8.412956494802414,7.64970590557296,5.408380775269959,0.0
2024-06-07,0.0,47.50199026804452,20.97428559942716,10.086630346493898,8.403019916080611,7.6320809562357494,5.4019929137180585,0.0
2024-06-11,0.0,47.499950181014704,20.97338480837041,10.090491892046039,8.402659028213694,7.631753178193577,5.401760912161571,0.0
2024-06-14,0.0,47.49893020321071,20.972934441856395,10.09242254044227,8.402478595904384,7.631589299730177,5.401644918856064,0.0
2024-06-19,0.0,47.49791026921024,20.972484094683615,10.092205828089968,8.402298171343839,7.63357270614039,5.4015289305319545,0.0
2024-06-21,0.0,47.495870532608535,20.971583458356797,10.09177243130466,8.40193734546705,7.637539263436315,5.401296968826644,0.0
2024-06-26,0.0,47.490771957468304,20.969332205924257,10.105717788072857,8.40103541634355,7.632425480475676,5.400717151715357,0.0
2024-07-09,0.0,47.48975237379438,20.96888201343656,10.105500827504619,8.400855053755167,7.634408528278398,5.400601203230875,0.0
2024-07-12,0.0,47.403247482534134,20.93068617606634,10.08709316676693,8.38555248811536,7.802656940768726,5.390763745748506,0.0
2024-07-16,0.0,47.35250930821162,20.908282968263283,10.076296423533433,8.376576992837546,7.901340577705949,5.384993729448166,0.0
2024-07-30,0.0,47.39532339966492,20.908282968263283,10.076296423533433,8.376576992837546,7.858526486252653,5.384993729448166,0.0
2024-08-05,0.0,47.39430882752866,20.907835393274976,10.078221383160106,8.37639767890941,7.858358262018,5.384878455108845,0.0
2024-08-07,0.0,47.34832508069397,20.924408439921237,10.08621010269767,8.383037411184365,7.868872070350158,5.389146895152604,0.0
2024-08-12,0.0,47.339197515209506,20.92037474056791,10.084265735224365,8.381421372543105,7.886632633197986,5.388108003257123,0.0
2024-08-13,0.0,47.32399272384548,20.913655363183338,10.081026788123197,8.378729358947764,7.884099539904335,5.418496225995893,0.0
2024-08-14,0.0,47.32095293756126,20.912312005637474,10.080379248361702,8.378191163729683,7.883593116496981,5.4245715282129,0.0
2024-08-15,83.77739979169242,7.676689009821944,3.392520770988476,1.6352996249429195,1.3591604571796185,1.2789237933389612,0.8800065520356596,0.0
2024-08-22,83.77448992780205,7.676422373232566,3.392402937614399,1.6352428256230505,1.3591132490788014,1.283047365728876,0.8792813209202565,0.0
2024-08-26,83.7739079792804,7.6763690481373565,3.3923793719218347,1.6352314662325518,1.3591038078521613,1.2837331136778911,0.8792752128978111,0.0
2024-09-03,83.36016221452881,7.638456704557509,3.3756249595824883,1.6271553228382436,1.3523914142451248,1.2780841936822058,0.874932615015455,0.4931925755501643
2024-09-09,83.52759887282042,7.653799257056685,3.38240521705636,1.6304236160197791,1.1542484945186753,1.280651344953514,0.8766899987512438,0.4941831988233273
