date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD,CMB WING LUNG BANK LTD,UBS SECURITIES HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA GALAXY INTERNATIONAL SECURITIES
2024-03-01,70.92416512528618,17.427156388104933,0.40551668734287005,2.5462531412588736,0.0,4.111844319310043,3.3229296983711807,0.0,1.2621346403259275,0.0
2024-03-04,70.94451712815058,17.400154213642125,0.4042459552725558,2.5567472290289426,0.0,4.109034012096763,3.326861370792468,0.0,1.258440091016568,0.0
2024-03-05,70.42164937419189,17.257790699914924,0.40100049142148236,2.550170016909045,0.0,4.079509202156506,3.3050201792964113,0.7353831592681057,1.2494768768416376,0.0
2024-03-06,68.55075681961537,16.788012474348992,0.3934855195736867,2.4811002339361803,0.0,3.9711677483345262,3.2139897238778725,0.7158288572084508,1.2116655816449617,2.6739930414599673
2024-03-07,68.57721111491846,16.76569410688615,0.39379215153123426,2.4790569346491234,0.0,3.9705421456423378,3.212836765872667,0.7157322982500786,1.2115021387140417,2.673632343535906
2024-03-08,68.55489104365097,16.74710699341359,0.3934885447325514,2.477864490168754,0.0,3.9681099343050974,3.2103597254304326,0.715180481280287,1.2614277668315956,2.671571020186724
2024-03-11,68.52915929938682,16.727700292111898,0.3922283677259693,2.4594469675917057,0.0,3.966530054280473,3.208137109374017,0.7146853431160691,1.3323911447614316,2.6697214216516176
2024-03-12,68.49590399703673,16.719040044036817,0.38997781535131504,2.462407884300595,0.0,3.9645570138958712,3.2066139031200076,0.7143460143569889,1.378699475629816,2.668453852271855
2024-03-13,68.4953138484727,16.717050740053676,0.38971030452797906,2.4661885876807195,0.0,3.9649338201266793,3.20653853974357,0.7143492201147363,1.3774491118357657,2.6684658274441646
2024-03-14,68.47564684511222,16.71216105909867,0.38995731880357265,2.464134554936158,0.0,3.96478237848593,3.2056178489591436,0.7141441096082916,1.4058562519591296,2.6676996330368836
2024-03-15,68.47838842724055,16.71415211463851,0.3911409782617304,2.4574232815735284,0.0,3.9661232179577994,3.2048614773103843,0.7141755095171168,1.405918065474832,2.667816928025561
2024-03-18,68.45053120436256,16.729939631666053,0.3973759537974566,2.4599040486798223,0.0,3.9658120798976633,3.205051352540372,0.7139579533395511,1.4104235331521249,2.6670042425643934
2024-03-19,68.42888611728874,16.749080616021946,0.38994042615733443,2.448182653376431,0.0,3.96783709053016,3.204599637710747,0.7137574443538321,1.431460777330804,2.6662552372299984
2024-03-20,68.42391931192076,16.753022821498874,0.3985043595919507,2.445407696661359,0.0,3.9595479273981993,3.2059734029382594,0.7138636502346017,1.4331088583299996,2.6666519714260017
2024-03-21,68.32474517259136,16.735651049452326,0.3992302832970523,2.4525703627381805,0.0,3.958323820330912,3.203697592041292,0.8241740071924561,1.4378920145050254,2.6637156978513903
