date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,TOTAL_CCASS_PCT
2024-03-01,18.976834576582426,27.49906898520866,11.276086396667749,4.847114122876754,6.035345687444715,0.0,3.2188390598931798,1.1211534156691934,0.965729518861481,1.3052839019583693,75.24545566516252
2024-03-04,18.937277533059376,27.637671114893237,11.317040835750037,4.838393666931664,6.101542823231701,0.0,3.223120823209307,1.0153365327122685,0.944745600107492,1.3052839019583693,75.32041283185346
2024-03-05,18.822941911789407,27.61619172983686,11.352566930544514,4.853516828091234,6.161621874615101,0.0,3.220809745938259,1.0682230099989924,0.9562857584342003,1.3052839019583693,75.35744169120693
2024-03-06,18.585507610655142,27.761694216708282,11.387689930466134,4.840315408301515,6.183756261966879,0.0,3.218113489122037,1.0949616365651837,0.9596085142594811,1.3052839019583693,75.33693097000302
2024-03-07,18.465761560425044,27.861488477085178,11.489843128911978,4.828595084481967,6.181006259167609,2.568439910871245,3.2196362919750534,1.0448216506735044,0.9743797019337357,1.3057317851504329,77.93970385067574
2024-03-08,18.368248431848976,27.752852339629825,11.619890492559541,4.849824210325947,6.136549373523385,2.5701776976564514,3.220102090494799,1.108797285827856,0.967894353312656,1.3057317851504329,77.90006806032986
2024-03-11,18.27669214972735,27.728871070104915,11.898948594206631,4.8290277396455,6.136155236314369,2.5704912158908955,3.215927819144767,1.0917777245294427,0.9450228756340346,1.3053286902775756,77.99824311547549
2024-03-12,18.168152136962682,27.767921656272044,12.041267957316732,4.7928745725514785,6.081450783235732,2.5704912158908955,3.1945637908833375,1.2084065077427808,0.8979075703456539,1.3053286902775756,78.02836488147891
2024-03-13,18.07123021420014,27.818711610252045,12.152737126157497,4.662097759464332,6.0767435308871445,2.5704912158908955,3.1825270644615884,1.1571686705707152,0.8704702459998431,1.3073889529610678,77.86956639084526
2024-03-14,17.867202320034934,27.797398766081805,12.352376580187888,4.6605162839131555,6.078678386276859,2.5704912158908955,3.1213373971268292,1.2223383623151083,0.8780107178447861,1.3068514931305917,77.85520152280286
