date,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCOM INTERNATIONAL SECURITIES LTD
2024-03-01,31.852718467558578,30.327831432896176,18.178912091257065,0.0,7.250619266152533,7.443498780943098,4.946419961192558,0.0,0.0,0.0
2024-03-04,31.319034300725146,29.69468817943382,17.776688216262794,0.0,7.098271823175363,7.241256107057392,4.848150055760013,0.0,2.021911317585468,0.0
2024-03-05,31.36604879007908,29.654761832987276,17.68448669756805,0.0,7.111081483584663,7.32638582494464,4.83934871234335,0.0,2.017886658492938,0.0
2024-03-06,31.428283026287605,29.63962276553479,17.529584173425537,0.0,7.084600992537523,7.464174362073446,4.834573109018481,0.0,2.0191615711226207,0.0
2024-03-07,31.499747375619304,29.635770154160447,17.395700218327974,0.0,7.062924726911923,7.553696624111119,4.8339309970976725,0.0,2.0182299037715663,0.0
2024-03-08,31.552326738282982,29.635190740057254,17.26352144673749,0.0,7.017738990726173,7.682428955820909,4.831147039119402,0.0,2.0176460892557952,0.0
2024-03-11,31.562594950536642,29.61974550639117,17.127862138323195,0.0,7.13593408573473,7.7210522568672415,4.815816066131662,0.0,2.016994996015361,0.0
2024-03-12,31.61279575935041,29.604744729266713,17.16774588110635,0.0,7.1324944261561,7.65417207305409,4.79779979108487,0.0,2.030247339981472,0.0
2024-03-13,31.703166090364228,29.59331627504609,17.160270139878968,0.0,7.122671002492871,7.5956001215690145,4.796120832279257,0.0,2.028855538369576,0.0
2024-03-14,30.917971394509152,28.86402540492045,16.748334643585313,0.0,6.939700578069235,7.376904976909257,4.675532558095699,2.499111914423468,1.9784185294874208,0.0
2024-03-15,30.96517385677441,28.83170815941832,16.79022794246557,0.0,6.929691974935431,7.345357224679293,4.6678214819477395,2.4950613609044474,1.9749579988747898,0.0
2024-03-18,31.002142336353806,28.81256993320296,16.796126102487232,0.0,6.922876231567396,7.315370943039545,4.670062414338042,2.4936159673369733,1.9872360716740454,0.0
2024-03-19,31.112105544766184,28.81773419058357,16.6645572174809,0.0,6.931714947298278,7.338483984550098,4.670962644096066,2.4940966519830687,1.9703448192418371,0.0
2024-03-20,31.05837649698865,28.81038366191276,16.62856779845762,0.0,6.922785585536683,7.409544558637289,4.66684824714804,2.493460483683822,2.0100331676351355,0.0
2024-03-21,31.144058321268055,28.785142568392384,16.6320069157403,0.0,6.911932913867183,7.364185470916191,4.664572998592502,2.4912696167364357,2.0068311944869532,0.0
2024-03-22,31.15568852051594,28.75481264857417,16.628804809035984,0.0,6.918394027242771,7.391925852439036,4.657354685045139,2.4891286776184582,2.003890779528507,0.0
2024-03-25,31.174060817423708,28.74878734563737,16.603263469429415,0.0,6.937575615625613,7.387492956715127,4.65338522152161,2.4888133552397527,2.0066212184074033,0.0
2024-03-26,31.22200694278917,28.722213141785037,16.585261933100092,0.0,6.934207019737021,7.392503829608818,4.651122160142109,2.487291090127466,2.005393882710283,0.0
2024-03-27,31.317003116195668,28.67943287882659,16.56364171864703,0.0,6.925167726692788,7.382867110045033,4.645059050680511,2.484048707402812,2.0027796915095686,0.0
2024-03-28,27.99173165167341,25.653419584233404,14.79376860706387,9.57601990413414,6.1522312555175995,6.641667560255529,4.150269930480557,2.221956475386775,1.7945484351976084,1.0243865960571084
2024-04-02,28.061846526889077,25.63971624332425,14.75545245889552,9.57194943451016,6.133452136720398,6.651131416369329,4.148093543076758,2.2210119904724346,1.793395088715826,1.0239511610262493
2024-04-03,28.649880642062737,25.63546995665227,14.612418243060684,9.565701692239308,6.2582209788686285,6.079357673725425,4.156097169286425,2.2160280618466652,1.8033259433858033,1.0234996388720596
2024-04-05,28.56877279169306,25.61922555659325,14.440158464038538,9.559341048861647,6.269443942689835,6.296162349891217,4.159660676180873,2.213687807823533,1.850728291955079,1.0228190702729665
2024-04-08,28.60916554636291,25.605905385521904,14.43236417822669,9.5543708729358,6.2783770534485335,6.266294057031018,4.159403746965016,2.212536847962017,1.8592950342799623,1.022287277266149
2024-04-09,28.653006956724298,25.648159431236024,14.271653030561064,9.569012233009952,6.287998197566061,6.271255028955997,4.187164043805225,2.215927395502944,1.8719698264394933,1.0238538561989468
2024-04-10,28.617058416655155,25.632836711558493,14.16843507047822,9.563594759390348,6.260657824143494,6.456266170019146,4.184251548267533,2.2146728534545304,1.8789524422706902,1.0232742037623919
2024-04-11,28.637320083879015,25.62234437529161,14.174342288243826,9.559655821716104,6.262889727718719,6.440363607372316,4.1882920829337325,2.2137607008008398,1.878178562077188,1.02285274996665
2024-04-12,28.620611738620582,25.609641884745884,14.254575370103373,9.555401401948917,6.186959617745927,6.47627028975199,4.184262216637288,2.2127754909291713,1.8771044489259041,1.022397540590964
2024-04-15,28.70525104050472,25.613850991726196,14.170767851487485,9.556971892739911,6.196403269852516,6.46068027877771,4.182956959255376,2.2131391746076337,1.8774129629408327,1.0225655781076197
2024-04-16,28.854102830737467,25.60478268936214,14.11905676197485,9.553402518662416,6.1909274423013345,6.374644189584099,4.188237545757701,2.2123126030022764,1.8803497521770987,1.0221836664406188
2024-04-17,28.929231415889934,25.615342485061092,14.051155805688214,9.557196995235913,6.260022392538642,6.28016396879074,4.19328051367002,2.2131913023273544,1.8778254574397715,1.0225896633583182
2024-04-18,28.96245077364571,25.63431396950071,14.023401837474603,9.56427533955972,6.2808748256463085,6.2192557375993935,4.1962127479754825,2.2148304576257263,1.8810372872977308,1.0233470236746143
2024-04-19,28.969883220657906,25.660102628172815,13.9302189833789,9.572569517326366,6.306565900533205,6.236372727828339,4.200415869573828,2.2167511674428675,1.8828855107857843,1.024234474299987
2024-04-22,28.867105441197882,25.676744552207172,14.039130502730664,9.578842629879848,6.227215077601503,6.283886342921196,4.199151724540004,2.2180735790120827,1.8849444725301978,1.0249056773794534
2024-04-23,28.814106807559448,25.657837718990823,14.08509044246593,9.573497457132778,6.233179739653414,6.309469429083431,4.1974595240250805,2.2168358526077943,1.8881892675751362,1.0243337609061673
2024-04-24,28.831354833146815,25.655198301452053,13.914442052782535,9.57235071648142,6.252655226607205,6.455870101458898,4.189384296122486,2.216570313728095,1.887963094914593,1.0242110633058965
2024-04-25,28.942059208781462,25.64312657005657,13.902795244382817,9.567789924224956,6.268413868799111,6.400143762261335,4.186737627640811,2.215514218206505,1.8496965025975722,1.023723073048867
2024-04-26,29.00609565167694,25.649123144712615,13.927606679058366,9.569905921975755,6.265136400187632,6.306470128248384,4.186687419820053,2.2160041979342915,1.849020978311787,1.0239494780741831
2024-04-29,29.041152006220273,25.6300587351508,13.907019215679476,9.56284944120668,6.238082057304745,6.3471822363509425,4.18995138888191,2.214370201619761,1.8461402604967425,1.0231944570886642
2024-04-30,29.162004425249926,25.669790413236093,13.761588593396665,9.577438859038658,6.257715525572398,6.286675223068089,4.19310907225145,2.2177485223080384,1.8491738875118335,1.0247554783668518
