date,HUATAI FINANCIAL HOLDINGS (HONG KONG),CROSBY SECURITIES LTD,VALUABLE CAPITAL LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.
2024-03-07,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-11,77.25889390282296,0.0,0.0,0.0,22.74110609717704,0.0,0.0,0.0,0.0
2024-03-12,77.22647645022553,0.0,0.0,0.0,22.77352354977447,0.0,0.0,0.0,0.0
2024-03-13,45.93355170800187,0.0,40.53657775698019,0.0,13.529870535017938,0.0,0.0,0.0,0.0
2024-03-14,45.94560878243513,0.0,40.5251996007984,0.0,13.529191616766468,0.0,0.0,0.0,0.0
2024-03-15,45.9324623491628,0.0,40.516354338810764,0.0,13.55118331202644,0.0,0.0,0.0,0.0
2024-03-18,45.93389460555036,0.0,40.51761771125663,0.0,13.548487683193015,0.0,0.0,0.0,0.0
2024-03-19,45.93726615115989,0.0,40.51509104514842,0.0,13.547642803691692,0.0,0.0,0.0,0.0
2024-03-22,43.325981473312744,0.0,38.21202764299368,0.0,12.777532715777093,5.684458167916483,0.0,0.0,0.0
2024-03-28,43.34097724466396,0.0,38.20191685776445,0.0,12.774151819838888,5.682954077732698,0.0,0.0,0.0
2024-04-02,43.31550802139038,0.0,38.23823235587941,0.0,12.766645119586295,5.679614503143915,0.0,0.0,0.0
2024-04-03,43.31805359661495,0.0,38.24047954866008,0.0,12.761518570756936,5.67994828396803,0.0,0.0,0.0
2024-04-09,43.31550802139038,0.0,38.23823235587941,0.0,12.766645119586295,5.679614503143915,0.0,0.0,0.0
2024-04-11,43.31678077160403,0.0,38.23935591925484,0.0,12.764081920488938,5.679781388652191,0.0,0.0,0.0
2024-04-16,43.32001645026732,0.0,38.22924622525116,0.0,12.772457552435226,5.678279772046295,0.0,0.0,0.0
2024-04-18,43.35950133780248,0.0,38.26409102937285,0.0,12.69295228014466,5.683455352680015,0.0,0.0,0.0
2024-04-19,43.36293595247898,0.0,38.26971710874552,0.0,12.67717461624419,5.690172322531318,0.0,0.0,0.0
2024-04-23,43.361660834534064,0.0,38.2685917605199,0.0,12.679742405975242,5.6900049989708,0.0,0.0,0.0
2024-04-24,43.36931266727449,0.0,38.275344842798745,0.0,12.664333401958766,5.691009087968001,0.0,0.0,0.0
2024-04-25,43.36803717428386,0.0,38.274219163578614,0.0,12.663960943473912,5.693782718663607,0.0,0.0,0.0
