date,FUTU SECURITIES INTERNATIONAL,FIRST SHANGHAI SECURITIES LTD,KGI ASIA LTD,PHILLIP SECURITIES (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,METAVERSE SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.
2024-03-01,37.243864715014205,0.0,41.86944913872265,0.0,13.621232792001745,0.0,7.265453354261404,0.0,0.0,0.0
2024-03-04,37.26919434312714,0.0,41.840628099915605,0.0,13.623509712213208,0.0,7.266667844744047,0.0,0.0,0.0
2024-03-05,37.278181105358996,0.0,41.83463404687535,0.0,13.621558019719146,0.0,7.265626828046513,0.0,0.0,0.0
2024-03-06,37.28534406312571,0.0,41.83463404687535,0.0,13.614395061952422,0.0,7.265626828046513,0.0,0.0,0.0
2024-03-07,37.30205763124807,0.0,41.82508343651972,0.0,13.607232104185698,0.0,7.265626828046513,0.0,0.0,0.0
2024-03-08,37.3035546045497,0.0,41.82169722709425,0.0,13.609294814094644,0.0,7.265453354261404,0.0,0.0,0.0
2024-03-11,37.31460166067633,0.0,41.820698717939536,0.0,13.59941973262433,0.0,7.265279888759803,0.0,0.0,0.0
2024-03-12,37.33220575152675,0.0,41.80737165360572,0.0,13.594969240606126,0.0,7.265453354261404,0.0,0.0,0.0
2024-03-13,34.89935496058092,0.0,37.408781818717976,0.0,12.163136465177145,9.02619262630152,6.502534129222427,0.0,0.0,0.0
2024-03-14,29.124247046567593,22.500840525415335,26.90052319601715,0.0,9.438727767481685,6.995821387935189,5.039840076583045,0.0,0.0,0.0
2024-03-15,29.109403547014423,22.50344945247706,26.903642257407835,0.0,9.446447767918519,6.996632539310507,5.040424435871656,0.0,0.0,0.0
2024-03-18,29.12127140417341,22.504940539591406,26.877264241426317,0.0,9.458669259656208,6.997096138842,5.040758416310656,0.0,0.0,0.0
2024-03-19,30.771919188907603,22.50307671157092,26.875038303609735,0.0,7.813108199208585,6.996516649026302,5.040340947676855,0.0,0.0,0.0
2024-03-20,30.778798553799426,22.500840525415335,26.872367664863056,0.0,7.812331791403951,6.995821387935189,5.039840076583045,0.0,0.0,0.0
2024-03-21,30.78771598303437,22.500095228789235,26.87147756989379,0.0,7.805448411666603,6.995589664943716,5.039673141672283,0.0,0.0,0.0
2024-03-22,28.256236623329674,20.636733305079982,24.643058410004723,8.266383525562446,7.159034464530653,6.416244765155415,4.622308906337105,0.0,0.0,0.0
2024-03-25,28.300889231232023,20.640495648038844,24.592857283932613,8.267890594021047,7.157301100410356,6.417414529427583,4.623151612937533,0.0,0.0,0.0
2024-03-26,28.310691646197245,20.637673762226587,24.589495047083467,8.266760241167008,7.156322582899261,6.4165371662420885,4.622519554184345,0.0,0.0,0.0
2024-03-27,23.103126237676207,22.14290953126808,26.3650335995984,8.868077366273925,7.676648482843261,6.8845357094543385,4.959669072885784,0.0,0.0,0.0
2024-03-28,23.112651748128663,22.141105184330485,26.362885206788146,8.867354738192207,7.672763482339443,6.883974713126976,4.959264927094079,0.0,0.0,0.0
2024-04-02,23.128949036748754,22.141105184330485,26.34658791816805,8.867354738192207,7.672763482339443,6.883974713126976,4.959264927094079,0.0,0.0,0.0
2024-04-03,23.130578765610764,22.141105184330485,26.34658791816805,8.865725009330198,7.672763482339443,6.883974713126976,4.959264927094079,0.0,0.0,0.0
2024-04-05,23.132451982225234,22.138218840794618,26.341523825974168,8.864569261780183,7.671763250820055,6.883077309146965,4.968395529258782,0.0,0.0,0.0
2024-04-08,23.137461932904145,22.13677595120894,26.339806980067426,8.863991500996384,7.671263232847606,6.88262869489131,4.968071707084187,0.0,0.0,0.0
2024-04-09,23.13921262254403,22.135333249695726,26.338090357941795,8.863413815520424,7.674021888070073,6.882180139109977,4.967747927117973,0.0,0.0,0.0
2024-04-10,22.664054285618555,21.6762104732441,25.791795570546256,8.67957221196664,7.5116591863858355,6.73943254105645,4.8647087636555675,2.072566967526593,0.0,0.0
2024-04-11,22.679203190302704,21.680015447243992,25.76759876741206,8.681095796849592,7.512977759479389,6.740615559906741,4.865562699373972,2.0729307794315477,0.0,0.0
